,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100161,16,203999,Nikola Jokic,1610612743,Denver Nuggets,1,10,38,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-9,75,1,1,20220416,GSW,DEN
1,Shot Chart Detail,0042100161,24,203999,Nikola Jokic,1610612743,Denver Nuggets,1,9,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,-161,82,1,0,20220416,GSW,DEN
2,Shot Chart Detail,0042100161,45,203999,Nikola Jokic,1610612743,Denver Nuggets,1,7,11,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-26,71,1,1,20220416,GSW,DEN
3,Shot Chart Detail,0042100161,49,203999,Nikola Jokic,1610612743,Denver Nuggets,1,6,31,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-56,56,1,1,20220416,GSW,DEN
4,Shot Chart Detail,0042100161,74,203999,Nikola Jokic,1610612743,Denver Nuggets,1,4,25,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-13,67,1,0,20220416,GSW,DEN
5,Shot Chart Detail,0042100161,87,203999,Nikola Jokic,1610612743,Denver Nuggets,1,3,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,172,178,1,0,20220416,GSW,DEN
6,Shot Chart Detail,0042100161,104,203999,Nikola Jokic,1610612743,Denver Nuggets,1,3,0,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-6,75,1,0,20220416,GSW,DEN
7,Shot Chart Detail,0042100161,115,203999,Nikola Jokic,1610612743,Denver Nuggets,1,2,23,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-26,61,1,1,20220416,GSW,DEN
8,Shot Chart Detail,0042100161,243,203999,Nikola Jokic,1610612743,Denver Nuggets,2,5,21,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-65,19,1,1,20220416,GSW,DEN
9,Shot Chart Detail,0042100161,255,203999,Nikola Jokic,1610612743,Denver Nuggets,2,4,23,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,13,1,0,20220416,GSW,DEN
10,Shot Chart Detail,0042100161,260,203999,Nikola Jokic,1610612743,Denver Nuggets,2,4,21,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-15,137,1,1,20220416,GSW,DEN
11,Shot Chart Detail,0042100161,286,203999,Nikola Jokic,1610612743,Denver Nuggets,2,2,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,116,235,1,0,20220416,GSW,DEN
12,Shot Chart Detail,0042100161,293,203999,Nikola Jokic,1610612743,Denver Nuggets,2,1,25,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-11,115,1,0,20220416,GSW,DEN
13,Shot Chart Detail,0042100161,299,203999,Nikola Jokic,1610612743,Denver Nuggets,2,0,56,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,21,1,0,20220416,GSW,DEN
14,Shot Chart Detail,0042100161,308,203999,Nikola Jokic,1610612743,Denver Nuggets,2,0,23,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-50,74,1,1,20220416,GSW,DEN
15,Shot Chart Detail,0042100161,339,203999,Nikola Jokic,1610612743,Denver Nuggets,3,10,14,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,52,1,1,20220416,GSW,DEN
16,Shot Chart Detail,0042100161,373,203999,Nikola Jokic,1610612743,Denver Nuggets,3,8,6,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-9,57,1,1,20220416,GSW,DEN
17,Shot Chart Detail,0042100161,388,203999,Nikola Jokic,1610612743,Denver Nuggets,3,7,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-141,216,1,0,20220416,GSW,DEN
