,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100161,134,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,0,46,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,161,94,1,1,20220416,GSW,DEN
1,Shot Chart Detail,0042100161,149,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,11,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-67,246,1,0,20220416,GSW,DEN
2,Shot Chart Detail,0042100161,160,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,10,43,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,1,71,1,1,20220416,GSW,DEN
3,Shot Chart Detail,0042100161,177,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,9,27,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,43,1,0,20220416,GSW,DEN
4,Shot Chart Detail,0042100161,486,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,0,32,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,14,1,0,20220416,GSW,DEN
5,Shot Chart Detail,0042100161,502,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,11,20,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-9,53,1,0,20220416,GSW,DEN
6,Shot Chart Detail,0042100162,133,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,2,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-173,196,1,1,20220418,GSW,DEN
7,Shot Chart Detail,0042100162,149,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,0,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-11,167,1,0,20220418,GSW,DEN
8,Shot Chart Detail,0042100162,194,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,11,7,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,239,60,1,0,20220418,GSW,DEN
9,Shot Chart Detail,0042100162,526,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-5,261,1,0,20220418,GSW,DEN
10,Shot Chart Detail,0042100162,544,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,10,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-27,272,1,0,20220418,GSW,DEN
11,Shot Chart Detail,0042100163,103,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,2,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-49,253,1,0,20220421,DEN,GSW
12,Shot Chart Detail,0042100163,113,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,2,12,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,57,1,0,20220421,DEN,GSW
13,Shot Chart Detail,0042100163,134,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,0,53,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-114,103,1,0,20220421,DEN,GSW
14,Shot Chart Detail,0042100163,204,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,7,30,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,38,1,1,20220421,DEN,GSW
15,Shot Chart Detail,0042100163,238,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,5,47,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,75,88,1,1,20220421,DEN,GSW
16,Shot Chart Detail,0042100163,476,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,0,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,217,143,1,0,20220421,DEN,GSW
17,Shot Chart Detail,0042100163,556,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,9,32,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,40,38,1,1,20220421,DEN,GSW
18,Shot Chart Detail,0042100165,237,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,8,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-39,267,1,0,20220427,GSW,DEN
19,Shot Chart Detail,0042100165,240,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,7,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,192,7,1,0,20220427,GSW,DEN
20,Shot Chart Detail,0042100165,529,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,11,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,233,90,1,1,20220427,GSW,DEN
21,Shot Chart Detail,0042100165,633,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,2,41,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,63,1,0,20220427,GSW,DEN
22,Shot Chart Detail,0042100231,175,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,0,26,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,15,1,0,20220501,MEM,GSW
23,Shot Chart Detail,0042100231,196,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,11,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-55,252,1,0,20220501,MEM,GSW
24,Shot Chart Detail,0042100231,262,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,7,30,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,12,52,1,1,20220501,MEM,GSW
25,Shot Chart Detail,0042100231,622,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,7,11,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-20,48,1,0,20220501,MEM,GSW
26,Shot Chart Detail,0042100232,203,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,1,22,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,4,1,0,20220503,MEM,GSW
27,Shot Chart Detail,0042100232,245,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,6,53,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-230,74,1,0,20220503,MEM,GSW
28,Shot Chart Detail,0042100232,538,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,0,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,11,1,1,20220503,MEM,GSW
29,Shot Chart Detail,0042100232,646,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,5,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,-180,103,1,0,20220503,MEM,GSW
30,Shot Chart Detail,0042100233,149,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,0,38,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-2,66,1,1,20220507,GSW,MEM
31,Shot Chart Detail,0042100233,197,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,9,10,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220507,GSW,MEM
32,Shot Chart Detail,0042100233,220,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,7,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-108,242,1,1,20220507,GSW,MEM
33,Shot Chart Detail,0042100233,261,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,4,27,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,19,1,1,20220507,GSW,MEM
34,Shot Chart Detail,0042100233,282,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,2,42,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-199,179,1,0,20220507,GSW,MEM
35,Shot Chart Detail,0042100233,532,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,9,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-132,235,1,1,20220507,GSW,MEM
36,Shot Chart Detail,0042100233,577,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,6,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,216,134,1,0,20220507,GSW,MEM
37,Shot Chart Detail,0042100234,195,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,8,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,179,185,1,0,20220509,GSW,MEM
38,Shot Chart Detail,0042100234,270,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,3,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-16,252,1,1,20220509,GSW,MEM
39,Shot Chart Detail,0042100234,322,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,11,38,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,53,1,1,20220509,GSW,MEM
40,Shot Chart Detail,0042100234,354,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,7,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,121,252,1,0,20220509,GSW,MEM
41,Shot Chart Detail,0042100234,477,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,0,5,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-65,23,1,0,20220509,GSW,MEM
42,Shot Chart Detail,0042100234,512,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,10,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,167,214,1,1,20220509,GSW,MEM
43,Shot Chart Detail,0042100234,520,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,8,55,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-176,181,1,1,20220509,GSW,MEM
44,Shot Chart Detail,0042100235,101,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,3,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,138,218,1,0,20220511,MEM,GSW
45,Shot Chart Detail,0042100235,169,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,202,162,1,0,20220511,MEM,GSW
46,Shot Chart Detail,0042100235,315,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,2,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,62,257,1,0,20220511,MEM,GSW
47,Shot Chart Detail,0042100311,99,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,3,57,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-105,111,1,1,20220518,GSW,DAL
48,Shot Chart Detail,0042100311,163,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,11,4,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-112,91,1,1,20220518,GSW,DAL
49,Shot Chart Detail,0042100311,195,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,8,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,196,191,1,0,20220518,GSW,DAL
50,Shot Chart Detail,0042100311,428,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,2,59,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-20,32,1,1,20220518,GSW,DAL
51,Shot Chart Detail,0042100311,438,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,2,35,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,25,1,1,20220518,GSW,DAL
52,Shot Chart Detail,0042100311,543,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,6,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,-180,16,1,1,20220518,GSW,DAL
53,Shot Chart Detail,0042100311,546,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,5,58,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,51,89,1,0,20220518,GSW,DAL
54,Shot Chart Detail,0042100312,180,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,11,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-118,102,1,1,20220520,GSW,DAL
55,Shot Chart Detail,0042100312,510,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,11,42,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,6,1,1,20220520,GSW,DAL
56,Shot Chart Detail,0042100312,541,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,8,58,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220520,GSW,DAL
57,Shot Chart Detail,0042100312,557,203490,Otto Porter Jr.,1610612744,Golden State Warriors,4,7,21,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-51,32,1,1,20220520,GSW,DAL
58,Shot Chart Detail,0042100313,173,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,10,48,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,161,31,1,0,20220522,DAL,GSW
59,Shot Chart Detail,0042100313,178,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,10,29,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,6,1,1,20220522,DAL,GSW
60,Shot Chart Detail,0042100401,157,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,11,40,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,36,1,1,20220602,GSW,BOS
61,Shot Chart Detail,0042100401,184,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,8,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,82,240,1,1,20220602,GSW,BOS
62,Shot Chart Detail,0042100401,284,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,2,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,136,222,1,1,20220602,GSW,BOS
63,Shot Chart Detail,0042100401,428,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,3,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-51,274,1,1,20220602,GSW,BOS
64,Shot Chart Detail,0042100401,444,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,2,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-126,236,1,0,20220602,GSW,BOS
65,Shot Chart Detail,0042100402,455,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,4,17,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,239,4,1,1,20220605,GSW,BOS
66,Shot Chart Detail,0042100403,96,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,4,44,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,25,1,0,20220608,BOS,GSW
67,Shot Chart Detail,0042100403,316,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,1,13,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-167,185,1,1,20220608,BOS,GSW
68,Shot Chart Detail,0042100403,423,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,4,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-99,246,1,1,20220608,BOS,GSW
69,Shot Chart Detail,0042100404,41,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,8,41,Missed Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-233,36,1,0,20220610,BOS,GSW
70,Shot Chart Detail,0042100404,343,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,10,39,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-233,85,1,0,20220610,BOS,GSW
71,Shot Chart Detail,0042100405,7,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,11,42,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,25,1,1,20220613,GSW,BOS
72,Shot Chart Detail,0042100405,234,203490,Otto Porter Jr.,1610612744,Golden State Warriors,2,6,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,118,236,1,0,20220613,GSW,BOS
73,Shot Chart Detail,0042100405,355,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,9,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-205,153,1,0,20220613,GSW,BOS
74,Shot Chart Detail,0042100406,15,203490,Otto Porter Jr.,1610612744,Golden State Warriors,1,11,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-141,214,1,0,20220616,BOS,GSW
75,Shot Chart Detail,0042100406,384,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,7,43,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,230,74,1,1,20220616,BOS,GSW
76,Shot Chart Detail,0042100406,392,203490,Otto Porter Jr.,1610612744,Golden State Warriors,3,6,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,110,230,1,1,20220616,BOS,GSW
