,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100101,36,200782,P.J. Tucker,1610612748,Miami Heat,1,9,24,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-4,100,1,0,20220417,MIA,ATL
1,Shot Chart Detail,0042100101,86,200782,P.J. Tucker,1610612748,Miami Heat,1,6,16,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,17,1,1,20220417,MIA,ATL
2,Shot Chart Detail,0042100101,90,200782,P.J. Tucker,1610612748,Miami Heat,1,5,40,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-5,106,1,1,20220417,MIA,ATL
3,Shot Chart Detail,0042100101,363,200782,P.J. Tucker,1610612748,Miami Heat,3,10,33,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-222,6,1,1,20220417,MIA,ATL
4,Shot Chart Detail,0042100101,373,200782,P.J. Tucker,1610612748,Miami Heat,3,9,35,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,45,58,1,0,20220417,MIA,ATL
5,Shot Chart Detail,0042100101,377,200782,P.J. Tucker,1610612748,Miami Heat,3,9,5,Made Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-225,-13,1,1,20220417,MIA,ATL
6,Shot Chart Detail,0042100101,394,200782,P.J. Tucker,1610612748,Miami Heat,3,7,33,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,8,1,1,20220417,MIA,ATL
7,Shot Chart Detail,0042100101,434,200782,P.J. Tucker,1610612748,Miami Heat,3,4,39,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,-58,91,1,1,20220417,MIA,ATL
8,Shot Chart Detail,0042100102,58,200782,P.J. Tucker,1610612748,Miami Heat,1,7,28,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,11,1,0,20220419,MIA,ATL
9,Shot Chart Detail,0042100102,334,200782,P.J. Tucker,1610612748,Miami Heat,2,1,41,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,-104,10,1,0,20220419,MIA,ATL
10,Shot Chart Detail,0042100102,418,200782,P.J. Tucker,1610612748,Miami Heat,3,7,53,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-237,-13,1,1,20220419,MIA,ATL
11,Shot Chart Detail,0042100103,31,200782,P.J. Tucker,1610612748,Miami Heat,1,9,7,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,19,1,0,20220422,ATL,MIA
12,Shot Chart Detail,0042100103,376,200782,P.J. Tucker,1610612748,Miami Heat,3,7,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,6,1,1,20220422,ATL,MIA
13,Shot Chart Detail,0042100103,385,200782,P.J. Tucker,1610612748,Miami Heat,3,6,15,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,-4,1,0,20220422,ATL,MIA
14,Shot Chart Detail,0042100103,394,200782,P.J. Tucker,1610612748,Miami Heat,3,5,19,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,12,120,1,1,20220422,ATL,MIA
15,Shot Chart Detail,0042100103,419,200782,P.J. Tucker,1610612748,Miami Heat,3,3,33,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,7,1,1,20220422,ATL,MIA
16,Shot Chart Detail,0042100103,610,200782,P.J. Tucker,1610612748,Miami Heat,4,0,54,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-224,-25,1,1,20220422,ATL,MIA
17,Shot Chart Detail,0042100104,11,200782,P.J. Tucker,1610612748,Miami Heat,1,11,5,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,26,1,1,20220424,ATL,MIA
18,Shot Chart Detail,0042100104,37,200782,P.J. Tucker,1610612748,Miami Heat,1,8,19,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,8,1,0,20220424,ATL,MIA
19,Shot Chart Detail,0042100104,74,200782,P.J. Tucker,1610612748,Miami Heat,1,4,48,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-13,78,1,1,20220424,ATL,MIA
