,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100131,34,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,9,50,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,109,147,1,1,20220416,PHI,TOR
1,Shot Chart Detail,0042100131,42,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,8,45,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,-80,158,1,0,20220416,PHI,TOR
2,Shot Chart Detail,0042100131,68,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,6,23,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-10,48,1,1,20220416,PHI,TOR
3,Shot Chart Detail,0042100131,131,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,1,53,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-12,176,1,1,20220416,PHI,TOR
4,Shot Chart Detail,0042100131,151,1627783,Pascal Siakam,1610612761,Toronto Raptors,1,0,0,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-137,151,1,0,20220416,PHI,TOR
5,Shot Chart Detail,0042100131,344,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,9,35,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,-96,151,1,0,20220416,PHI,TOR
6,Shot Chart Detail,0042100131,362,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,8,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,8,1,1,20220416,PHI,TOR
7,Shot Chart Detail,0042100131,368,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,7,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,6,1,1,20220416,PHI,TOR
8,Shot Chart Detail,0042100131,389,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,6,21,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-1,89,1,1,20220416,PHI,TOR
9,Shot Chart Detail,0042100131,412,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,4,51,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-85,188,1,0,20220416,PHI,TOR
10,Shot Chart Detail,0042100131,423,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,4,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,183,182,1,1,20220416,PHI,TOR
11,Shot Chart Detail,0042100131,429,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,3,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-26,268,1,0,20220416,PHI,TOR
12,Shot Chart Detail,0042100131,459,1627783,Pascal Siakam,1610612761,Toronto Raptors,3,1,24,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,15,68,1,0,20220416,PHI,TOR
13,Shot Chart Detail,0042100131,509,1627783,Pascal Siakam,1610612761,Toronto Raptors,4,9,32,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,10,32,1,1,20220416,PHI,TOR
14,Shot Chart Detail,0042100131,529,1627783,Pascal Siakam,1610612761,Toronto Raptors,4,8,54,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-1,45,1,0,20220416,PHI,TOR
15,Shot Chart Detail,0042100131,547,1627783,Pascal Siakam,1610612761,Toronto Raptors,4,7,27,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,7,30,1,0,20220416,PHI,TOR
16,Shot Chart Detail,0042100131,561,1627783,Pascal Siakam,1610612761,Toronto Raptors,4,6,44,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-5,105,1,1,20220416,PHI,TOR
17,Shot Chart Detail,0042100131,590,1627783,Pascal Siakam,1610612761,Toronto Raptors,4,4,4,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-29,184,1,0,20220416,PHI,TOR
