,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100121,324,1630172,Patrick Williams,1610612741,Chicago Bulls,2,1,25,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-124,239,1,0,20220417,MIL,CHI
1,Shot Chart Detail,0042100121,391,1630172,Patrick Williams,1610612741,Chicago Bulls,3,8,30,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,5,1,0,20220417,MIL,CHI
2,Shot Chart Detail,0042100121,645,1630172,Patrick Williams,1610612741,Chicago Bulls,4,3,4,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,15,1,1,20220417,MIL,CHI
3,Shot Chart Detail,0042100122,16,1630172,Patrick Williams,1610612741,Chicago Bulls,1,11,7,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,22,1,1,20220420,MIL,CHI
4,Shot Chart Detail,0042100122,32,1630172,Patrick Williams,1610612741,Chicago Bulls,1,9,12,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-237,4,1,0,20220420,MIL,CHI
5,Shot Chart Detail,0042100122,36,1630172,Patrick Williams,1610612741,Chicago Bulls,1,8,40,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,-89,137,1,1,20220420,MIL,CHI
6,Shot Chart Detail,0042100122,236,1630172,Patrick Williams,1610612741,Chicago Bulls,2,5,18,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,75,122,1,0,20220420,MIL,CHI
7,Shot Chart Detail,0042100122,370,1630172,Patrick Williams,1610612741,Chicago Bulls,3,6,33,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,82,180,1,1,20220420,MIL,CHI
8,Shot Chart Detail,0042100122,379,1630172,Patrick Williams,1610612741,Chicago Bulls,3,5,17,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,17,1,1,20220420,MIL,CHI
9,Shot Chart Detail,0042100122,556,1630172,Patrick Williams,1610612741,Chicago Bulls,4,6,7,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,100,23,1,0,20220420,MIL,CHI
