,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100111,225,1630202,Payton Pritchard,1610612738,Boston Celtics,2,10,41,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-146,223,1,1,20220417,BOS,BKN
1,Shot Chart Detail,0042100112,161,1630202,Payton Pritchard,1610612738,Boston Celtics,1,1,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,134,230,1,0,20220420,BOS,BKN
2,Shot Chart Detail,0042100112,514,1630202,Payton Pritchard,1610612738,Boston Celtics,3,0,55,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,64,162,1,1,20220420,BOS,BKN
3,Shot Chart Detail,0042100112,532,1630202,Payton Pritchard,1610612738,Boston Celtics,4,11,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,130,209,1,0,20220420,BOS,BKN
4,Shot Chart Detail,0042100112,548,1630202,Payton Pritchard,1610612738,Boston Celtics,4,9,57,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-25,147,1,1,20220420,BOS,BKN
5,Shot Chart Detail,0042100112,574,1630202,Payton Pritchard,1610612738,Boston Celtics,4,7,49,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,140,145,1,1,20220420,BOS,BKN
6,Shot Chart Detail,0042100112,667,1630202,Payton Pritchard,1610612738,Boston Celtics,4,0,56,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,13,1,1,20220420,BOS,BKN
7,Shot Chart Detail,0042100112,671,1630202,Payton Pritchard,1610612738,Boston Celtics,4,0,22,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-28,32,1,1,20220420,BOS,BKN
8,Shot Chart Detail,0042100113,170,1630202,Payton Pritchard,1610612738,Boston Celtics,2,10,15,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,10,74,1,1,20220423,BKN,BOS
9,Shot Chart Detail,0042100113,174,1630202,Payton Pritchard,1610612738,Boston Celtics,2,9,54,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,0,1,1,20220423,BKN,BOS
10,Shot Chart Detail,0042100113,186,1630202,Payton Pritchard,1610612738,Boston Celtics,2,9,5,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,150,211,1,1,20220423,BKN,BOS
11,Shot Chart Detail,0042100113,209,1630202,Payton Pritchard,1610612738,Boston Celtics,2,6,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-205,147,1,1,20220423,BKN,BOS
12,Shot Chart Detail,0042100113,213,1630202,Payton Pritchard,1610612738,Boston Celtics,2,6,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,176,185,1,0,20220423,BKN,BOS
13,Shot Chart Detail,0042100114,218,1630202,Payton Pritchard,1610612738,Boston Celtics,2,10,6,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,5,1,0,20220425,BKN,BOS
14,Shot Chart Detail,0042100114,544,1630202,Payton Pritchard,1610612738,Boston Celtics,4,9,50,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-20,83,1,0,20220425,BKN,BOS
15,Shot Chart Detail,0042100211,163,1630202,Payton Pritchard,1610612738,Boston Celtics,1,0,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-97,252,1,0,20220501,BOS,MIL
16,Shot Chart Detail,0042100211,183,1630202,Payton Pritchard,1610612738,Boston Celtics,2,11,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,210,155,1,1,20220501,BOS,MIL
17,Shot Chart Detail,0042100211,205,1630202,Payton Pritchard,1610612738,Boston Celtics,2,9,44,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,8,1,1,20220501,BOS,MIL
18,Shot Chart Detail,0042100211,353,1630202,Payton Pritchard,1610612738,Boston Celtics,2,0,7,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-105,227,1,0,20220501,BOS,MIL
19,Shot Chart Detail,0042100211,576,1630202,Payton Pritchard,1610612738,Boston Celtics,4,11,23,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,194,185,1,0,20220501,BOS,MIL
20,Shot Chart Detail,0042100211,599,1630202,Payton Pritchard,1610612738,Boston Celtics,4,10,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,203,168,1,0,20220501,BOS,MIL
21,Shot Chart Detail,0042100211,607,1630202,Payton Pritchard,1610612738,Boston Celtics,4,9,17,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,22,272,1,0,20220501,BOS,MIL
22,Shot Chart Detail,0042100211,619,1630202,Payton Pritchard,1610612738,Boston Celtics,4,8,46,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,173,220,1,0,20220501,BOS,MIL
23,Shot Chart Detail,0042100212,159,1630202,Payton Pritchard,1610612738,Boston Celtics,2,11,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,165,182,1,1,20220503,BOS,MIL
24,Shot Chart Detail,0042100212,265,1630202,Payton Pritchard,1610612738,Boston Celtics,2,2,37,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-239,9,1,1,20220503,BOS,MIL
25,Shot Chart Detail,0042100212,378,1630202,Payton Pritchard,1610612738,Boston Celtics,3,6,44,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-102,176,1,0,20220503,BOS,MIL
