,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100131,104,1630173,Precious Achiuwa,1610612761,Toronto Raptors,1,3,50,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,91,155,1,0,20220416,PHI,TOR
1,Shot Chart Detail,0042100131,141,1630173,Precious Achiuwa,1610612761,Toronto Raptors,1,1,15,Missed Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,-6,1,0,20220416,PHI,TOR
2,Shot Chart Detail,0042100131,182,1630173,Precious Achiuwa,1610612761,Toronto Raptors,2,10,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,178,189,1,0,20220416,PHI,TOR
3,Shot Chart Detail,0042100131,268,1630173,Precious Achiuwa,1610612761,Toronto Raptors,2,4,7,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-23,57,1,0,20220416,PHI,TOR
4,Shot Chart Detail,0042100131,299,1630173,Precious Achiuwa,1610612761,Toronto Raptors,2,1,1,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-238,-5,1,1,20220416,PHI,TOR
5,Shot Chart Detail,0042100131,396,1630173,Precious Achiuwa,1610612761,Toronto Raptors,3,5,56,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,3,1,1,20220416,PHI,TOR
6,Shot Chart Detail,0042100131,432,1630173,Precious Achiuwa,1610612761,Toronto Raptors,3,2,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,118,226,1,1,20220416,PHI,TOR
7,Shot Chart Detail,0042100131,453,1630173,Precious Achiuwa,1610612761,Toronto Raptors,3,1,47,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220416,PHI,TOR
8,Shot Chart Detail,0042100131,594,1630173,Precious Achiuwa,1610612761,Toronto Raptors,4,3,28,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,4,1,0,20220416,PHI,TOR
9,Shot Chart Detail,0042100132,11,1630173,Precious Achiuwa,1610612761,Toronto Raptors,1,11,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,15,1,1,20220418,PHI,TOR
10,Shot Chart Detail,0042100132,154,1630173,Precious Achiuwa,1610612761,Toronto Raptors,1,0,31,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,10,1,1,20220418,PHI,TOR
11,Shot Chart Detail,0042100132,242,1630173,Precious Achiuwa,1610612761,Toronto Raptors,2,5,2,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,17,1,1,20220418,PHI,TOR
12,Shot Chart Detail,0042100132,293,1630173,Precious Achiuwa,1610612761,Toronto Raptors,2,2,2,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,9,34,1,0,20220418,PHI,TOR
13,Shot Chart Detail,0042100132,309,1630173,Precious Achiuwa,1610612761,Toronto Raptors,2,0,50,Missed Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,17,39,1,0,20220418,PHI,TOR
14,Shot Chart Detail,0042100132,354,1630173,Precious Achiuwa,1610612761,Toronto Raptors,3,9,19,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,87,16,1,0,20220418,PHI,TOR
15,Shot Chart Detail,0042100132,361,1630173,Precious Achiuwa,1610612761,Toronto Raptors,3,8,20,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,1,84,1,0,20220418,PHI,TOR
16,Shot Chart Detail,0042100132,395,1630173,Precious Achiuwa,1610612761,Toronto Raptors,3,4,17,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,240,0,1,0,20220418,PHI,TOR
