,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100113,188,1629057,Robert Williams III,1610612738,Boston Celtics,2,8,23,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,13,1,1,20220423,BKN,BOS
1,Shot Chart Detail,0042100114,170,1629057,Robert Williams III,1610612738,Boston Celtics,1,1,19,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,20,1,0,20220425,BKN,BOS
2,Shot Chart Detail,0042100114,189,1629057,Robert Williams III,1610612738,Boston Celtics,1,0,0,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220425,BKN,BOS
3,Shot Chart Detail,0042100114,395,1629057,Robert Williams III,1610612738,Boston Celtics,3,8,23,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,0,20220425,BKN,BOS
4,Shot Chart Detail,0042100114,415,1629057,Robert Williams III,1610612738,Boston Celtics,3,6,26,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,5,1,1,20220425,BKN,BOS
5,Shot Chart Detail,0042100211,27,1629057,Robert Williams III,1610612738,Boston Celtics,1,9,50,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220501,BOS,MIL
6,Shot Chart Detail,0042100211,81,1629057,Robert Williams III,1610612738,Boston Celtics,1,5,50,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220501,BOS,MIL
7,Shot Chart Detail,0042100211,83,1629057,Robert Williams III,1610612738,Boston Celtics,1,5,49,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220501,BOS,MIL
8,Shot Chart Detail,0042100211,384,1629057,Robert Williams III,1610612738,Boston Celtics,3,10,36,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,2,1,0,20220501,BOS,MIL
9,Shot Chart Detail,0042100211,403,1629057,Robert Williams III,1610612738,Boston Celtics,3,9,7,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,16,1,1,20220501,BOS,MIL
10,Shot Chart Detail,0042100211,565,1629057,Robert Williams III,1610612738,Boston Celtics,3,0,1,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,57,146,551,1,0,20220501,BOS,MIL
11,Shot Chart Detail,0042100212,84,1629057,Robert Williams III,1610612738,Boston Celtics,1,5,12,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220503,BOS,MIL
12,Shot Chart Detail,0042100212,114,1629057,Robert Williams III,1610612738,Boston Celtics,1,2,9,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,105,182,1,0,20220503,BOS,MIL
13,Shot Chart Detail,0042100212,334,1629057,Robert Williams III,1610612738,Boston Celtics,3,10,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,10,29,1,1,20220503,BOS,MIL
14,Shot Chart Detail,0042100212,440,1629057,Robert Williams III,1610612738,Boston Celtics,3,2,16,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,22,1,1,20220503,BOS,MIL
15,Shot Chart Detail,0042100212,489,1629057,Robert Williams III,1610612738,Boston Celtics,4,11,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,135,23,1,1,20220503,BOS,MIL
16,Shot Chart Detail,0042100213,18,1629057,Robert Williams III,1610612738,Boston Celtics,1,10,36,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-1,1,1,20220507,MIL,BOS
17,Shot Chart Detail,0042100213,31,1629057,Robert Williams III,1610612738,Boston Celtics,1,9,20,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220507,MIL,BOS
18,Shot Chart Detail,0042100213,34,1629057,Robert Williams III,1610612738,Boston Celtics,1,9,11,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,24,1,0,20220507,MIL,BOS
19,Shot Chart Detail,0042100213,74,1629057,Robert Williams III,1610612738,Boston Celtics,1,6,15,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-15,48,1,0,20220507,MIL,BOS
20,Shot Chart Detail,0042100213,81,1629057,Robert Williams III,1610612738,Boston Celtics,1,5,48,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,29,1,1,20220507,MIL,BOS
21,Shot Chart Detail,0042100213,199,1629057,Robert Williams III,1610612738,Boston Celtics,2,9,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,157,40,1,1,20220507,MIL,BOS
22,Shot Chart Detail,0042100213,464,1629057,Robert Williams III,1610612738,Boston Celtics,3,6,57,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220507,MIL,BOS
23,Shot Chart Detail,0042100213,466,1629057,Robert Williams III,1610612738,Boston Celtics,3,6,19,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,21,1,0,20220507,MIL,BOS
24,Shot Chart Detail,0042100213,746,1629057,Robert Williams III,1610612738,Boston Celtics,4,0,1,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,6,1,0,20220507,MIL,BOS
25,Shot Chart Detail,0042100301,76,1629057,Robert Williams III,1610612738,Boston Celtics,1,6,1,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,22,1,1,20220517,MIA,BOS
26,Shot Chart Detail,0042100301,81,1629057,Robert Williams III,1610612738,Boston Celtics,1,5,30,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,16,1,1,20220517,MIA,BOS
27,Shot Chart Detail,0042100301,90,1629057,Robert Williams III,1610612738,Boston Celtics,1,4,23,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-27,43,1,1,20220517,MIA,BOS
28,Shot Chart Detail,0042100301,174,1629057,Robert Williams III,1610612738,Boston Celtics,2,10,15,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,13,1,1,20220517,MIA,BOS
29,Shot Chart Detail,0042100301,182,1629057,Robert Williams III,1610612738,Boston Celtics,2,9,29,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,22,1,1,20220517,MIA,BOS
30,Shot Chart Detail,0042100301,320,1629057,Robert Williams III,1610612738,Boston Celtics,3,10,16,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,27,23,1,0,20220517,MIA,BOS
