,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100171,96,203497,Rudy Gobert,1610612762,Utah Jazz,1,9,39,Missed Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,23,1,0,20220416,DAL,UTA
1,Shot Chart Detail,0042100172,11,203497,Rudy Gobert,1610612762,Utah Jazz,1,10,55,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,-1,1,1,20220418,DAL,UTA
2,Shot Chart Detail,0042100172,44,203497,Rudy Gobert,1610612762,Utah Jazz,1,7,19,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,21,1,0,20220418,DAL,UTA
3,Shot Chart Detail,0042100172,131,203497,Rudy Gobert,1610612762,Utah Jazz,1,1,0,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220418,DAL,UTA
4,Shot Chart Detail,0042100172,275,203497,Rudy Gobert,1610612762,Utah Jazz,2,1,27,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,15,1,0,20220418,DAL,UTA
5,Shot Chart Detail,0042100172,514,203497,Rudy Gobert,1610612762,Utah Jazz,4,6,31,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-11,30,1,0,20220418,DAL,UTA
6,Shot Chart Detail,0042100173,36,203497,Rudy Gobert,1610612762,Utah Jazz,1,9,5,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,4,1,1,20220421,UTA,DAL
7,Shot Chart Detail,0042100173,291,203497,Rudy Gobert,1610612762,Utah Jazz,2,4,6,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,20,25,1,1,20220421,UTA,DAL
8,Shot Chart Detail,0042100173,311,203497,Rudy Gobert,1610612762,Utah Jazz,2,2,49,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,17,1,1,20220421,UTA,DAL
9,Shot Chart Detail,0042100173,388,203497,Rudy Gobert,1610612762,Utah Jazz,3,9,31,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,4,1,1,20220421,UTA,DAL
10,Shot Chart Detail,0042100173,616,203497,Rudy Gobert,1610612762,Utah Jazz,4,2,21,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,16,1,1,20220421,UTA,DAL
11,Shot Chart Detail,0042100173,620,203497,Rudy Gobert,1610612762,Utah Jazz,4,1,49,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-5,1,1,20220421,UTA,DAL
12,Shot Chart Detail,0042100174,150,203497,Rudy Gobert,1610612762,Utah Jazz,1,0,36,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,16,26,1,1,20220423,UTA,DAL
13,Shot Chart Detail,0042100174,375,203497,Rudy Gobert,1610612762,Utah Jazz,3,9,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,13,1,0,20220423,UTA,DAL
14,Shot Chart Detail,0042100174,391,203497,Rudy Gobert,1610612762,Utah Jazz,3,8,34,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,15,1,0,20220423,UTA,DAL
15,Shot Chart Detail,0042100174,467,203497,Rudy Gobert,1610612762,Utah Jazz,3,1,43,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220423,UTA,DAL
16,Shot Chart Detail,0042100174,492,203497,Rudy Gobert,1610612762,Utah Jazz,3,0,0,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220423,UTA,DAL
17,Shot Chart Detail,0042100174,530,203497,Rudy Gobert,1610612762,Utah Jazz,4,8,47,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,-12,1,1,20220423,UTA,DAL
18,Shot Chart Detail,0042100174,551,203497,Rudy Gobert,1610612762,Utah Jazz,4,6,50,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220423,UTA,DAL
19,Shot Chart Detail,0042100174,667,203497,Rudy Gobert,1610612762,Utah Jazz,4,0,11,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,17,1,1,20220423,UTA,DAL
20,Shot Chart Detail,0042100175,125,203497,Rudy Gobert,1610612762,Utah Jazz,1,1,57,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,4,1,1,20220425,DAL,UTA
21,Shot Chart Detail,0042100175,170,203497,Rudy Gobert,1610612762,Utah Jazz,2,10,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,8,1,1,20220425,DAL,UTA
22,Shot Chart Detail,0042100175,348,203497,Rudy Gobert,1610612762,Utah Jazz,3,8,38,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,8,1,1,20220425,DAL,UTA
23,Shot Chart Detail,0042100175,445,203497,Rudy Gobert,1610612762,Utah Jazz,3,1,10,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,3,1,1,20220425,DAL,UTA
24,Shot Chart Detail,0042100175,451,203497,Rudy Gobert,1610612762,Utah Jazz,3,0,37,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220425,DAL,UTA
25,Shot Chart Detail,0042100175,449,203497,Rudy Gobert,1610612762,Utah Jazz,3,0,37,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,16,36,1,0,20220425,DAL,UTA
