,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100123,517,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,6,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,45,256,1,0,20220422,CHI,MIL
1,Shot Chart Detail,0042100123,537,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,5,20,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,0,121,1,0,20220422,CHI,MIL
2,Shot Chart Detail,0042100123,539,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,5,14,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,38,54,1,1,20220422,CHI,MIL
3,Shot Chart Detail,0042100123,548,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,4,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,-154,49,1,0,20220422,CHI,MIL
4,Shot Chart Detail,0042100123,563,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,3,33,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,17,1,0,20220422,CHI,MIL
5,Shot Chart Detail,0042100123,571,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,2,39,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-7,58,1,0,20220422,CHI,MIL
6,Shot Chart Detail,0042100123,592,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,1,17,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,13,1,1,20220422,CHI,MIL
7,Shot Chart Detail,0042100124,663,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,1,29,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-43,48,1,1,20220424,CHI,MIL
8,Shot Chart Detail,0042100124,669,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,0,49,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,12,1,1,20220424,CHI,MIL
9,Shot Chart Detail,0042100125,516,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,10,21,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-27,55,1,0,20220427,MIL,CHI
10,Shot Chart Detail,0042100125,657,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,1,20,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,15,69,135,1,0,20220427,MIL,CHI
11,Shot Chart Detail,0042100125,664,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,1,1,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-31,78,1,0,20220427,MIL,CHI
12,Shot Chart Detail,0042100125,669,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,0,33,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,17,1,0,20220427,MIL,CHI
13,Shot Chart Detail,0042100211,736,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,1,4,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,4,58,1,0,20220501,BOS,MIL
14,Shot Chart Detail,0042100212,658,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,1,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-108,240,1,0,20220503,BOS,MIL
15,Shot Chart Detail,0042100212,662,201586,Serge Ibaka,1610612749,Milwaukee Bucks,4,0,56,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,20,43,1,0,20220503,BOS,MIL
