,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100131,169,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,11,0,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-12,1,0,20220416,PHI,TOR
1,Shot Chart Detail,0042100131,507,1629003,Shake Milton,1610612755,Philadelphia 76ers,4,9,49,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,12,1,1,20220416,PHI,TOR
2,Shot Chart Detail,0042100131,545,1629003,Shake Milton,1610612755,Philadelphia 76ers,4,7,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,174,204,1,1,20220416,PHI,TOR
3,Shot Chart Detail,0042100131,631,1629003,Shake Milton,1610612755,Philadelphia 76ers,4,1,38,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-6,41,1,1,20220416,PHI,TOR
4,Shot Chart Detail,0042100132,116,1629003,Shake Milton,1610612755,Philadelphia 76ers,1,3,35,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-233,73,1,0,20220418,PHI,TOR
5,Shot Chart Detail,0042100132,185,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,11,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-169,218,1,1,20220418,PHI,TOR
6,Shot Chart Detail,0042100132,409,1629003,Shake Milton,1610612755,Philadelphia 76ers,3,3,31,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,22,1,0,20220418,PHI,TOR
7,Shot Chart Detail,0042100134,99,1629003,Shake Milton,1610612755,Philadelphia 76ers,1,3,48,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-229,22,1,1,20220423,TOR,PHI
8,Shot Chart Detail,0042100134,107,1629003,Shake Milton,1610612755,Philadelphia 76ers,1,2,33,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-38,120,1,1,20220423,TOR,PHI
9,Shot Chart Detail,0042100134,402,1629003,Shake Milton,1610612755,Philadelphia 76ers,3,4,18,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,5,1,0,20220423,TOR,PHI
10,Shot Chart Detail,0042100135,106,1629003,Shake Milton,1610612755,Philadelphia 76ers,1,3,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-108,257,1,0,20220425,PHI,TOR
11,Shot Chart Detail,0042100136,117,1629003,Shake Milton,1610612755,Philadelphia 76ers,1,2,22,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-27,92,1,1,20220428,TOR,PHI
12,Shot Chart Detail,0042100136,164,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,11,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-165,193,1,0,20220428,TOR,PHI
13,Shot Chart Detail,0042100201,504,1629003,Shake Milton,1610612755,Philadelphia 76ers,4,10,58,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,37,1,0,20220502,MIA,PHI
14,Shot Chart Detail,0042100201,623,1629003,Shake Milton,1610612755,Philadelphia 76ers,4,2,8,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-58,121,1,1,20220502,MIA,PHI
15,Shot Chart Detail,0042100201,626,1629003,Shake Milton,1610612755,Philadelphia 76ers,4,1,34,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-10,155,1,0,20220502,MIA,PHI
16,Shot Chart Detail,0042100202,656,1629003,Shake Milton,1610612755,Philadelphia 76ers,4,0,24,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-29,111,1,0,20220504,MIA,PHI
17,Shot Chart Detail,0042100203,294,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,1,29,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-121,246,1,1,20220506,PHI,MIA
18,Shot Chart Detail,0042100203,299,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,0,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-168,210,1,0,20220506,PHI,MIA
19,Shot Chart Detail,0042100203,301,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,0,47,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-233,38,1,0,20220506,PHI,MIA
20,Shot Chart Detail,0042100203,532,1629003,Shake Milton,1610612755,Philadelphia 76ers,4,7,54,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-2,133,1,0,20220506,PHI,MIA
21,Shot Chart Detail,0042100204,182,1629003,Shake Milton,1610612755,Philadelphia 76ers,2,10,41,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,-61,95,1,1,20220508,PHI,MIA
