,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100151,177,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,1,1,2,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,26,1,0,20220416,MEM,MIN
1,Shot Chart Detail,0042100151,183,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,1,0,32,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,2,1,1,20220416,MEM,MIN
2,Shot Chart Detail,0042100151,311,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,5,11,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,4,1,1,20220416,MEM,MIN
3,Shot Chart Detail,0042100151,336,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,4,3,Missed Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-224,1,1,0,20220416,MEM,MIN
4,Shot Chart Detail,0042100151,599,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,4,10,24,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,4,1,0,20220416,MEM,MIN
5,Shot Chart Detail,0042100151,612,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,4,9,32,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,150,194,1,0,20220416,MEM,MIN
6,Shot Chart Detail,0042100152,208,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,11,24,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,13,1,1,20220419,MEM,MIN
7,Shot Chart Detail,0042100152,211,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,10,53,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,8,1,0,20220419,MEM,MIN
8,Shot Chart Detail,0042100152,231,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,9,21,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-118,7,1,0,20220419,MEM,MIN
9,Shot Chart Detail,0042100152,251,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,8,5,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,-8,1,1,20220419,MEM,MIN
10,Shot Chart Detail,0042100152,298,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,5,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-150,207,1,0,20220419,MEM,MIN
11,Shot Chart Detail,0042100152,640,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,4,5,38,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,228,37,1,1,20220419,MEM,MIN
12,Shot Chart Detail,0042100152,674,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,4,3,29,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,10,1,1,20220419,MEM,MIN
13,Shot Chart Detail,0042100153,299,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,4,3,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,8,1,0,20220421,MIN,MEM
14,Shot Chart Detail,0042100153,491,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,3,2,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,24,1,0,20220421,MIN,MEM
15,Shot Chart Detail,0042100154,304,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,5,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-185,183,1,1,20220423,MIN,MEM
16,Shot Chart Detail,0042100154,312,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,4,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,-4,1,0,20220423,MIN,MEM
17,Shot Chart Detail,0042100154,547,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,3,1,14,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-232,87,1,0,20220423,MIN,MEM
18,Shot Chart Detail,0042100154,637,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,4,7,33,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-227,6,1,0,20220423,MIN,MEM
19,Shot Chart Detail,0042100155,195,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,10,11,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,10,1,0,20220426,MEM,MIN
20,Shot Chart Detail,0042100155,207,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,9,33,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-58,64,1,1,20220426,MEM,MIN
21,Shot Chart Detail,0042100155,231,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,7,31,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,157,204,1,0,20220426,MEM,MIN
22,Shot Chart Detail,0042100155,308,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,3,54,Missed Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,-14,1,0,20220426,MEM,MIN
23,Shot Chart Detail,0042100155,380,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,2,0,13,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,15,55,1,0,20220426,MEM,MIN
24,Shot Chart Detail,0042100155,515,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,3,2,55,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,8,1,1,20220426,MEM,MIN
25,Shot Chart Detail,0042100155,579,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,4,11,21,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-44,56,1,0,20220426,MEM,MIN
26,Shot Chart Detail,0042100155,607,1627752,Taurean Prince,1610612750,Minnesota Timberwolves,4,10,0,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-29,62,1,1,20220426,MEM,MIN
