,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100141,501,1628470,Torrey Craig,1610612756,Phoenix Suns,3,0,50,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-228,34,1,0,20220417,PHX,NOP
1,Shot Chart Detail,0042100143,149,1628470,Torrey Craig,1610612756,Phoenix Suns,1,0,54,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-26,106,1,0,20220422,NOP,PHX
2,Shot Chart Detail,0042100143,158,1628470,Torrey Craig,1610612756,Phoenix Suns,1,0,1,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,15,1,0,20220422,NOP,PHX
3,Shot Chart Detail,0042100143,470,1628470,Torrey Craig,1610612756,Phoenix Suns,3,2,36,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-4,82,1,0,20220422,NOP,PHX
4,Shot Chart Detail,0042100144,428,1628470,Torrey Craig,1610612756,Phoenix Suns,3,3,47,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-16,34,1,0,20220424,NOP,PHX
5,Shot Chart Detail,0042100144,481,1628470,Torrey Craig,1610612756,Phoenix Suns,3,3,45,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,12,1,0,20220424,NOP,PHX
6,Shot Chart Detail,0042100144,430,1628470,Torrey Craig,1610612756,Phoenix Suns,3,3,43,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,4,1,1,20220424,NOP,PHX
7,Shot Chart Detail,0042100144,444,1628470,Torrey Craig,1610612756,Phoenix Suns,3,2,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-75,247,1,0,20220424,NOP,PHX
8,Shot Chart Detail,0042100144,680,1628470,Torrey Craig,1610612756,Phoenix Suns,4,0,51,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,6,1,1,20220424,NOP,PHX
9,Shot Chart Detail,0042100221,258,1628470,Torrey Craig,1610612756,Phoenix Suns,2,4,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,131,223,1,0,20220502,PHX,DAL
10,Shot Chart Detail,0042100225,605,1628470,Torrey Craig,1610612756,Phoenix Suns,4,1,52,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,22,1,0,20220510,PHX,DAL
11,Shot Chart Detail,0042100225,613,1628470,Torrey Craig,1610612756,Phoenix Suns,4,1,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,11,261,1,1,20220510,PHX,DAL
12,Shot Chart Detail,0042100225,619,1628470,Torrey Craig,1610612756,Phoenix Suns,4,0,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,64,242,1,1,20220510,PHX,DAL
13,Shot Chart Detail,0042100226,452,1628470,Torrey Craig,1610612756,Phoenix Suns,3,1,8,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,20,1,1,20220512,DAL,PHX
14,Shot Chart Detail,0042100226,473,1628470,Torrey Craig,1610612756,Phoenix Suns,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,102,235,1,0,20220512,DAL,PHX
