,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100101,11,1629027,Trae Young,1610612737,Atlanta Hawks,1,11,2,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-154,197,1,0,20220417,MIA,ATL
1,Shot Chart Detail,0042100101,92,1629027,Trae Young,1610612737,Atlanta Hawks,1,5,21,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-233,79,1,0,20220417,MIA,ATL
2,Shot Chart Detail,0042100101,126,1629027,Trae Young,1610612737,Atlanta Hawks,1,3,2,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,0,20220417,MIA,ATL
3,Shot Chart Detail,0042100101,174,1629027,Trae Young,1610612737,Atlanta Hawks,1,0,37,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-5,1,1,20220417,MIA,ATL
4,Shot Chart Detail,0042100101,268,1629027,Trae Young,1610612737,Atlanta Hawks,2,6,8,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-234,59,1,0,20220417,MIA,ATL
5,Shot Chart Detail,0042100101,283,1629027,Trae Young,1610612737,Atlanta Hawks,2,5,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,119,263,1,0,20220417,MIA,ATL
6,Shot Chart Detail,0042100101,285,1629027,Trae Young,1610612737,Atlanta Hawks,2,5,0,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,71,127,1,0,20220417,MIA,ATL
7,Shot Chart Detail,0042100101,343,1629027,Trae Young,1610612737,Atlanta Hawks,2,0,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,26,253,1,0,20220417,MIA,ATL
8,Shot Chart Detail,0042100101,345,1629027,Trae Young,1610612737,Atlanta Hawks,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,214,209,1,0,20220417,MIA,ATL
9,Shot Chart Detail,0042100101,369,1629027,Trae Young,1610612737,Atlanta Hawks,3,10,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,-91,204,1,0,20220417,MIA,ATL
