,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100121,61,202083,Wesley Matthews,1610612749,Milwaukee Bucks,1,6,3,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-228,-3,1,1,20220417,MIL,CHI
1,Shot Chart Detail,0042100121,64,202083,Wesley Matthews,1610612749,Milwaukee Bucks,1,5,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-203,160,1,0,20220417,MIL,CHI
2,Shot Chart Detail,0042100121,394,202083,Wesley Matthews,1610612749,Milwaukee Bucks,3,8,17,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,13,1,1,20220417,MIL,CHI
3,Shot Chart Detail,0042100122,46,202083,Wesley Matthews,1610612749,Milwaukee Bucks,1,7,33,Made Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,2,1,1,20220420,MIL,CHI
4,Shot Chart Detail,0042100122,55,202083,Wesley Matthews,1610612749,Milwaukee Bucks,1,6,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-189,193,1,1,20220420,MIL,CHI
5,Shot Chart Detail,0042100122,73,202083,Wesley Matthews,1610612749,Milwaukee Bucks,1,5,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,148,226,1,0,20220420,MIL,CHI
6,Shot Chart Detail,0042100122,253,202083,Wesley Matthews,1610612749,Milwaukee Bucks,2,3,52,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,17,1,1,20220420,MIL,CHI
7,Shot Chart Detail,0042100122,350,202083,Wesley Matthews,1610612749,Milwaukee Bucks,3,9,7,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-212,163,1,0,20220420,MIL,CHI
8,Shot Chart Detail,0042100122,356,202083,Wesley Matthews,1610612749,Milwaukee Bucks,3,8,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,207,173,1,0,20220420,MIL,CHI
9,Shot Chart Detail,0042100122,512,202083,Wesley Matthews,1610612749,Milwaukee Bucks,4,8,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,13,1,1,20220420,MIL,CHI
10,Shot Chart Detail,0042100123,56,202083,Wesley Matthews,1610612749,Milwaukee Bucks,1,6,12,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,3,1,0,20220422,CHI,MIL
11,Shot Chart Detail,0042100123,325,202083,Wesley Matthews,1610612749,Milwaukee Bucks,3,7,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,164,193,1,1,20220422,CHI,MIL
12,Shot Chart Detail,0042100123,329,202083,Wesley Matthews,1610612749,Milwaukee Bucks,3,6,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,44,278,1,0,20220422,CHI,MIL
13,Shot Chart Detail,0042100124,57,202083,Wesley Matthews,1610612749,Milwaukee Bucks,1,7,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-212,137,1,0,20220424,CHI,MIL
14,Shot Chart Detail,0042100124,65,202083,Wesley Matthews,1610612749,Milwaukee Bucks,1,6,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-186,163,1,0,20220424,CHI,MIL
15,Shot Chart Detail,0042100124,339,202083,Wesley Matthews,1610612749,Milwaukee Bucks,3,9,59,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,12,1,0,20220424,CHI,MIL
16,Shot Chart Detail,0042100124,351,202083,Wesley Matthews,1610612749,Milwaukee Bucks,3,8,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,66,269,1,0,20220424,CHI,MIL
17,Shot Chart Detail,0042100124,557,202083,Wesley Matthews,1610612749,Milwaukee Bucks,4,6,58,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-244,29,1,1,20220424,CHI,MIL
18,Shot Chart Detail,0042100124,561,202083,Wesley Matthews,1610612749,Milwaukee Bucks,4,6,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,183,191,1,1,20220424,CHI,MIL
19,Shot Chart Detail,0042100125,41,202083,Wesley Matthews,1610612749,Milwaukee Bucks,1,8,56,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,28,1,0,20220427,MIL,CHI
20,Shot Chart Detail,0042100125,196,202083,Wesley Matthews,1610612749,Milwaukee Bucks,2,9,26,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,11,1,1,20220427,MIL,CHI
21,Shot Chart Detail,0042100125,215,202083,Wesley Matthews,1610612749,Milwaukee Bucks,2,7,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-221,97,1,1,20220427,MIL,CHI
22,Shot Chart Detail,0042100125,395,202083,Wesley Matthews,1610612749,Milwaukee Bucks,3,6,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,17,262,1,1,20220427,MIL,CHI
23,Shot Chart Detail,0042100125,547,202083,Wesley Matthews,1610612749,Milwaukee Bucks,4,8,16,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,8,1,0,20220427,MIL,CHI
24,Shot Chart Detail,0042100125,582,202083,Wesley Matthews,1610612749,Milwaukee Bucks,4,6,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,105,246,1,0,20220427,MIL,CHI
25,Shot Chart Detail,0042100211,20,202083,Wesley Matthews,1610612749,Milwaukee Bucks,1,10,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-87,256,1,0,20220501,BOS,MIL
26,Shot Chart Detail,0042100211,77,202083,Wesley Matthews,1610612749,Milwaukee Bucks,1,6,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,1,259,1,0,20220501,BOS,MIL
27,Shot Chart Detail,0042100211,167,202083,Wesley Matthews,1610612749,Milwaukee Bucks,1,0,31,Made Shot,Alley Oop Layup shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,36,21,1,1,20220501,BOS,MIL
28,Shot Chart Detail,0042100211,280,202083,Wesley Matthews,1610612749,Milwaukee Bucks,2,5,32,Made Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-225,42,1,1,20220501,BOS,MIL
29,Shot Chart Detail,0042100211,341,202083,Wesley Matthews,1610612749,Milwaukee Bucks,2,0,43,Missed Shot,Fadeaway Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-228,-1,1,0,20220501,BOS,MIL
30,Shot Chart Detail,0042100211,423,202083,Wesley Matthews,1610612749,Milwaukee Bucks,3,7,38,Missed Shot,Fadeaway Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,62,1,0,20220501,BOS,MIL
31,Shot Chart Detail,0042100211,699,202083,Wesley Matthews,1610612749,Milwaukee Bucks,4,2,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,-22,1,0,20220501,BOS,MIL
32,Shot Chart Detail,0042100212,167,202083,Wesley Matthews,1610612749,Milwaukee Bucks,2,10,23,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,4,90,1,1,20220503,BOS,MIL
33,Shot Chart Detail,0042100212,410,202083,Wesley Matthews,1610612749,Milwaukee Bucks,3,4,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,210,137,1,0,20220503,BOS,MIL
34,Shot Chart Detail,0042100213,298,202083,Wesley Matthews,1610612749,Milwaukee Bucks,2,3,44,Missed Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-237,75,1,0,20220507,MIL,BOS
35,Shot Chart Detail,0042100213,431,202083,Wesley Matthews,1610612749,Milwaukee Bucks,3,8,57,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,16,38,1,0,20220507,MIL,BOS
36,Shot Chart Detail,0042100213,434,202083,Wesley Matthews,1610612749,Milwaukee Bucks,3,8,53,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,-4,1,0,20220507,MIL,BOS
37,Shot Chart Detail,0042100213,480,202083,Wesley Matthews,1610612749,Milwaukee Bucks,3,5,5,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,27,1,0,20220507,MIL,BOS
