,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100161,7,203115,Will Barton,1610612743,Denver Nuggets,1,11,45,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-120,151,1,0,20220416,GSW,DEN
1,Shot Chart Detail,0042100161,13,203115,Will Barton,1610612743,Denver Nuggets,1,11,15,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-44,40,1,1,20220416,GSW,DEN
2,Shot Chart Detail,0042100161,41,203115,Will Barton,1610612743,Denver Nuggets,1,7,52,Made Shot,Running Alley Oop Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,48,25,1,1,20220416,GSW,DEN
3,Shot Chart Detail,0042100161,238,203115,Will Barton,1610612743,Denver Nuggets,2,5,58,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,10,69,1,1,20220416,GSW,DEN
4,Shot Chart Detail,0042100161,249,203115,Will Barton,1610612743,Denver Nuggets,2,4,51,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,13,124,1,0,20220416,GSW,DEN
5,Shot Chart Detail,0042100161,253,203115,Will Barton,1610612743,Denver Nuggets,2,4,26,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-229,67,1,0,20220416,GSW,DEN
6,Shot Chart Detail,0042100161,290,203115,Will Barton,1610612743,Denver Nuggets,2,1,57,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-53,26,1,1,20220416,GSW,DEN
7,Shot Chart Detail,0042100161,312,203115,Will Barton,1610612743,Denver Nuggets,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-208,156,1,0,20220416,GSW,DEN
8,Shot Chart Detail,0042100161,322,203115,Will Barton,1610612743,Denver Nuggets,3,11,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-89,247,1,0,20220416,GSW,DEN
9,Shot Chart Detail,0042100161,376,203115,Will Barton,1610612743,Denver Nuggets,3,7,44,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,36,38,1,1,20220416,GSW,DEN
10,Shot Chart Detail,0042100161,385,203115,Will Barton,1610612743,Denver Nuggets,3,7,30,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,22,36,1,0,20220416,GSW,DEN
