,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100006,133,1628988,Aaron Holiday,1610612764,Washington Wizards,1,1,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,169,180,1,0,20211020,TOR,WAS
1,Shot Chart Detail,0022100006,150,1628988,Aaron Holiday,1610612764,Washington Wizards,1,0,42,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-43,69,1,0,20211020,TOR,WAS
2,Shot Chart Detail,0022100006,189,1628988,Aaron Holiday,1610612764,Washington Wizards,2,10,44,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-44,156,1,0,20211020,TOR,WAS
3,Shot Chart Detail,0022100006,511,1628988,Aaron Holiday,1610612764,Washington Wizards,3,2,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-173,228,1,0,20211020,TOR,WAS
4,Shot Chart Detail,0022100019,7,1628988,Aaron Holiday,1610612764,Washington Wizards,1,11,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,164,207,1,1,20211022,WAS,IND
5,Shot Chart Detail,0022100019,15,1628988,Aaron Holiday,1610612764,Washington Wizards,1,10,42,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,-58,88,1,0,20211022,WAS,IND
6,Shot Chart Detail,0022100019,54,1628988,Aaron Holiday,1610612764,Washington Wizards,1,7,51,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,11,1,1,20211022,WAS,IND
7,Shot Chart Detail,0022100019,80,1628988,Aaron Holiday,1610612764,Washington Wizards,1,6,6,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,62,2,1,0,20211022,WAS,IND
8,Shot Chart Detail,0022100019,386,1628988,Aaron Holiday,1610612764,Washington Wizards,3,8,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-85,273,1,0,20211022,WAS,IND
9,Shot Chart Detail,0022100019,538,1628988,Aaron Holiday,1610612764,Washington Wizards,4,11,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-183,194,1,0,20211022,WAS,IND
