,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100011,149,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,1,0,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-232,100,1,0,20211020,UTA,OKC
1,Shot Chart Detail,0022100011,420,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,3,4,16,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,-11,1,0,20211020,UTA,OKC
2,Shot Chart Detail,0022100023,142,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,1,2,14,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,14,1,1,20211022,HOU,OKC
3,Shot Chart Detail,0022100023,157,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,1,0,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-142,248,1,0,20211022,HOU,OKC
4,Shot Chart Detail,0022100023,504,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,3,3,24,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,228,31,1,0,20211022,HOU,OKC
5,Shot Chart Detail,0022100023,564,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,4,11,22,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,25,67,1,1,20211022,HOU,OKC
6,Shot Chart Detail,0022100023,566,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,4,10,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,43,269,1,1,20211022,HOU,OKC
7,Shot Chart Detail,0022100023,582,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,4,9,58,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,12,1,1,20211022,HOU,OKC
8,Shot Chart Detail,0022100023,598,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,4,8,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,108,262,1,0,20211022,HOU,OKC
9,Shot Chart Detail,0022100023,610,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,4,7,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,134,257,1,0,20211022,HOU,OKC
10,Shot Chart Detail,0022100023,650,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,4,4,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,214,160,1,0,20211022,HOU,OKC
11,Shot Chart Detail,0022100038,142,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,1,1,16,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,51,17,1,0,20211024,OKC,PHI
12,Shot Chart Detail,0022100038,148,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,1,0,31,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,195,14,1,0,20211024,OKC,PHI
13,Shot Chart Detail,0022100038,152,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,1,0,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,-93,48,1,1,20211024,OKC,PHI
14,Shot Chart Detail,0022100038,170,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,2,11,14,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,21,32,1,1,20211024,OKC,PHI
15,Shot Chart Detail,0022100038,185,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,2,9,39,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,-16,1,0,20211024,OKC,PHI
16,Shot Chart Detail,0022100051,150,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,1,0,29,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,0,20211026,OKC,GSW
17,Shot Chart Detail,0022100051,172,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,2,11,11,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,58,89,1,1,20211026,OKC,GSW
18,Shot Chart Detail,0022100051,184,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,2,10,10,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-207,131,1,1,20211026,OKC,GSW
19,Shot Chart Detail,0022100051,197,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,2,8,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-164,205,1,0,20211026,OKC,GSW
20,Shot Chart Detail,0022100051,242,1630197,Aleksej Pokusevski,1610612760,Oklahoma City Thunder,2,5,41,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,0,1,1,20211026,OKC,GSW
