,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100004,110,1627936,Alex Caruso,1610612741,Chicago Bulls,1,2,55,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-26,58,1,0,20211020,DET,CHI
1,Shot Chart Detail,0022100004,163,1627936,Alex Caruso,1610612741,Chicago Bulls,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,148,241,1,0,20211020,DET,CHI
2,Shot Chart Detail,0022100004,192,1627936,Alex Caruso,1610612741,Chicago Bulls,2,9,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,156,226,1,1,20211020,DET,CHI
3,Shot Chart Detail,0022100004,200,1627936,Alex Caruso,1610612741,Chicago Bulls,2,9,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-129,223,1,0,20211020,DET,CHI
4,Shot Chart Detail,0022100004,414,1627936,Alex Caruso,1610612741,Chicago Bulls,3,3,57,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,34,10,1,0,20211020,DET,CHI
5,Shot Chart Detail,0022100022,176,1627936,Alex Caruso,1610612741,Chicago Bulls,2,10,29,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,13,1,0,20211022,CHI,NOP
6,Shot Chart Detail,0022100022,276,1627936,Alex Caruso,1610612741,Chicago Bulls,2,2,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,6,1,1,20211022,CHI,NOP
7,Shot Chart Detail,0022100022,403,1627936,Alex Caruso,1610612741,Chicago Bulls,3,4,37,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,24,1,0,20211022,CHI,NOP
8,Shot Chart Detail,0022100022,443,1627936,Alex Caruso,1610612741,Chicago Bulls,3,1,54,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,22,1,0,20211022,CHI,NOP
9,Shot Chart Detail,0022100022,445,1627936,Alex Caruso,1610612741,Chicago Bulls,3,1,52,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211022,CHI,NOP
10,Shot Chart Detail,0022100022,563,1627936,Alex Caruso,1610612741,Chicago Bulls,4,5,28,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,-8,1,1,20211022,CHI,NOP
11,Shot Chart Detail,0022100022,592,1627936,Alex Caruso,1610612741,Chicago Bulls,4,3,53,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-1,1,1,20211022,CHI,NOP
12,Shot Chart Detail,0022100030,298,1627936,Alex Caruso,1610612741,Chicago Bulls,2,4,32,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-233,-6,1,1,20211023,CHI,DET
13,Shot Chart Detail,0022100030,498,1627936,Alex Caruso,1610612741,Chicago Bulls,3,1,16,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,10,1,0,20211023,CHI,DET
14,Shot Chart Detail,0022100030,524,1627936,Alex Caruso,1610612741,Chicago Bulls,4,11,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,135,238,1,1,20211023,CHI,DET
15,Shot Chart Detail,0022100030,671,1627936,Alex Caruso,1610612741,Chicago Bulls,4,0,55,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-119,10,1,1,20211023,CHI,DET
16,Shot Chart Detail,0022100046,126,1627936,Alex Caruso,1610612741,Chicago Bulls,1,2,24,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,148,13,1,0,20211025,TOR,CHI
17,Shot Chart Detail,0022100046,171,1627936,Alex Caruso,1610612741,Chicago Bulls,2,10,12,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,115,238,1,1,20211025,TOR,CHI
18,Shot Chart Detail,0022100046,291,1627936,Alex Caruso,1610612741,Chicago Bulls,2,0,48,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,6,1,1,20211025,TOR,CHI
19,Shot Chart Detail,0022100046,633,1627936,Alex Caruso,1610612741,Chicago Bulls,4,1,59,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-20,70,1,0,20211025,TOR,CHI
20,Shot Chart Detail,0022100067,76,1627936,Alex Caruso,1610612741,Chicago Bulls,1,3,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-148,56,1,0,20211028,CHI,NYK
21,Shot Chart Detail,0022100067,87,1627936,Alex Caruso,1610612741,Chicago Bulls,1,3,6,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,1,1,1,20211028,CHI,NYK
22,Shot Chart Detail,0022100067,91,1627936,Alex Caruso,1610612741,Chicago Bulls,1,2,34,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,17,1,1,20211028,CHI,NYK
