,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100026,258,203458,Alex Len,1610612758,Sacramento Kings,2,5,9,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,4,113,1,1,20211022,SAC,UTA
1,Shot Chart Detail,0022100026,453,203458,Alex Len,1610612758,Sacramento Kings,3,4,25,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,0,131,1,0,20211022,SAC,UTA
2,Shot Chart Detail,0022100062,112,203458,Alex Len,1610612758,Sacramento Kings,1,2,46,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,5,1,1,20211027,PHX,SAC
3,Shot Chart Detail,0022100062,228,203458,Alex Len,1610612758,Sacramento Kings,2,6,46,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,-23,1,1,20211027,PHX,SAC
4,Shot Chart Detail,0022100062,568,203458,Alex Len,1610612758,Sacramento Kings,4,7,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,48,253,1,1,20211027,PHX,SAC
5,Shot Chart Detail,0022100062,606,203458,Alex Len,1610612758,Sacramento Kings,4,5,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-44,4,1,0,20211027,PHX,SAC
6,Shot Chart Detail,0022100074,86,203458,Alex Len,1610612758,Sacramento Kings,1,4,10,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,6,105,1,1,20211029,NOP,SAC
7,Shot Chart Detail,0022100074,109,203458,Alex Len,1610612758,Sacramento Kings,1,3,4,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,13,1,1,20211029,NOP,SAC
8,Shot Chart Detail,0022100074,257,203458,Alex Len,1610612758,Sacramento Kings,2,5,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-42,116,1,0,20211029,NOP,SAC
9,Shot Chart Detail,0022100074,563,203458,Alex Len,1610612758,Sacramento Kings,4,6,4,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,43,54,1,0,20211029,NOP,SAC
