,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100394,81,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,1,4,48,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-237,21,1,1,20211211,MIA,CHI
1,Shot Chart Detail,0022100394,463,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,11,36,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,-105,29,1,0,20211211,MIA,CHI
2,Shot Chart Detail,0022100394,471,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,11,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,147,218,1,0,20211211,MIA,CHI
3,Shot Chart Detail,0022100394,478,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,10,32,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,26,1,0,20211211,MIA,CHI
4,Shot Chart Detail,0022100394,572,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,3,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,12,259,1,1,20211211,MIA,CHI
5,Shot Chart Detail,0022100394,617,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,0,47,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,93,183,1,0,20211211,MIA,CHI
6,Shot Chart Detail,0022100415,264,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,2,5,39,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,3,1,1,20220111,CHI,DET
7,Shot Chart Detail,0022100415,617,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,5,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,181,196,1,1,20220111,CHI,DET
8,Shot Chart Detail,0022100415,621,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,5,18,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,-14,1,1,20220111,CHI,DET
9,Shot Chart Detail,0022100415,683,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,1,19,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220111,CHI,DET
10,Shot Chart Detail,0022100415,686,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,0,42,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,-99,-3,1,0,20220111,CHI,DET
11,Shot Chart Detail,0022100448,71,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,1,5,25,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,239,21,1,0,20211219,CHI,LAL
12,Shot Chart Detail,0022100448,116,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,1,2,13,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-39,34,1,1,20211219,CHI,LAL
13,Shot Chart Detail,0022100448,259,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,2,3,57,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-44,251,1,0,20211219,CHI,LAL
14,Shot Chart Detail,0022100448,591,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,6,20,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-238,5,1,0,20211219,CHI,LAL
15,Shot Chart Detail,0022100459,81,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,1,5,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-1,262,1,1,20211220,CHI,HOU
16,Shot Chart Detail,0022100459,87,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,1,5,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,115,240,1,1,20211220,CHI,HOU
17,Shot Chart Detail,0022100459,267,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,2,4,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-157,193,1,1,20211220,CHI,HOU
18,Shot Chart Detail,0022100459,433,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,3,4,20,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,237,39,1,0,20211220,CHI,HOU
19,Shot Chart Detail,0022100459,469,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,3,2,6,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,16,1,1,20211220,CHI,HOU
20,Shot Chart Detail,0022100459,528,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,9,10,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,65,78,1,0,20211220,CHI,HOU
21,Shot Chart Detail,0022100459,548,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,7,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,183,189,1,0,20211220,CHI,HOU
22,Shot Chart Detail,0022100459,570,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,5,54,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211220,CHI,HOU
23,Shot Chart Detail,0022100459,579,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,4,16,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,237,17,1,1,20211220,CHI,HOU
24,Shot Chart Detail,0022100459,644,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,0,30,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,18,1,0,20211220,CHI,HOU
25,Shot Chart Detail,0022100555,544,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,4,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,194,158,1,0,20220103,CHI,ORL
26,Shot Chart Detail,0022100603,572,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,2,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,-148,74,1,1,20220109,DAL,CHI
27,Shot Chart Detail,0022100603,591,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,4,0,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,82,240,1,0,20220109,DAL,CHI
28,Shot Chart Detail,0022100625,31,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,1,9,17,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,-20,1,0,20220112,CHI,BKN
29,Shot Chart Detail,0022100625,65,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,1,5,56,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,9,1,0,20220112,CHI,BKN
30,Shot Chart Detail,0022100625,92,1628035,Alfonzo McKinnie,1610612741,Chicago Bulls,1,4,52,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,-16,1,1,20220112,CHI,BKN
