,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100016,148,1629599,Amir Coffey,1610612746,LA Clippers,1,0,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-165,189,1,0,20211021,GSW,LAC
1,Shot Chart Detail,0022100016,481,1629599,Amir Coffey,1610612746,LA Clippers,3,2,42,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-13,78,1,0,20211021,GSW,LAC
2,Shot Chart Detail,0022100016,496,1629599,Amir Coffey,1610612746,LA Clippers,3,1,58,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,26,1,0,20211021,GSW,LAC
3,Shot Chart Detail,0022100049,615,1629599,Amir Coffey,1610612746,LA Clippers,4,5,31,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-186,187,1,1,20211025,LAC,POR
4,Shot Chart Detail,0022100049,638,1629599,Amir Coffey,1610612746,LA Clippers,4,3,51,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-240,57,1,0,20211025,LAC,POR
5,Shot Chart Detail,0022100049,669,1629599,Amir Coffey,1610612746,LA Clippers,4,1,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-158,188,1,0,20211025,LAC,POR
6,Shot Chart Detail,0022100076,135,1629599,Amir Coffey,1610612746,LA Clippers,1,2,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,176,190,1,1,20211029,POR,LAC
7,Shot Chart Detail,0022100076,192,1629599,Amir Coffey,1610612746,LA Clippers,2,9,34,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,70,173,1,0,20211029,POR,LAC
8,Shot Chart Detail,0022100076,200,1629599,Amir Coffey,1610612746,LA Clippers,2,9,6,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-228,53,1,0,20211029,POR,LAC
9,Shot Chart Detail,0022100076,210,1629599,Amir Coffey,1610612746,LA Clippers,2,8,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,151,227,1,0,20211029,POR,LAC
10,Shot Chart Detail,0022100076,512,1629599,Amir Coffey,1610612746,LA Clippers,4,10,57,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,-82,141,1,1,20211029,POR,LAC
11,Shot Chart Detail,0022100076,518,1629599,Amir Coffey,1610612746,LA Clippers,4,10,22,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,10,1,0,20211029,POR,LAC
12,Shot Chart Detail,0022100102,331,1629599,Amir Coffey,1610612746,LA Clippers,2,0,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,164,203,1,0,20211101,LAC,OKC
13,Shot Chart Detail,0022100129,676,1629599,Amir Coffey,1610612746,LA Clippers,4,2,17,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-36,190,1,0,20211105,MIN,LAC
14,Shot Chart Detail,0022100212,80,1629599,Amir Coffey,1610612746,LA Clippers,1,4,45,Missed Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-229,37,1,0,20211116,LAC,SAS
15,Shot Chart Detail,0022100212,419,1629599,Amir Coffey,1610612746,LA Clippers,3,4,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,87,254,1,1,20211116,LAC,SAS
16,Shot Chart Detail,0022100212,591,1629599,Amir Coffey,1610612746,LA Clippers,4,1,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-237,88,1,0,20211116,LAC,SAS
17,Shot Chart Detail,0022100226,25,1629599,Amir Coffey,1610612746,LA Clippers,1,9,40,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,222,-18,1,0,20211118,MEM,LAC
18,Shot Chart Detail,0022100226,39,1629599,Amir Coffey,1610612746,LA Clippers,1,8,19,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,59,1,0,20211118,MEM,LAC
19,Shot Chart Detail,0022100226,240,1629599,Amir Coffey,1610612746,LA Clippers,2,4,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-110,241,1,1,20211118,MEM,LAC
20,Shot Chart Detail,0022100226,298,1629599,Amir Coffey,1610612746,LA Clippers,3,11,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,126,221,1,0,20211118,MEM,LAC
21,Shot Chart Detail,0022100226,330,1629599,Amir Coffey,1610612746,LA Clippers,3,8,24,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,13,1,0,20211118,MEM,LAC
22,Shot Chart Detail,0022100226,343,1629599,Amir Coffey,1610612746,LA Clippers,3,7,15,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,7,1,0,20211118,MEM,LAC
23,Shot Chart Detail,0022100226,351,1629599,Amir Coffey,1610612746,LA Clippers,3,6,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-130,218,1,1,20211118,MEM,LAC
24,Shot Chart Detail,0022100226,570,1629599,Amir Coffey,1610612746,LA Clippers,4,3,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-154,231,1,0,20211118,MEM,LAC
