,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100013,137,1629014,Anfernee Simons,1610612757,Portland Trail Blazers,1,1,58,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-18,67,1,1,20211020,POR,SAC
1,Shot Chart Detail,0022100013,197,1629014,Anfernee Simons,1610612757,Portland Trail Blazers,2,10,24,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,74,249,1,0,20211020,POR,SAC
2,Shot Chart Detail,0022100013,202,1629014,Anfernee Simons,1610612757,Portland Trail Blazers,2,10,5,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,12,1,1,20211020,POR,SAC
3,Shot Chart Detail,0022100013,274,1629014,Anfernee Simons,1610612757,Portland Trail Blazers,2,4,36,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-29,64,1,1,20211020,POR,SAC
4,Shot Chart Detail,0022100013,500,1629014,Anfernee Simons,1610612757,Portland Trail Blazers,3,0,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,3,1,1,20211020,POR,SAC
5,Shot Chart Detail,0022100013,512,1629014,Anfernee Simons,1610612757,Portland Trail Blazers,4,11,29,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,15,1,1,20211020,POR,SAC
6,Shot Chart Detail,0022100033,69,1629014,Anfernee Simons,1610612757,Portland Trail Blazers,1,5,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-146,200,1,0,20211023,POR,PHX
7,Shot Chart Detail,0022100033,169,1629014,Anfernee Simons,1610612757,Portland Trail Blazers,2,10,3,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,29,57,1,0,20211023,POR,PHX
8,Shot Chart Detail,0022100033,259,1629014,Anfernee Simons,1610612757,Portland Trail Blazers,2,3,52,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,-7,1,1,20211023,POR,PHX
9,Shot Chart Detail,0022100033,425,1629014,Anfernee Simons,1610612757,Portland Trail Blazers,3,3,11,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,214,134,1,0,20211023,POR,PHX
10,Shot Chart Detail,0022100033,439,1629014,Anfernee Simons,1610612757,Portland Trail Blazers,3,2,23,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-2,83,1,0,20211023,POR,PHX
11,Shot Chart Detail,0022100033,443,1629014,Anfernee Simons,1610612757,Portland Trail Blazers,3,1,54,Made Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-238,73,1,1,20211023,POR,PHX
12,Shot Chart Detail,0022100033,446,1629014,Anfernee Simons,1610612757,Portland Trail Blazers,3,1,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-1,1,1,20211023,POR,PHX
