,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100187,162,1630264,Anthony Gill,1610612764,Washington Wizards,1,0,8,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211113,ORL,WAS
1,Shot Chart Detail,0022100225,97,1630264,Anthony Gill,1610612764,Washington Wizards,1,3,28,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,-1,1,0,20211118,MIA,WAS
2,Shot Chart Detail,0022100225,119,1630264,Anthony Gill,1610612764,Washington Wizards,1,1,52,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211118,MIA,WAS
3,Shot Chart Detail,0022100225,388,1630264,Anthony Gill,1610612764,Washington Wizards,3,4,18,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,8,1,1,20211118,MIA,WAS
4,Shot Chart Detail,0022100275,623,1630264,Anthony Gill,1610612764,Washington Wizards,4,6,17,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-1,74,1,1,20211124,NOP,WAS
5,Shot Chart Detail,0022100275,686,1630264,Anthony Gill,1610612764,Washington Wizards,4,3,19,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2,31,1,0,20211124,NOP,WAS
6,Shot Chart Detail,0022100275,701,1630264,Anthony Gill,1610612764,Washington Wizards,4,2,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-98,247,1,1,20211124,NOP,WAS
7,Shot Chart Detail,0022100275,723,1630264,Anthony Gill,1610612764,Washington Wizards,4,0,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,4,257,1,1,20211124,NOP,WAS
8,Shot Chart Detail,0022100311,626,1630264,Anthony Gill,1610612764,Washington Wizards,4,0,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-58,259,1,1,20211129,SAS,WAS
9,Shot Chart Detail,0022100351,576,1630264,Anthony Gill,1610612764,Washington Wizards,4,3,23,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,7,1,1,20211205,TOR,WAS
10,Shot Chart Detail,0022100368,326,1630264,Anthony Gill,1610612764,Washington Wizards,2,0,38,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-4,53,1,1,20211208,DET,WAS
11,Shot Chart Detail,0022100392,611,1630264,Anthony Gill,1610612764,Washington Wizards,4,2,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,12,1,1,20211211,WAS,UTA
