,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100008,616,1629717,Armoni Brooks,1610612745,Houston Rockets,4,7,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,170,179,1,0,20211020,MIN,HOU
1,Shot Chart Detail,0022100008,623,1629717,Armoni Brooks,1610612745,Houston Rockets,4,6,37,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-31,282,1,0,20211020,MIN,HOU
2,Shot Chart Detail,0022100008,707,1629717,Armoni Brooks,1610612745,Houston Rockets,4,1,40,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,1,20211020,MIN,HOU
3,Shot Chart Detail,0022100008,719,1629717,Armoni Brooks,1610612745,Houston Rockets,4,0,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,164,192,1,1,20211020,MIN,HOU
4,Shot Chart Detail,0022100023,675,1629717,Armoni Brooks,1610612745,Houston Rockets,4,3,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,134,252,1,0,20211022,HOU,OKC
5,Shot Chart Detail,0022100023,679,1629717,Armoni Brooks,1610612745,Houston Rockets,4,2,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,1,20211022,HOU,OKC
6,Shot Chart Detail,0022100023,688,1629717,Armoni Brooks,1610612745,Houston Rockets,4,2,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,13,264,1,1,20211022,HOU,OKC
7,Shot Chart Detail,0022100068,503,1629717,Armoni Brooks,1610612745,Houston Rockets,3,1,16,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,61,10,1,0,20211028,HOU,UTA
8,Shot Chart Detail,0022100068,507,1629717,Armoni Brooks,1610612745,Houston Rockets,3,0,56,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-234,88,1,1,20211028,HOU,UTA
9,Shot Chart Detail,0022100068,580,1629717,Armoni Brooks,1610612745,Houston Rockets,4,7,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,150,231,1,0,20211028,HOU,UTA
10,Shot Chart Detail,0022100068,613,1629717,Armoni Brooks,1610612745,Houston Rockets,4,5,16,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-130,231,1,0,20211028,HOU,UTA
11,Shot Chart Detail,0022100068,638,1629717,Armoni Brooks,1610612745,Houston Rockets,4,4,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,191,199,1,0,20211028,HOU,UTA
12,Shot Chart Detail,0022100068,675,1629717,Armoni Brooks,1610612745,Houston Rockets,4,1,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,228,70,1,0,20211028,HOU,UTA
13,Shot Chart Detail,0022100107,151,1629717,Armoni Brooks,1610612745,Houston Rockets,1,1,43,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,0,20211102,LAL,HOU
14,Shot Chart Detail,0022100107,163,1629717,Armoni Brooks,1610612745,Houston Rockets,1,0,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,153,207,1,0,20211102,LAL,HOU
15,Shot Chart Detail,0022100107,191,1629717,Armoni Brooks,1610612745,Houston Rockets,2,10,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-31,257,1,0,20211102,LAL,HOU
16,Shot Chart Detail,0022100107,529,1629717,Armoni Brooks,1610612745,Houston Rockets,4,10,32,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,224,30,1,1,20211102,LAL,HOU
17,Shot Chart Detail,0022100122,227,1629717,Armoni Brooks,1610612745,Houston Rockets,2,8,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-20,279,1,1,20211104,PHX,HOU
18,Shot Chart Detail,0022100133,138,1629717,Armoni Brooks,1610612745,Houston Rockets,1,0,28,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,167,192,1,0,20211106,DEN,HOU
19,Shot Chart Detail,0022100145,234,1629717,Armoni Brooks,1610612745,Houston Rockets,2,8,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-219,141,1,0,20211107,GSW,HOU
20,Shot Chart Detail,0022100145,288,1629717,Armoni Brooks,1610612745,Houston Rockets,2,5,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-93,248,1,0,20211107,GSW,HOU
21,Shot Chart Detail,0022100145,557,1629717,Armoni Brooks,1610612745,Houston Rockets,4,11,46,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,165,202,1,0,20211107,GSW,HOU
22,Shot Chart Detail,0022100145,596,1629717,Armoni Brooks,1610612745,Houston Rockets,4,8,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,147,223,1,0,20211107,GSW,HOU
23,Shot Chart Detail,0022100145,612,1629717,Armoni Brooks,1610612745,Houston Rockets,4,7,20,Made Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,225,46,1,1,20211107,GSW,HOU
24,Shot Chart Detail,0022100145,621,1629717,Armoni Brooks,1610612745,Houston Rockets,4,6,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-80,270,1,0,20211107,GSW,HOU
25,Shot Chart Detail,0022100145,643,1629717,Armoni Brooks,1610612745,Houston Rockets,4,5,3,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,225,13,1,0,20211107,GSW,HOU
26,Shot Chart Detail,0022100145,673,1629717,Armoni Brooks,1610612745,Houston Rockets,4,2,8,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,16,1,1,20211107,GSW,HOU
27,Shot Chart Detail,0022100145,676,1629717,Armoni Brooks,1610612745,Houston Rockets,4,1,40,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,91,254,1,0,20211107,GSW,HOU
28,Shot Chart Detail,0022100145,688,1629717,Armoni Brooks,1610612745,Houston Rockets,4,1,10,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-20,39,1,1,20211107,GSW,HOU
