,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100015,9,1628389,Bam Adebayo,1610612748,Miami Heat,1,11,40,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-28,43,1,1,20211021,MIA,MIL
1,Shot Chart Detail,0022100015,25,1628389,Bam Adebayo,1610612748,Miami Heat,1,10,50,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,47,167,1,0,20211021,MIA,MIL
2,Shot Chart Detail,0022100015,51,1628389,Bam Adebayo,1610612748,Miami Heat,1,8,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,12,1,1,20211021,MIA,MIL
3,Shot Chart Detail,0022100015,54,1628389,Bam Adebayo,1610612748,Miami Heat,1,8,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,109,136,1,1,20211021,MIA,MIL
4,Shot Chart Detail,0022100015,199,1628389,Bam Adebayo,1610612748,Miami Heat,2,11,31,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,27,137,1,0,20211021,MIA,MIL
5,Shot Chart Detail,0022100015,255,1628389,Bam Adebayo,1610612748,Miami Heat,2,8,4,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,16,1,1,20211021,MIA,MIL
6,Shot Chart Detail,0022100015,279,1628389,Bam Adebayo,1610612748,Miami Heat,2,6,34,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-5,70,1,0,20211021,MIA,MIL
7,Shot Chart Detail,0022100015,344,1628389,Bam Adebayo,1610612748,Miami Heat,2,3,0,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-1,47,1,1,20211021,MIA,MIL
8,Shot Chart Detail,0022100015,363,1628389,Bam Adebayo,1610612748,Miami Heat,2,1,37,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-142,39,1,1,20211021,MIA,MIL
9,Shot Chart Detail,0022100015,385,1628389,Bam Adebayo,1610612748,Miami Heat,2,0,0,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,-123,13,1,0,20211021,MIA,MIL
10,Shot Chart Detail,0022100015,431,1628389,Bam Adebayo,1610612748,Miami Heat,3,9,3,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,47,135,1,1,20211021,MIA,MIL
11,Shot Chart Detail,0022100015,462,1628389,Bam Adebayo,1610612748,Miami Heat,3,6,36,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,9,1,1,20211021,MIA,MIL
12,Shot Chart Detail,0022100015,480,1628389,Bam Adebayo,1610612748,Miami Heat,3,5,30,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,18,105,1,1,20211021,MIA,MIL
13,Shot Chart Detail,0022100028,11,1628389,Bam Adebayo,1610612748,Miami Heat,1,11,6,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,115,142,1,1,20211023,IND,MIA
