,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100048,681,1629626,Bol Bol,1610612743,Denver Nuggets,4,0,54,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,-70,88,1,0,20211025,DEN,CLE
1,Shot Chart Detail,0022100048,685,1629626,Bol Bol,1610612743,Denver Nuggets,4,0,28,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,15,1,1,20211025,DEN,CLE
2,Shot Chart Detail,0022100075,587,1629626,Bol Bol,1610612743,Denver Nuggets,4,4,30,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,239,4,1,0,20211029,DEN,DAL
3,Shot Chart Detail,0022100075,597,1629626,Bol Bol,1610612743,Denver Nuggets,4,3,32,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-20,88,1,0,20211029,DEN,DAL
4,Shot Chart Detail,0022100075,605,1629626,Bol Bol,1610612743,Denver Nuggets,4,2,34,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,5,1,1,20211029,DEN,DAL
5,Shot Chart Detail,0022100075,621,1629626,Bol Bol,1610612743,Denver Nuggets,4,1,9,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,102,16,1,1,20211029,DEN,DAL
6,Shot Chart Detail,0022100204,154,1629626,Bol Bol,1610612743,Denver Nuggets,2,11,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,219,129,1,0,20211115,DAL,DEN
7,Shot Chart Detail,0022100204,160,1629626,Bol Bol,1610612743,Denver Nuggets,2,11,0,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20211115,DAL,DEN
8,Shot Chart Detail,0022100204,170,1629626,Bol Bol,1610612743,Denver Nuggets,2,10,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,26,1,1,20211115,DAL,DEN
9,Shot Chart Detail,0022100204,178,1629626,Bol Bol,1610612743,Denver Nuggets,2,9,44,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-6,98,1,1,20211115,DAL,DEN
