,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100019,232,202954,Brad Wanamaker,1610612754,Indiana Pacers,2,7,59,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,13,71,109,1,0,20211022,WAS,IND
1,Shot Chart Detail,0022100058,240,202954,Brad Wanamaker,1610612754,Indiana Pacers,2,8,34,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,113,153,1,0,20211027,TOR,IND
2,Shot Chart Detail,0022100058,535,202954,Brad Wanamaker,1610612754,Indiana Pacers,4,10,40,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,110,120,1,1,20211027,TOR,IND
3,Shot Chart Detail,0022100058,548,202954,Brad Wanamaker,1610612754,Indiana Pacers,4,9,48,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-72,243,1,0,20211027,TOR,IND
4,Shot Chart Detail,0022100058,563,202954,Brad Wanamaker,1610612754,Indiana Pacers,4,8,42,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-45,34,1,0,20211027,TOR,IND
5,Shot Chart Detail,0022100058,621,202954,Brad Wanamaker,1610612754,Indiana Pacers,4,4,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,119,260,1,1,20211027,TOR,IND
6,Shot Chart Detail,0022100072,79,202954,Brad Wanamaker,1610612754,Indiana Pacers,1,6,23,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-75,190,1,0,20211029,BKN,IND
7,Shot Chart Detail,0022100072,123,202954,Brad Wanamaker,1610612754,Indiana Pacers,1,3,12,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-47,29,1,0,20211029,BKN,IND
8,Shot Chart Detail,0022100072,140,202954,Brad Wanamaker,1610612754,Indiana Pacers,1,2,19,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,14,1,0,20211029,BKN,IND
9,Shot Chart Detail,0022100072,516,202954,Brad Wanamaker,1610612754,Indiana Pacers,3,2,19,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-87,258,1,0,20211029,BKN,IND
10,Shot Chart Detail,0022100072,608,202954,Brad Wanamaker,1610612754,Indiana Pacers,4,8,9,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,10,217,1,0,20211029,BKN,IND
11,Shot Chart Detail,0022100081,160,202954,Brad Wanamaker,1610612754,Indiana Pacers,1,0,19,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,141,149,1,0,20211030,IND,TOR
12,Shot Chart Detail,0022100081,474,202954,Brad Wanamaker,1610612754,Indiana Pacers,3,1,24,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-67,197,1,0,20211030,IND,TOR
13,Shot Chart Detail,0022100095,109,202954,Brad Wanamaker,1610612754,Indiana Pacers,1,4,23,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,6,1,0,20211101,IND,SAS
14,Shot Chart Detail,0022100095,161,202954,Brad Wanamaker,1610612754,Indiana Pacers,1,1,14,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,22,151,1,1,20211101,IND,SAS
15,Shot Chart Detail,0022100095,169,202954,Brad Wanamaker,1610612754,Indiana Pacers,1,0,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-146,216,1,1,20211101,IND,SAS
16,Shot Chart Detail,0022100095,650,202954,Brad Wanamaker,1610612754,Indiana Pacers,4,1,10,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,-91,58,1,0,20211101,IND,SAS
17,Shot Chart Detail,0022100131,162,202954,Brad Wanamaker,1610612754,Indiana Pacers,1,0,0,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,207,158,1,0,20211105,POR,IND
