,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100006,21,203078,Bradley Beal,1610612764,Washington Wizards,1,9,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-38,252,1,0,20211020,TOR,WAS
1,Shot Chart Detail,0022100006,31,203078,Bradley Beal,1610612764,Washington Wizards,1,9,15,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,100,138,1,1,20211020,TOR,WAS
2,Shot Chart Detail,0022100006,49,203078,Bradley Beal,1610612764,Washington Wizards,1,7,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-1,1,1,20211020,TOR,WAS
3,Shot Chart Detail,0022100006,79,203078,Bradley Beal,1610612764,Washington Wizards,1,4,58,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,0,20211020,TOR,WAS
4,Shot Chart Detail,0022100006,84,203078,Bradley Beal,1610612764,Washington Wizards,1,4,45,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,-1,1,1,20211020,TOR,WAS
5,Shot Chart Detail,0022100006,224,203078,Bradley Beal,1610612764,Washington Wizards,2,8,49,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,4,1,1,20211020,TOR,WAS
6,Shot Chart Detail,0022100006,271,203078,Bradley Beal,1610612764,Washington Wizards,2,6,42,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,105,117,1,0,20211020,TOR,WAS
7,Shot Chart Detail,0022100006,325,203078,Bradley Beal,1610612764,Washington Wizards,2,3,3,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,-10,1,0,20211020,TOR,WAS
8,Shot Chart Detail,0022100006,330,203078,Bradley Beal,1610612764,Washington Wizards,2,2,40,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-6,135,1,0,20211020,TOR,WAS
9,Shot Chart Detail,0022100006,349,203078,Bradley Beal,1610612764,Washington Wizards,2,0,59,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,51,40,1,0,20211020,TOR,WAS
