,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100481,117,202688,Brandon Knight,1610612742,Dallas Mavericks,1,2,26,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,-1,1,0,20211223,DAL,MIL
1,Shot Chart Detail,0022100481,121,202688,Brandon Knight,1610612742,Dallas Mavericks,1,2,13,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,4,1,1,20211223,DAL,MIL
2,Shot Chart Detail,0022100481,131,202688,Brandon Knight,1610612742,Dallas Mavericks,1,1,13,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,55,242,1,0,20211223,DAL,MIL
3,Shot Chart Detail,0022100481,139,202688,Brandon Knight,1610612742,Dallas Mavericks,1,0,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,124,214,1,0,20211223,DAL,MIL
4,Shot Chart Detail,0022100492,105,202688,Brandon Knight,1610612742,Dallas Mavericks,1,4,26,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-77,46,1,0,20211225,UTA,DAL
5,Shot Chart Detail,0022100492,327,202688,Brandon Knight,1610612742,Dallas Mavericks,2,3,28,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-162,198,1,1,20211225,UTA,DAL
6,Shot Chart Detail,0022100492,488,202688,Brandon Knight,1610612742,Dallas Mavericks,3,3,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-112,251,1,0,20211225,UTA,DAL
7,Shot Chart Detail,0022100492,726,202688,Brandon Knight,1610612742,Dallas Mavericks,4,1,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,200,169,1,1,20211225,UTA,DAL
8,Shot Chart Detail,0022100506,140,202688,Brandon Knight,1610612742,Dallas Mavericks,1,3,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,15,1,1,20211227,POR,DAL
9,Shot Chart Detail,0022100506,144,202688,Brandon Knight,1610612742,Dallas Mavericks,1,2,57,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,13,248,1,0,20211227,POR,DAL
