,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100435,253,1630271,Brodric Thomas,1610612738,Boston Celtics,2,5,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-237,94,1,0,20211217,BOS,GSW
1,Shot Chart Detail,0022100518,399,1630271,Brodric Thomas,1610612738,Boston Celtics,3,2,25,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,0,1,1,20211229,BOS,LAC
2,Shot Chart Detail,0022100518,411,1630271,Brodric Thomas,1610612738,Boston Celtics,3,1,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,44,259,1,0,20211229,BOS,LAC
3,Shot Chart Detail,0022100518,436,1630271,Brodric Thomas,1610612738,Boston Celtics,4,11,45,Missed Shot,Running Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,15,53,1,0,20211229,BOS,LAC
4,Shot Chart Detail,0022100518,446,1630271,Brodric Thomas,1610612738,Boston Celtics,4,11,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-228,117,1,0,20211229,BOS,LAC
5,Shot Chart Detail,0022100518,449,1630271,Brodric Thomas,1610612738,Boston Celtics,4,10,49,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,54,1,0,20211229,BOS,LAC
6,Shot Chart Detail,0022100618,610,1630271,Brodric Thomas,1610612738,Boston Celtics,4,2,54,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,20,92,1,0,20220112,IND,BOS
7,Shot Chart Detail,0022100618,634,1630271,Brodric Thomas,1610612738,Boston Celtics,4,1,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,170,198,1,0,20220112,IND,BOS
8,Shot Chart Detail,0022100618,640,1630271,Brodric Thomas,1610612738,Boston Celtics,4,1,21,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-65,243,1,0,20220112,IND,BOS
9,Shot Chart Detail,0022100869,598,1630271,Brodric Thomas,1610612738,Boston Celtics,4,2,19,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,11,1,1,20220215,PHI,BOS
10,Shot Chart Detail,0022100869,609,1630271,Brodric Thomas,1610612738,Boston Celtics,4,1,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,178,206,1,1,20220215,PHI,BOS
11,Shot Chart Detail,0022100890,614,1630271,Brodric Thomas,1610612738,Boston Celtics,4,3,42,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,11,1,1,20220224,BKN,BOS
12,Shot Chart Detail,0022100890,651,1630271,Brodric Thomas,1610612738,Boston Celtics,4,1,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-1,1,1,20220224,BKN,BOS
13,Shot Chart Detail,0022101087,583,1630271,Brodric Thomas,1610612738,Boston Celtics,4,2,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,16,1,1,20220323,BOS,UTA
14,Shot Chart Detail,0022101087,594,1630271,Brodric Thomas,1610612738,Boston Celtics,4,1,24,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,119,242,1,0,20220323,BOS,UTA
15,Shot Chart Detail,0022101193,649,1630271,Brodric Thomas,1610612738,Boston Celtics,4,2,23,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,-3,1,1,20220406,CHI,BOS
16,Shot Chart Detail,0022101223,641,1630271,Brodric Thomas,1610612738,Boston Celtics,4,2,54,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,99,247,1,1,20220410,MEM,BOS
17,Shot Chart Detail,0022101223,682,1630271,Brodric Thomas,1610612738,Boston Celtics,4,0,41,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,15,1,0,20220410,MEM,BOS
