,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100014,87,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,5,31,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,192,68,1,0,20211021,ATL,DAL
1,Shot Chart Detail,0022100014,91,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,5,13,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,23,1,1,20211021,ATL,DAL
2,Shot Chart Detail,0022100014,97,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,4,47,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,10,1,0,20211021,ATL,DAL
3,Shot Chart Detail,0022100014,105,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,3,53,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,-191,74,1,0,20211021,ATL,DAL
4,Shot Chart Detail,0022100014,141,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,1,35,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,161,58,1,0,20211021,ATL,DAL
5,Shot Chart Detail,0022100014,176,1629629,Cam Reddish,1610612737,Atlanta Hawks,2,11,14,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,42,52,1,1,20211021,ATL,DAL
6,Shot Chart Detail,0022100014,183,1629629,Cam Reddish,1610612737,Atlanta Hawks,2,10,26,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,-11,1,1,20211021,ATL,DAL
7,Shot Chart Detail,0022100014,206,1629629,Cam Reddish,1610612737,Atlanta Hawks,2,8,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,18,1,1,20211021,ATL,DAL
8,Shot Chart Detail,0022100014,474,1629629,Cam Reddish,1610612737,Atlanta Hawks,3,1,34,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,-1,1,1,20211021,ATL,DAL
9,Shot Chart Detail,0022100014,492,1629629,Cam Reddish,1610612737,Atlanta Hawks,3,0,4,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-2,1,0,20211021,ATL,DAL
10,Shot Chart Detail,0022100014,508,1629629,Cam Reddish,1610612737,Atlanta Hawks,4,10,20,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,-94,197,1,0,20211021,ATL,DAL
11,Shot Chart Detail,0022100014,516,1629629,Cam Reddish,1610612737,Atlanta Hawks,4,9,48,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,44,-4,1,0,20211021,ATL,DAL
12,Shot Chart Detail,0022100014,518,1629629,Cam Reddish,1610612737,Atlanta Hawks,4,9,42,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211021,ATL,DAL
13,Shot Chart Detail,0022100014,554,1629629,Cam Reddish,1610612737,Atlanta Hawks,4,7,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-146,211,1,1,20211021,ATL,DAL
14,Shot Chart Detail,0022100014,579,1629629,Cam Reddish,1610612737,Atlanta Hawks,4,4,54,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,15,1,1,20211021,ATL,DAL
15,Shot Chart Detail,0022100027,138,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,3,7,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-127,132,1,1,20211023,CLE,ATL
16,Shot Chart Detail,0022100027,160,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,1,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-132,251,1,1,20211023,CLE,ATL
17,Shot Chart Detail,0022100027,172,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,0,45,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-5,22,1,0,20211023,CLE,ATL
18,Shot Chart Detail,0022100027,195,1629629,Cam Reddish,1610612737,Atlanta Hawks,2,10,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,30,-164,263,1,1,20211023,CLE,ATL
19,Shot Chart Detail,0022100027,199,1629629,Cam Reddish,1610612737,Atlanta Hawks,2,9,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-137,229,1,0,20211023,CLE,ATL
20,Shot Chart Detail,0022100027,207,1629629,Cam Reddish,1610612737,Atlanta Hawks,2,8,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,20,1,0,20211023,CLE,ATL
21,Shot Chart Detail,0022100027,353,1629629,Cam Reddish,1610612737,Atlanta Hawks,3,9,57,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-116,10,1,0,20211023,CLE,ATL
22,Shot Chart Detail,0022100027,373,1629629,Cam Reddish,1610612737,Atlanta Hawks,3,8,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,202,176,1,0,20211023,CLE,ATL
23,Shot Chart Detail,0022100027,388,1629629,Cam Reddish,1610612737,Atlanta Hawks,3,7,14,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20211023,CLE,ATL
24,Shot Chart Detail,0022100027,477,1629629,Cam Reddish,1610612737,Atlanta Hawks,3,0,37,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-37,73,1,1,20211023,CLE,ATL
25,Shot Chart Detail,0022100027,506,1629629,Cam Reddish,1610612737,Atlanta Hawks,4,11,39,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-228,81,1,1,20211023,CLE,ATL
26,Shot Chart Detail,0022100027,518,1629629,Cam Reddish,1610612737,Atlanta Hawks,4,10,22,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,91,155,1,1,20211023,CLE,ATL
27,Shot Chart Detail,0022100027,570,1629629,Cam Reddish,1610612737,Atlanta Hawks,4,8,44,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,7,1,0,20211023,CLE,ATL
28,Shot Chart Detail,0022100027,664,1629629,Cam Reddish,1610612737,Atlanta Hawks,4,0,15,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,143,8,1,0,20211023,CLE,ATL
29,Shot Chart Detail,0022100043,108,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,4,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,176,189,1,0,20211025,ATL,DET
30,Shot Chart Detail,0022100043,144,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,1,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,44,251,1,0,20211025,ATL,DET
31,Shot Chart Detail,0022100043,167,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,0,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,126,228,1,0,20211025,ATL,DET
32,Shot Chart Detail,0022100043,173,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,0,1,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,80,281,1,1,20211025,ATL,DET
33,Shot Chart Detail,0022100043,179,1629629,Cam Reddish,1610612737,Atlanta Hawks,2,11,44,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,0,1,1,20211025,ATL,DET
34,Shot Chart Detail,0022100043,220,1629629,Cam Reddish,1610612737,Atlanta Hawks,2,8,57,Missed Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,17,1,0,20211025,ATL,DET
35,Shot Chart Detail,0022100043,310,1629629,Cam Reddish,1610612737,Atlanta Hawks,2,1,20,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,-25,1,0,20211025,ATL,DET
36,Shot Chart Detail,0022100043,431,1629629,Cam Reddish,1610612737,Atlanta Hawks,3,3,33,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-45,119,1,0,20211025,ATL,DET
37,Shot Chart Detail,0022100043,437,1629629,Cam Reddish,1610612737,Atlanta Hawks,3,3,7,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-225,14,1,1,20211025,ATL,DET
38,Shot Chart Detail,0022100043,456,1629629,Cam Reddish,1610612737,Atlanta Hawks,3,1,18,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,26,1,0,20211025,ATL,DET
39,Shot Chart Detail,0022100043,466,1629629,Cam Reddish,1610612737,Atlanta Hawks,3,0,16,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,23,31,1,0,20211025,ATL,DET
40,Shot Chart Detail,0022100043,486,1629629,Cam Reddish,1610612737,Atlanta Hawks,4,11,9,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,18,163,1,0,20211025,ATL,DET
41,Shot Chart Detail,0022100043,499,1629629,Cam Reddish,1610612737,Atlanta Hawks,4,10,28,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,3,1,1,20211025,ATL,DET
42,Shot Chart Detail,0022100043,529,1629629,Cam Reddish,1610612737,Atlanta Hawks,4,8,5,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-225,34,1,1,20211025,ATL,DET
43,Shot Chart Detail,0022100059,132,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,2,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-183,190,1,0,20211027,NOP,ATL
44,Shot Chart Detail,0022100059,140,1629629,Cam Reddish,1610612737,Atlanta Hawks,1,1,31,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,42,105,1,0,20211027,NOP,ATL
