,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100081,20,1627747,Caris LeVert,1610612754,Indiana Pacers,1,10,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,62,262,1,0,20211030,IND,TOR
1,Shot Chart Detail,0022100081,29,1627747,Caris LeVert,1610612754,Indiana Pacers,1,9,36,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,13,1,1,20211030,IND,TOR
2,Shot Chart Detail,0022100081,37,1627747,Caris LeVert,1610612754,Indiana Pacers,1,8,49,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,66,251,1,1,20211030,IND,TOR
3,Shot Chart Detail,0022100081,40,1627747,Caris LeVert,1610612754,Indiana Pacers,1,8,33,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,17,1,1,20211030,IND,TOR
4,Shot Chart Detail,0022100081,46,1627747,Caris LeVert,1610612754,Indiana Pacers,1,7,45,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,10,1,1,20211030,IND,TOR
5,Shot Chart Detail,0022100081,56,1627747,Caris LeVert,1610612754,Indiana Pacers,1,6,37,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,13,1,0,20211030,IND,TOR
6,Shot Chart Detail,0022100081,224,1627747,Caris LeVert,1610612754,Indiana Pacers,2,9,12,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,50,61,1,1,20211030,IND,TOR
7,Shot Chart Detail,0022100081,270,1627747,Caris LeVert,1610612754,Indiana Pacers,2,6,25,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-28,131,1,1,20211030,IND,TOR
8,Shot Chart Detail,0022100081,274,1627747,Caris LeVert,1610612754,Indiana Pacers,2,5,46,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,16,1,0,20211030,IND,TOR
9,Shot Chart Detail,0022100081,287,1627747,Caris LeVert,1610612754,Indiana Pacers,2,4,51,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,2,256,1,0,20211030,IND,TOR
