,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100415,192,1630199,Cassius Stanley,1610612765,Detroit Pistons,2,10,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,-1,1,1,20220111,CHI,DET
1,Shot Chart Detail,0022100415,323,1630199,Cassius Stanley,1610612765,Detroit Pistons,2,0,42,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,23,1,0,20220111,CHI,DET
2,Shot Chart Detail,0022100415,329,1630199,Cassius Stanley,1610612765,Detroit Pistons,2,0,29,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-230,74,1,0,20220111,CHI,DET
3,Shot Chart Detail,0022100415,527,1630199,Cassius Stanley,1610612765,Detroit Pistons,4,11,14,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,9,1,0,20220111,CHI,DET
4,Shot Chart Detail,0022100415,533,1630199,Cassius Stanley,1610612765,Detroit Pistons,4,11,9,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220111,CHI,DET
5,Shot Chart Detail,0022100415,649,1630199,Cassius Stanley,1610612765,Detroit Pistons,4,3,31,Missed Shot,Pullup Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-6,37,1,0,20220111,CHI,DET
6,Shot Chart Detail,0022100415,684,1630199,Cassius Stanley,1610612765,Detroit Pistons,4,1,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-113,215,1,0,20220111,CHI,DET
7,Shot Chart Detail,0022100498,498,1630199,Cassius Stanley,1610612765,Detroit Pistons,3,5,8,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,22,1,1,20211226,SAS,DET
8,Shot Chart Detail,0022100498,581,1630199,Cassius Stanley,1610612765,Detroit Pistons,3,0,53,Made Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,34,1,1,20211226,SAS,DET
9,Shot Chart Detail,0022100498,618,1630199,Cassius Stanley,1610612765,Detroit Pistons,4,11,19,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-22,21,1,0,20211226,SAS,DET
10,Shot Chart Detail,0022100498,626,1630199,Cassius Stanley,1610612765,Detroit Pistons,4,10,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-197,181,1,1,20211226,SAS,DET
11,Shot Chart Detail,0022100498,776,1630199,Cassius Stanley,1610612765,Detroit Pistons,4,1,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,142,238,1,0,20211226,SAS,DET
12,Shot Chart Detail,0022100516,137,1630199,Cassius Stanley,1610612765,Detroit Pistons,1,0,47,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-22,112,1,1,20211229,DET,NYK
13,Shot Chart Detail,0022100516,163,1630199,Cassius Stanley,1610612765,Detroit Pistons,2,10,53,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,115,132,1,0,20211229,DET,NYK
14,Shot Chart Detail,0022100516,180,1630199,Cassius Stanley,1610612765,Detroit Pistons,2,9,9,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,37,84,1,0,20211229,DET,NYK
15,Shot Chart Detail,0022100516,236,1630199,Cassius Stanley,1610612765,Detroit Pistons,2,5,37,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-32,48,1,0,20211229,DET,NYK
16,Shot Chart Detail,0022100516,412,1630199,Cassius Stanley,1610612765,Detroit Pistons,3,4,45,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,53,1,1,20211229,DET,NYK
17,Shot Chart Detail,0022100516,423,1630199,Cassius Stanley,1610612765,Detroit Pistons,3,3,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,186,174,1,0,20211229,DET,NYK
18,Shot Chart Detail,0022100516,442,1630199,Cassius Stanley,1610612765,Detroit Pistons,3,2,4,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,45,1,0,20211229,DET,NYK
19,Shot Chart Detail,0022100516,446,1630199,Cassius Stanley,1610612765,Detroit Pistons,3,1,29,Missed Shot,Driving Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-34,31,1,0,20211229,DET,NYK
20,Shot Chart Detail,0022100516,516,1630199,Cassius Stanley,1610612765,Detroit Pistons,4,8,7,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-22,31,1,0,20211229,DET,NYK
21,Shot Chart Detail,0022100516,627,1630199,Cassius Stanley,1610612765,Detroit Pistons,4,0,16,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-154,240,1,0,20211229,DET,NYK
22,Shot Chart Detail,0022100540,8,1630199,Cassius Stanley,1610612765,Detroit Pistons,1,11,22,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-227,-1,1,1,20220101,DET,SAS
23,Shot Chart Detail,0022100540,73,1630199,Cassius Stanley,1610612765,Detroit Pistons,1,6,5,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,225,18,1,1,20220101,DET,SAS
24,Shot Chart Detail,0022100540,80,1630199,Cassius Stanley,1610612765,Detroit Pistons,1,4,58,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-51,71,1,0,20220101,DET,SAS
25,Shot Chart Detail,0022100540,252,1630199,Cassius Stanley,1610612765,Detroit Pistons,2,7,31,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-56,18,1,1,20220101,DET,SAS
26,Shot Chart Detail,0022100540,305,1630199,Cassius Stanley,1610612765,Detroit Pistons,2,3,52,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-23,23,1,1,20220101,DET,SAS
