,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100436,42,1630602,Chaundee Brown Jr.,1610612747,Los Angeles Lakers,1,9,47,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,9,117,1,0,20211217,MIN,LAL
1,Shot Chart Detail,0022100436,96,1630602,Chaundee Brown Jr.,1610612747,Los Angeles Lakers,1,5,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,-6,1,0,20211217,MIN,LAL
2,Shot Chart Detail,0022100436,100,1630602,Chaundee Brown Jr.,1610612747,Los Angeles Lakers,1,5,18,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,1,1,0,20211217,MIN,LAL
3,Shot Chart Detail,0022100436,137,1630602,Chaundee Brown Jr.,1610612747,Los Angeles Lakers,1,2,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,-178,158,1,0,20211217,MIN,LAL
4,Shot Chart Detail,0022100436,705,1630602,Chaundee Brown Jr.,1610612747,Los Angeles Lakers,4,3,15,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,20,38,1,0,20211217,MIN,LAL
5,Shot Chart Detail,0022100436,751,1630602,Chaundee Brown Jr.,1610612747,Los Angeles Lakers,4,0,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-194,167,1,0,20211217,MIN,LAL
6,Shot Chart Detail,0022100448,232,1630602,Chaundee Brown Jr.,1610612747,Los Angeles Lakers,2,5,54,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,23,1,1,20211219,CHI,LAL
7,Shot Chart Detail,0022100502,102,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,1,3,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-228,89,1,0,20211227,ATL,CHI
8,Shot Chart Detail,0022100502,122,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,1,2,2,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,81,98,1,0,20211227,ATL,CHI
9,Shot Chart Detail,0022100502,128,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,1,1,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-190,174,1,0,20211227,ATL,CHI
10,Shot Chart Detail,0022100502,265,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,2,3,2,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,6,1,1,20211227,ATL,CHI
11,Shot Chart Detail,0022100502,333,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,3,9,24,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-10,111,1,0,20211227,ATL,CHI
12,Shot Chart Detail,0022100502,342,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,3,8,36,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,22,47,1,0,20211227,ATL,CHI
13,Shot Chart Detail,0022100502,445,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,-25,1,0,20211227,ATL,CHI
14,Shot Chart Detail,0022100519,7,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,1,11,33,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-18,154,1,1,20211229,CHI,ATL
15,Shot Chart Detail,0022100519,34,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,1,8,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-74,237,1,1,20211229,CHI,ATL
16,Shot Chart Detail,0022100519,61,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,1,6,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,6,262,1,0,20211229,CHI,ATL
17,Shot Chart Detail,0022100519,229,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,2,6,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,5,1,1,20211229,CHI,ATL
18,Shot Chart Detail,0022100519,256,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,2,3,47,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-7,70,1,0,20211229,CHI,ATL
19,Shot Chart Detail,0022100519,374,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,3,7,33,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,37,153,1,0,20211229,CHI,ATL
20,Shot Chart Detail,0022100519,383,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,3,6,52,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,11,1,0,20211229,CHI,ATL
21,Shot Chart Detail,0022100519,417,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,3,5,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-172,194,1,1,20211229,CHI,ATL
22,Shot Chart Detail,0022100519,485,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,56,135,544,1,0,20211229,CHI,ATL
23,Shot Chart Detail,0022100519,559,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,4,6,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,126,220,1,0,20211229,CHI,ATL
24,Shot Chart Detail,0022100519,590,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,4,4,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-151,201,1,1,20211229,CHI,ATL
25,Shot Chart Detail,0022100519,600,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,4,3,26,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,19,1,0,20211229,CHI,ATL
26,Shot Chart Detail,0022100533,143,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,1,0,46,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,5,1,1,20211231,CLE,ATL
27,Shot Chart Detail,0022100533,156,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,2,11,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-158,198,1,0,20211231,CLE,ATL
28,Shot Chart Detail,0022100533,185,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,2,9,38,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,-18,1,0,20211231,CLE,ATL
29,Shot Chart Detail,0022100533,272,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,2,3,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,116,225,1,0,20211231,CLE,ATL
30,Shot Chart Detail,0022100533,496,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,4,11,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-97,237,1,1,20211231,CLE,ATL
31,Shot Chart Detail,0022100533,548,1630602,Chaundee Brown Jr.,1610612737,Atlanta Hawks,4,7,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-168,212,1,1,20211231,CLE,ATL
