,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100132,685,1629002,Chimezie Metu,1610612758,Sacramento Kings,4,0,28,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-116,227,1,1,20211105,SAC,CHA
1,Shot Chart Detail,0022100153,232,1629002,Chimezie Metu,1610612758,Sacramento Kings,2,6,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-137,222,1,0,20211108,SAC,PHX
2,Shot Chart Detail,0022100153,271,1629002,Chimezie Metu,1610612758,Sacramento Kings,2,3,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,170,206,1,0,20211108,SAC,PHX
3,Shot Chart Detail,0022100153,477,1629002,Chimezie Metu,1610612758,Sacramento Kings,3,1,5,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-9,45,1,0,20211108,SAC,PHX
4,Shot Chart Detail,0022100153,533,1629002,Chimezie Metu,1610612758,Sacramento Kings,4,8,47,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-10,32,1,0,20211108,SAC,PHX
5,Shot Chart Detail,0022100153,544,1629002,Chimezie Metu,1610612758,Sacramento Kings,4,8,12,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,66,20,1,1,20211108,SAC,PHX
6,Shot Chart Detail,0022100166,109,1629002,Chimezie Metu,1610612758,Sacramento Kings,1,4,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,98,237,1,0,20211110,SAS,SAC
7,Shot Chart Detail,0022100166,120,1629002,Chimezie Metu,1610612758,Sacramento Kings,1,3,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-192,166,1,1,20211110,SAS,SAC
8,Shot Chart Detail,0022100166,124,1629002,Chimezie Metu,1610612758,Sacramento Kings,1,2,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,167,195,1,0,20211110,SAS,SAC
9,Shot Chart Detail,0022100166,205,1629002,Chimezie Metu,1610612758,Sacramento Kings,2,9,16,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-74,34,1,1,20211110,SAS,SAC
10,Shot Chart Detail,0022100166,471,1629002,Chimezie Metu,1610612758,Sacramento Kings,3,2,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-34,256,1,0,20211110,SAS,SAC
11,Shot Chart Detail,0022100166,492,1629002,Chimezie Metu,1610612758,Sacramento Kings,3,1,43,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,20,1,1,20211110,SAS,SAC
12,Shot Chart Detail,0022100166,504,1629002,Chimezie Metu,1610612758,Sacramento Kings,3,0,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-119,223,1,1,20211110,SAS,SAC
13,Shot Chart Detail,0022100166,627,1629002,Chimezie Metu,1610612758,Sacramento Kings,4,5,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-214,132,1,0,20211110,SAS,SAC
14,Shot Chart Detail,0022100166,672,1629002,Chimezie Metu,1610612758,Sacramento Kings,4,1,28,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,42,55,1,1,20211110,SAS,SAC
15,Shot Chart Detail,0022100180,23,1629002,Chimezie Metu,1610612758,Sacramento Kings,1,10,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-206,144,1,0,20211112,OKC,SAC
16,Shot Chart Detail,0022100180,31,1629002,Chimezie Metu,1610612758,Sacramento Kings,1,9,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-218,134,1,0,20211112,OKC,SAC
17,Shot Chart Detail,0022100180,45,1629002,Chimezie Metu,1610612758,Sacramento Kings,1,8,46,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-17,32,1,0,20211112,OKC,SAC
18,Shot Chart Detail,0022100180,226,1629002,Chimezie Metu,1610612758,Sacramento Kings,2,7,51,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-223,5,1,0,20211112,OKC,SAC
19,Shot Chart Detail,0022100180,264,1629002,Chimezie Metu,1610612758,Sacramento Kings,2,6,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,173,217,1,1,20211112,OKC,SAC
