,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100051,248,1629185,Chris Chiozza,1610612744,Golden State Warriors,2,4,44,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-17,41,1,0,20211026,OKC,GSW
1,Shot Chart Detail,0022100051,282,1629185,Chris Chiozza,1610612744,Golden State Warriors,2,3,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,137,217,1,0,20211026,OKC,GSW
2,Shot Chart Detail,0022100086,115,1629185,Chris Chiozza,1610612744,Golden State Warriors,1,2,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,214,125,1,0,20211030,GSW,OKC
3,Shot Chart Detail,0022100086,133,1629185,Chris Chiozza,1610612744,Golden State Warriors,1,1,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-141,212,1,1,20211030,GSW,OKC
4,Shot Chart Detail,0022100086,396,1629185,Chris Chiozza,1610612744,Golden State Warriors,3,5,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-126,215,1,0,20211030,GSW,OKC
5,Shot Chart Detail,0022100086,398,1629185,Chris Chiozza,1610612744,Golden State Warriors,3,4,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,202,132,1,0,20211030,GSW,OKC
6,Shot Chart Detail,0022100086,434,1629185,Chris Chiozza,1610612744,Golden State Warriors,3,2,29,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,-4,1,0,20211030,GSW,OKC
7,Shot Chart Detail,0022100086,456,1629185,Chris Chiozza,1610612744,Golden State Warriors,3,0,55,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,35,1,1,20211030,GSW,OKC
8,Shot Chart Detail,0022100145,692,1629185,Chris Chiozza,1610612744,Golden State Warriors,4,0,29,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-237,63,1,0,20211107,GSW,HOU
9,Shot Chart Detail,0022100231,145,1629185,Chris Chiozza,1610612744,Golden State Warriors,1,1,9,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,99,256,1,0,20211119,DET,GSW
10,Shot Chart Detail,0022100231,482,1629185,Chris Chiozza,1610612744,Golden State Warriors,3,1,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,56,254,1,1,20211119,DET,GSW
11,Shot Chart Detail,0022100231,492,1629185,Chris Chiozza,1610612744,Golden State Warriors,3,0,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,153,218,1,1,20211119,DET,GSW
12,Shot Chart Detail,0022100252,91,1629185,Chris Chiozza,1610612744,Golden State Warriors,1,5,43,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-229,34,1,0,20211121,GSW,TOR
13,Shot Chart Detail,0022100252,99,1629185,Chris Chiozza,1610612744,Golden State Warriors,1,5,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-168,199,1,1,20211121,GSW,TOR
14,Shot Chart Detail,0022100252,324,1629185,Chris Chiozza,1610612744,Golden State Warriors,2,1,30,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,32,50,1,1,20211121,GSW,TOR
15,Shot Chart Detail,0022100252,327,1629185,Chris Chiozza,1610612744,Golden State Warriors,2,0,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,151,216,1,1,20211121,GSW,TOR
16,Shot Chart Detail,0022100252,330,1629185,Chris Chiozza,1610612744,Golden State Warriors,2,0,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,206,169,1,0,20211121,GSW,TOR
17,Shot Chart Detail,0022100252,423,1629185,Chris Chiozza,1610612744,Golden State Warriors,3,4,54,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-23,35,1,1,20211121,GSW,TOR
18,Shot Chart Detail,0022100252,475,1629185,Chris Chiozza,1610612744,Golden State Warriors,3,1,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,6,256,1,0,20211121,GSW,TOR
19,Shot Chart Detail,0022100252,519,1629185,Chris Chiozza,1610612744,Golden State Warriors,4,11,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,135,237,1,0,20211121,GSW,TOR
20,Shot Chart Detail,0022100252,542,1629185,Chris Chiozza,1610612744,Golden State Warriors,4,8,49,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,11,1,0,20211121,GSW,TOR
21,Shot Chart Detail,0022100290,171,1629185,Chris Chiozza,1610612744,Golden State Warriors,2,10,58,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,56,28,1,0,20211126,GSW,POR
22,Shot Chart Detail,0022100290,178,1629185,Chris Chiozza,1610612744,Golden State Warriors,2,10,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,170,226,1,1,20211126,GSW,POR
23,Shot Chart Detail,0022100290,211,1629185,Chris Chiozza,1610612744,Golden State Warriors,2,6,54,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-232,101,1,0,20211126,GSW,POR
24,Shot Chart Detail,0022100290,545,1629185,Chris Chiozza,1610612744,Golden State Warriors,4,7,39,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,227,62,1,0,20211126,GSW,POR
25,Shot Chart Detail,0022100300,609,1629185,Chris Chiozza,1610612744,Golden State Warriors,4,6,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,108,230,1,0,20211128,LAC,GSW
26,Shot Chart Detail,0022100300,655,1629185,Chris Chiozza,1610612744,Golden State Warriors,4,2,37,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,4,1,0,20211128,LAC,GSW
27,Shot Chart Detail,0022100300,658,1629185,Chris Chiozza,1610612744,Golden State Warriors,4,2,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,-163,69,1,0,20211128,LAC,GSW
28,Shot Chart Detail,0022100316,576,1629185,Chris Chiozza,1610612744,Golden State Warriors,4,7,24,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-184,176,1,1,20211130,PHX,GSW
