,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100008,11,1626174,Christian Wood,1610612745,Houston Rockets,1,11,16,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-44,94,1,0,20211020,MIN,HOU
1,Shot Chart Detail,0022100008,31,1626174,Christian Wood,1610612745,Houston Rockets,1,10,13,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20211020,MIN,HOU
2,Shot Chart Detail,0022100008,56,1626174,Christian Wood,1610612745,Houston Rockets,1,8,9,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,16,74,1,0,20211020,MIN,HOU
3,Shot Chart Detail,0022100008,171,1626174,Christian Wood,1610612745,Houston Rockets,1,0,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-152,205,1,0,20211020,MIN,HOU
4,Shot Chart Detail,0022100008,197,1626174,Christian Wood,1610612745,Houston Rockets,2,10,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-72,242,1,0,20211020,MIN,HOU
5,Shot Chart Detail,0022100008,211,1626174,Christian Wood,1610612745,Houston Rockets,2,9,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-207,132,1,1,20211020,MIN,HOU
6,Shot Chart Detail,0022100008,270,1626174,Christian Wood,1610612745,Houston Rockets,2,6,6,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,29,1,0,20211020,MIN,HOU
7,Shot Chart Detail,0022100008,327,1626174,Christian Wood,1610612745,Houston Rockets,2,0,54,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-18,39,1,0,20211020,MIN,HOU
8,Shot Chart Detail,0022100008,338,1626174,Christian Wood,1610612745,Houston Rockets,2,0,0,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,10,1,1,20211020,MIN,HOU
9,Shot Chart Detail,0022100008,352,1626174,Christian Wood,1610612745,Houston Rockets,3,11,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-152,197,1,1,20211020,MIN,HOU
