,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100010,18,1630175,Cole Anthony,1610612753,Orlando Magic,1,10,40,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,6,1,1,20211020,SAS,ORL
1,Shot Chart Detail,0022100010,55,1630175,Cole Anthony,1610612753,Orlando Magic,1,7,23,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,-1,1,0,20211020,SAS,ORL
2,Shot Chart Detail,0022100010,105,1630175,Cole Anthony,1610612753,Orlando Magic,1,3,55,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,239,21,1,1,20211020,SAS,ORL
3,Shot Chart Detail,0022100010,161,1630175,Cole Anthony,1610612753,Orlando Magic,1,0,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,240,0,1,0,20211020,SAS,ORL
4,Shot Chart Detail,0022100010,169,1630175,Cole Anthony,1610612753,Orlando Magic,1,0,0,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,141,220,1,0,20211020,SAS,ORL
5,Shot Chart Detail,0022100010,181,1630175,Cole Anthony,1610612753,Orlando Magic,2,11,33,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-69,56,1,1,20211020,SAS,ORL
6,Shot Chart Detail,0022100010,368,1630175,Cole Anthony,1610612753,Orlando Magic,2,0,37,Missed Shot,Driving Layup Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,-87,19,1,0,20211020,SAS,ORL
7,Shot Chart Detail,0022100010,458,1630175,Cole Anthony,1610612753,Orlando Magic,3,6,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,60,252,1,0,20211020,SAS,ORL
8,Shot Chart Detail,0022100010,549,1630175,Cole Anthony,1610612753,Orlando Magic,4,11,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-86,258,1,0,20211020,SAS,ORL
9,Shot Chart Detail,0022100010,558,1630175,Cole Anthony,1610612753,Orlando Magic,4,10,18,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,89,155,1,0,20211020,SAS,ORL
10,Shot Chart Detail,0022100010,581,1630175,Cole Anthony,1610612753,Orlando Magic,4,8,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,205,186,1,0,20211020,SAS,ORL
