,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100019,140,1630557,Corey Kispert,1610612764,Washington Wizards,1,2,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,192,196,1,0,20211022,WAS,IND
1,Shot Chart Detail,0022100019,206,1630557,Corey Kispert,1610612764,Washington Wizards,2,9,5,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,15,1,1,20211022,WAS,IND
2,Shot Chart Detail,0022100044,688,1630557,Corey Kispert,1610612764,Washington Wizards,4,0,20,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211025,BKN,WAS
3,Shot Chart Detail,0022100056,217,1630557,Corey Kispert,1610612764,Washington Wizards,2,8,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-229,100,1,0,20211027,BOS,WAS
4,Shot Chart Detail,0022100066,500,1630557,Corey Kispert,1610612764,Washington Wizards,4,10,22,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-222,73,1,0,20211028,WAS,ATL
5,Shot Chart Detail,0022100066,521,1630557,Corey Kispert,1610612764,Washington Wizards,4,8,28,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211028,WAS,ATL
6,Shot Chart Detail,0022100097,221,1630557,Corey Kispert,1610612764,Washington Wizards,2,8,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-137,211,1,1,20211101,ATL,WAS
7,Shot Chart Detail,0022100097,423,1630557,Corey Kispert,1610612764,Washington Wizards,3,3,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-116,230,1,0,20211101,ATL,WAS
8,Shot Chart Detail,0022100097,493,1630557,Corey Kispert,1610612764,Washington Wizards,4,11,5,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,2,1,1,20211101,ATL,WAS
9,Shot Chart Detail,0022100112,152,1630557,Corey Kispert,1610612764,Washington Wizards,1,0,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-211,138,1,1,20211103,WAS,TOR
10,Shot Chart Detail,0022100112,265,1630557,Corey Kispert,1610612764,Washington Wizards,2,3,44,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-237,7,1,0,20211103,WAS,TOR
11,Shot Chart Detail,0022100112,438,1630557,Corey Kispert,1610612764,Washington Wizards,3,2,17,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,-2,1,0,20211103,WAS,TOR
