,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100008,168,201571,D.J. Augustin,1610612745,Houston Rockets,1,0,45,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,13,28,1,0,20211020,MIN,HOU
1,Shot Chart Detail,0022100008,286,201571,D.J. Augustin,1610612745,Houston Rockets,2,4,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-45,242,1,0,20211020,MIN,HOU
2,Shot Chart Detail,0022100008,320,201571,D.J. Augustin,1610612745,Houston Rockets,2,1,33,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,23,1,1,20211020,MIN,HOU
3,Shot Chart Detail,0022100008,332,201571,D.J. Augustin,1610612745,Houston Rockets,2,0,31,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,184,173,1,0,20211020,MIN,HOU
4,Shot Chart Detail,0022100023,107,201571,D.J. Augustin,1610612745,Houston Rockets,1,4,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,97,244,1,1,20211022,HOU,OKC
5,Shot Chart Detail,0022100023,135,201571,D.J. Augustin,1610612745,Houston Rockets,1,2,33,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-102,162,1,0,20211022,HOU,OKC
6,Shot Chart Detail,0022100023,513,201571,D.J. Augustin,1610612745,Houston Rockets,3,2,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,163,204,1,0,20211022,HOU,OKC
7,Shot Chart Detail,0022100037,431,201571,D.J. Augustin,1610612745,Houston Rockets,3,2,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-227,121,1,1,20211024,HOU,BOS
8,Shot Chart Detail,0022100052,172,201571,D.J. Augustin,1610612745,Houston Rockets,2,11,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,-127,113,1,0,20211026,DAL,HOU
9,Shot Chart Detail,0022100052,176,201571,D.J. Augustin,1610612745,Houston Rockets,2,10,57,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,24,1,1,20211026,DAL,HOU
10,Shot Chart Detail,0022100052,184,201571,D.J. Augustin,1610612745,Houston Rockets,2,10,4,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-20,253,1,0,20211026,DAL,HOU
11,Shot Chart Detail,0022100068,126,201571,D.J. Augustin,1610612745,Houston Rockets,1,2,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-153,219,1,0,20211028,HOU,UTA
12,Shot Chart Detail,0022100068,169,201571,D.J. Augustin,1610612745,Houston Rockets,2,10,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,159,206,1,1,20211028,HOU,UTA
13,Shot Chart Detail,0022100068,367,201571,D.J. Augustin,1610612745,Houston Rockets,3,10,19,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,12,1,1,20211028,HOU,UTA
14,Shot Chart Detail,0022100068,464,201571,D.J. Augustin,1610612745,Houston Rockets,3,3,34,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,119,148,1,0,20211028,HOU,UTA
15,Shot Chart Detail,0022100093,536,201571,D.J. Augustin,1610612745,Houston Rockets,4,11,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,131,215,1,0,20211031,LAL,HOU
16,Shot Chart Detail,0022100107,505,201571,D.J. Augustin,1610612745,Houston Rockets,3,0,4,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-167,211,1,1,20211102,LAL,HOU
17,Shot Chart Detail,0022100107,541,201571,D.J. Augustin,1610612745,Houston Rockets,4,10,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,195,162,1,1,20211102,LAL,HOU
18,Shot Chart Detail,0022100107,553,201571,D.J. Augustin,1610612745,Houston Rockets,4,9,13,Missed Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,223,-6,1,0,20211102,LAL,HOU
19,Shot Chart Detail,0022100122,117,201571,D.J. Augustin,1610612745,Houston Rockets,1,2,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-188,190,1,1,20211104,PHX,HOU
