,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100006,555,1630625,Dalano Banton,1610612761,Toronto Raptors,3,0,0,Made Shot,Driving Floating Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,48,148,466,1,1,20211020,TOR,WAS
1,Shot Chart Detail,0022100006,586,1630625,Dalano Banton,1610612761,Toronto Raptors,4,9,56,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,22,1,1,20211020,TOR,WAS
2,Shot Chart Detail,0022100006,615,1630625,Dalano Banton,1610612761,Toronto Raptors,4,7,34,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,8,1,0,20211020,TOR,WAS
3,Shot Chart Detail,0022100006,627,1630625,Dalano Banton,1610612761,Toronto Raptors,4,6,22,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-4,1,1,20211020,TOR,WAS
4,Shot Chart Detail,0022100020,651,1630625,Dalano Banton,1610612761,Toronto Raptors,4,1,57,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-42,178,1,0,20211022,BOS,TOR
5,Shot Chart Detail,0022100020,659,1630625,Dalano Banton,1610612761,Toronto Raptors,4,1,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-26,16,1,1,20211022,BOS,TOR
6,Shot Chart Detail,0022100029,471,1630625,Dalano Banton,1610612761,Toronto Raptors,3,2,36,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,6,1,0,20211023,TOR,DAL
7,Shot Chart Detail,0022100029,487,1630625,Dalano Banton,1610612761,Toronto Raptors,3,1,34,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,26,1,0,20211023,TOR,DAL
8,Shot Chart Detail,0022100029,493,1630625,Dalano Banton,1610612761,Toronto Raptors,3,0,57,Missed Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-7,32,1,0,20211023,TOR,DAL
9,Shot Chart Detail,0022100058,196,1630625,Dalano Banton,1610612761,Toronto Raptors,2,10,53,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-21,62,1,0,20211027,TOR,IND
