,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100002,92,1627814,Damion Lee,1610612744,Golden State Warriors,1,5,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,179,180,1,0,20211019,LAL,GSW
1,Shot Chart Detail,0022100002,333,1627814,Damion Lee,1610612744,Golden State Warriors,2,2,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,-135,95,1,1,20211019,LAL,GSW
2,Shot Chart Detail,0022100002,360,1627814,Damion Lee,1610612744,Golden State Warriors,2,0,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,85,160,1,0,20211019,LAL,GSW
3,Shot Chart Detail,0022100002,502,1627814,Damion Lee,1610612744,Golden State Warriors,3,3,14,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,8,1,1,20211019,LAL,GSW
4,Shot Chart Detail,0022100002,524,1627814,Damion Lee,1610612744,Golden State Warriors,3,1,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,14,1,0,20211019,LAL,GSW
5,Shot Chart Detail,0022100002,580,1627814,Damion Lee,1610612744,Golden State Warriors,4,10,49,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,45,258,1,0,20211019,LAL,GSW
6,Shot Chart Detail,0022100002,588,1627814,Damion Lee,1610612744,Golden State Warriors,4,9,58,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-234,55,1,1,20211019,LAL,GSW
7,Shot Chart Detail,0022100002,672,1627814,Damion Lee,1610612744,Golden State Warriors,4,3,24,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,17,1,1,20211019,LAL,GSW
8,Shot Chart Detail,0022100002,676,1627814,Damion Lee,1610612744,Golden State Warriors,4,2,49,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,37,1,0,20211019,LAL,GSW
9,Shot Chart Detail,0022100002,689,1627814,Damion Lee,1610612744,Golden State Warriors,4,1,36,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,30,1,0,20211019,LAL,GSW
10,Shot Chart Detail,0022100016,316,1627814,Damion Lee,1610612744,Golden State Warriors,2,1,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-218,104,1,0,20211021,GSW,LAC
11,Shot Chart Detail,0022100016,450,1627814,Damion Lee,1610612744,Golden State Warriors,3,5,1,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,51,1,0,20211021,GSW,LAC
12,Shot Chart Detail,0022100016,470,1627814,Damion Lee,1610612744,Golden State Warriors,3,3,30,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,2,1,0,20211021,GSW,LAC
13,Shot Chart Detail,0022100016,547,1627814,Damion Lee,1610612744,Golden State Warriors,4,11,3,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-110,5,1,0,20211021,GSW,LAC
14,Shot Chart Detail,0022100016,571,1627814,Damion Lee,1610612744,Golden State Warriors,4,8,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,12,1,1,20211021,GSW,LAC
15,Shot Chart Detail,0022100016,575,1627814,Damion Lee,1610612744,Golden State Warriors,4,7,53,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,21,41,1,0,20211021,GSW,LAC
16,Shot Chart Detail,0022100016,618,1627814,Damion Lee,1610612744,Golden State Warriors,4,5,55,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,25,1,1,20211021,GSW,LAC
17,Shot Chart Detail,0022100016,629,1627814,Damion Lee,1610612744,Golden State Warriors,4,5,6,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,228,46,1,1,20211021,GSW,LAC
18,Shot Chart Detail,0022100039,178,1627814,Damion Lee,1610612744,Golden State Warriors,2,8,24,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,21,1,0,20211024,SAC,GSW
19,Shot Chart Detail,0022100039,213,1627814,Damion Lee,1610612744,Golden State Warriors,2,6,58,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,25,1,0,20211024,SAC,GSW
20,Shot Chart Detail,0022100039,217,1627814,Damion Lee,1610612744,Golden State Warriors,2,6,53,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,157,162,1,1,20211024,SAC,GSW
21,Shot Chart Detail,0022100039,235,1627814,Damion Lee,1610612744,Golden State Warriors,2,5,32,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,42,1,1,20211024,SAC,GSW
22,Shot Chart Detail,0022100039,283,1627814,Damion Lee,1610612744,Golden State Warriors,2,3,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-134,59,1,1,20211024,SAC,GSW
23,Shot Chart Detail,0022100039,449,1627814,Damion Lee,1610612744,Golden State Warriors,3,3,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,109,115,1,0,20211024,SAC,GSW
24,Shot Chart Detail,0022100039,514,1627814,Damion Lee,1610612744,Golden State Warriors,4,11,19,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-33,8,1,0,20211024,SAC,GSW
25,Shot Chart Detail,0022100039,557,1627814,Damion Lee,1610612744,Golden State Warriors,4,7,9,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,9,1,1,20211024,SAC,GSW
26,Shot Chart Detail,0022100051,176,1627814,Damion Lee,1610612744,Golden State Warriors,2,10,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,-197,67,1,0,20211026,OKC,GSW
27,Shot Chart Detail,0022100051,188,1627814,Damion Lee,1610612744,Golden State Warriors,2,9,24,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,10,1,1,20211026,OKC,GSW
28,Shot Chart Detail,0022100051,211,1627814,Damion Lee,1610612744,Golden State Warriors,2,7,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,27,144,1,0,20211026,OKC,GSW
29,Shot Chart Detail,0022100051,240,1627814,Damion Lee,1610612744,Golden State Warriors,2,5,53,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,12,1,1,20211026,OKC,GSW
30,Shot Chart Detail,0022100051,244,1627814,Damion Lee,1610612744,Golden State Warriors,2,5,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,99,249,1,1,20211026,OKC,GSW
31,Shot Chart Detail,0022100051,310,1627814,Damion Lee,1610612744,Golden State Warriors,2,1,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,210,142,1,0,20211026,OKC,GSW
32,Shot Chart Detail,0022100051,414,1627814,Damion Lee,1610612744,Golden State Warriors,3,6,9,Made Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,20,1,1,20211026,OKC,GSW
33,Shot Chart Detail,0022100051,418,1627814,Damion Lee,1610612744,Golden State Warriors,3,5,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-136,226,1,1,20211026,OKC,GSW
34,Shot Chart Detail,0022100051,431,1627814,Damion Lee,1610612744,Golden State Warriors,3,4,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-65,255,1,0,20211026,OKC,GSW
35,Shot Chart Detail,0022100051,452,1627814,Damion Lee,1610612744,Golden State Warriors,3,3,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,154,204,1,0,20211026,OKC,GSW
36,Shot Chart Detail,0022100051,481,1627814,Damion Lee,1610612744,Golden State Warriors,3,1,34,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,6,1,1,20211026,OKC,GSW
37,Shot Chart Detail,0022100051,618,1627814,Damion Lee,1610612744,Golden State Warriors,4,3,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-29,258,1,1,20211026,OKC,GSW
38,Shot Chart Detail,0022100051,637,1627814,Damion Lee,1610612744,Golden State Warriors,4,1,11,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,96,168,1,0,20211026,OKC,GSW
39,Shot Chart Detail,0022100051,641,1627814,Damion Lee,1610612744,Golden State Warriors,4,0,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,-5,1,1,20211026,OKC,GSW
40,Shot Chart Detail,0022100070,190,1627814,Damion Lee,1610612744,Golden State Warriors,2,9,17,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,85,-11,1,0,20211028,GSW,MEM
41,Shot Chart Detail,0022100070,211,1627814,Damion Lee,1610612744,Golden State Warriors,2,7,43,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-238,6,1,0,20211028,GSW,MEM
42,Shot Chart Detail,0022100070,255,1627814,Damion Lee,1610612744,Golden State Warriors,2,5,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-114,240,1,1,20211028,GSW,MEM
43,Shot Chart Detail,0022100070,278,1627814,Damion Lee,1610612744,Golden State Warriors,2,3,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-163,219,1,0,20211028,GSW,MEM
44,Shot Chart Detail,0022100070,470,1627814,Damion Lee,1610612744,Golden State Warriors,3,0,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,23,272,1,0,20211028,GSW,MEM
45,Shot Chart Detail,0022100070,562,1627814,Damion Lee,1610612744,Golden State Warriors,4,6,52,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,86,107,1,0,20211028,GSW,MEM
46,Shot Chart Detail,0022100070,576,1627814,Damion Lee,1610612744,Golden State Warriors,4,5,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,178,197,1,1,20211028,GSW,MEM
47,Shot Chart Detail,0022100070,585,1627814,Damion Lee,1610612744,Golden State Warriors,4,4,20,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,5,1,1,20211028,GSW,MEM
48,Shot Chart Detail,0022100070,609,1627814,Damion Lee,1610612744,Golden State Warriors,4,2,4,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,4,1,1,20211028,GSW,MEM
49,Shot Chart Detail,0022100070,651,1627814,Damion Lee,1610612744,Golden State Warriors,5,3,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,212,141,1,1,20211028,GSW,MEM
50,Shot Chart Detail,0022100070,655,1627814,Damion Lee,1610612744,Golden State Warriors,5,3,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,229,105,1,0,20211028,GSW,MEM
51,Shot Chart Detail,0022100070,686,1627814,Damion Lee,1610612744,Golden State Warriors,5,0,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,206,176,1,0,20211028,GSW,MEM
52,Shot Chart Detail,0022100117,207,1627814,Damion Lee,1610612744,Golden State Warriors,2,8,28,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-1,94,1,0,20211103,GSW,CHA
53,Shot Chart Detail,0022100117,209,1627814,Damion Lee,1610612744,Golden State Warriors,2,8,24,Made Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,224,-5,1,1,20211103,GSW,CHA
54,Shot Chart Detail,0022100117,226,1627814,Damion Lee,1610612744,Golden State Warriors,2,7,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,29,264,1,1,20211103,GSW,CHA
55,Shot Chart Detail,0022100117,512,1627814,Damion Lee,1610612744,Golden State Warriors,4,11,26,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,1,1,1,20211103,GSW,CHA
56,Shot Chart Detail,0022100117,528,1627814,Damion Lee,1610612744,Golden State Warriors,4,10,2,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,-94,85,1,0,20211103,GSW,CHA
57,Shot Chart Detail,0022100117,560,1627814,Damion Lee,1610612744,Golden State Warriors,4,7,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,-127,262,1,0,20211103,GSW,CHA
58,Shot Chart Detail,0022100117,673,1627814,Damion Lee,1610612744,Golden State Warriors,4,0,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-138,245,1,1,20211103,GSW,CHA
59,Shot Chart Detail,0022100117,677,1627814,Damion Lee,1610612744,Golden State Warriors,4,0,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,10,1,1,20211103,GSW,CHA
60,Shot Chart Detail,0022100130,207,1627814,Damion Lee,1610612744,Golden State Warriors,2,7,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-184,215,1,1,20211105,GSW,NOP
61,Shot Chart Detail,0022100130,253,1627814,Damion Lee,1610612744,Golden State Warriors,2,4,5,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,-29,1,0,20211105,GSW,NOP
62,Shot Chart Detail,0022100130,557,1627814,Damion Lee,1610612744,Golden State Warriors,4,8,50,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,20,1,1,20211105,GSW,NOP
63,Shot Chart Detail,0022100130,604,1627814,Damion Lee,1610612744,Golden State Warriors,4,5,43,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-9,96,1,0,20211105,GSW,NOP
64,Shot Chart Detail,0022100130,620,1627814,Damion Lee,1610612744,Golden State Warriors,4,4,7,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,67,43,1,0,20211105,GSW,NOP
65,Shot Chart Detail,0022100130,635,1627814,Damion Lee,1610612744,Golden State Warriors,4,3,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-229,127,1,0,20211105,GSW,NOP
66,Shot Chart Detail,0022100145,168,1627814,Damion Lee,1610612744,Golden State Warriors,1,0,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,208,139,1,0,20211107,GSW,HOU
67,Shot Chart Detail,0022100145,176,1627814,Damion Lee,1610612744,Golden State Warriors,1,0,29,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,97,73,1,1,20211107,GSW,HOU
68,Shot Chart Detail,0022100145,236,1627814,Damion Lee,1610612744,Golden State Warriors,2,8,36,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-125,47,1,1,20211107,GSW,HOU
69,Shot Chart Detail,0022100145,517,1627814,Damion Lee,1610612744,Golden State Warriors,3,1,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,154,205,1,0,20211107,GSW,HOU
70,Shot Chart Detail,0022100145,598,1627814,Damion Lee,1610612744,Golden State Warriors,4,8,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-4,240,1,0,20211107,GSW,HOU
71,Shot Chart Detail,0022100152,228,1627814,Damion Lee,1610612744,Golden State Warriors,2,7,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,10,1,1,20211108,GSW,ATL
72,Shot Chart Detail,0022100152,269,1627814,Damion Lee,1610612744,Golden State Warriors,2,5,30,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,11,170,1,1,20211108,GSW,ATL
73,Shot Chart Detail,0022100152,286,1627814,Damion Lee,1610612744,Golden State Warriors,2,4,20,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-140,1,1,0,20211108,GSW,ATL
74,Shot Chart Detail,0022100152,518,1627814,Damion Lee,1610612744,Golden State Warriors,4,11,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-208,177,1,0,20211108,GSW,ATL
75,Shot Chart Detail,0022100152,539,1627814,Damion Lee,1610612744,Golden State Warriors,4,9,55,Made Shot,Running Alley Oop Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,4,1,1,20211108,GSW,ATL
76,Shot Chart Detail,0022100152,574,1627814,Damion Lee,1610612744,Golden State Warriors,4,7,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,25,263,1,1,20211108,GSW,ATL
77,Shot Chart Detail,0022100152,609,1627814,Damion Lee,1610612744,Golden State Warriors,4,5,48,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,239,14,1,0,20211108,GSW,ATL
78,Shot Chart Detail,0022100152,639,1627814,Damion Lee,1610612744,Golden State Warriors,4,4,23,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-26,21,1,1,20211108,GSW,ATL
79,Shot Chart Detail,0022100194,196,1627814,Damion Lee,1610612744,Golden State Warriors,2,10,51,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-11,167,1,0,20211114,CHA,GSW
80,Shot Chart Detail,0022100194,214,1627814,Damion Lee,1610612744,Golden State Warriors,2,9,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,229,96,1,0,20211114,CHA,GSW
81,Shot Chart Detail,0022100194,218,1627814,Damion Lee,1610612744,Golden State Warriors,2,8,48,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-4,57,1,0,20211114,CHA,GSW
82,Shot Chart Detail,0022100194,276,1627814,Damion Lee,1610612744,Golden State Warriors,2,5,25,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,35,1,0,20211114,CHA,GSW
83,Shot Chart Detail,0022100194,279,1627814,Damion Lee,1610612744,Golden State Warriors,2,5,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-157,206,1,0,20211114,CHA,GSW
84,Shot Chart Detail,0022100194,286,1627814,Damion Lee,1610612744,Golden State Warriors,2,4,0,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,16,1,0,20211114,CHA,GSW
85,Shot Chart Detail,0022100194,553,1627814,Damion Lee,1610612744,Golden State Warriors,4,11,21,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,15,1,1,20211114,CHA,GSW
