,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100006,44,1629655,Daniel Gafford,1610612764,Washington Wizards,1,8,2,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,3,1,1,20211020,TOR,WAS
1,Shot Chart Detail,0022100006,262,1629655,Daniel Gafford,1610612764,Washington Wizards,2,7,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,1,1,20211020,TOR,WAS
2,Shot Chart Detail,0022100006,657,1629655,Daniel Gafford,1610612764,Washington Wizards,4,4,5,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,28,1,1,20211020,TOR,WAS
3,Shot Chart Detail,0022100019,19,1629655,Daniel Gafford,1610612764,Washington Wizards,1,10,20,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,13,1,1,20211022,WAS,IND
4,Shot Chart Detail,0022100019,82,1629655,Daniel Gafford,1610612764,Washington Wizards,1,6,3,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,12,1,0,20211022,WAS,IND
5,Shot Chart Detail,0022100019,254,1629655,Daniel Gafford,1610612764,Washington Wizards,2,6,56,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,11,1,1,20211022,WAS,IND
6,Shot Chart Detail,0022100019,295,1629655,Daniel Gafford,1610612764,Washington Wizards,2,3,53,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,15,1,1,20211022,WAS,IND
7,Shot Chart Detail,0022100019,579,1629655,Daniel Gafford,1610612764,Washington Wizards,4,7,1,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,36,31,1,1,20211022,WAS,IND
8,Shot Chart Detail,0022100044,45,1629655,Daniel Gafford,1610612764,Washington Wizards,1,7,31,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211025,BKN,WAS
9,Shot Chart Detail,0022100044,62,1629655,Daniel Gafford,1610612764,Washington Wizards,1,6,31,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,4,1,1,20211025,BKN,WAS
10,Shot Chart Detail,0022100044,243,1629655,Daniel Gafford,1610612764,Washington Wizards,2,6,24,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,3,1,1,20211025,BKN,WAS
11,Shot Chart Detail,0022100044,247,1629655,Daniel Gafford,1610612764,Washington Wizards,2,5,57,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,4,1,1,20211025,BKN,WAS
12,Shot Chart Detail,0022100044,255,1629655,Daniel Gafford,1610612764,Washington Wizards,2,4,50,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-33,51,1,0,20211025,BKN,WAS
13,Shot Chart Detail,0022100044,299,1629655,Daniel Gafford,1610612764,Washington Wizards,2,1,57,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,-168,3,1,0,20211025,BKN,WAS
14,Shot Chart Detail,0022100044,307,1629655,Daniel Gafford,1610612764,Washington Wizards,2,1,16,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-1,38,1,0,20211025,BKN,WAS
15,Shot Chart Detail,0022100044,388,1629655,Daniel Gafford,1610612764,Washington Wizards,3,6,57,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20211025,BKN,WAS
16,Shot Chart Detail,0022100056,263,1629655,Daniel Gafford,1610612764,Washington Wizards,2,4,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,27,1,1,20211027,BOS,WAS
17,Shot Chart Detail,0022100097,9,1629655,Daniel Gafford,1610612764,Washington Wizards,1,11,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-2,1,1,20211101,ATL,WAS
18,Shot Chart Detail,0022100097,41,1629655,Daniel Gafford,1610612764,Washington Wizards,1,8,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-16,27,1,0,20211101,ATL,WAS
19,Shot Chart Detail,0022100097,53,1629655,Daniel Gafford,1610612764,Washington Wizards,1,8,0,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-23,32,1,0,20211101,ATL,WAS
20,Shot Chart Detail,0022100097,192,1629655,Daniel Gafford,1610612764,Washington Wizards,2,10,23,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-1,31,1,0,20211101,ATL,WAS
21,Shot Chart Detail,0022100097,195,1629655,Daniel Gafford,1610612764,Washington Wizards,2,10,15,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211101,ATL,WAS
22,Shot Chart Detail,0022100097,567,1629655,Daniel Gafford,1610612764,Washington Wizards,3,10,42,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,-1,1,0,20211101,ATL,WAS
23,Shot Chart Detail,0022100112,11,1629655,Daniel Gafford,1610612764,Washington Wizards,1,11,24,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,17,1,1,20211103,WAS,TOR
24,Shot Chart Detail,0022100112,180,1629655,Daniel Gafford,1610612764,Washington Wizards,2,10,22,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,21,1,1,20211103,WAS,TOR
25,Shot Chart Detail,0022100112,212,1629655,Daniel Gafford,1610612764,Washington Wizards,2,7,46,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211103,WAS,TOR
26,Shot Chart Detail,0022100112,329,1629655,Daniel Gafford,1610612764,Washington Wizards,3,11,21,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,15,80,1,0,20211103,WAS,TOR
27,Shot Chart Detail,0022100112,472,1629655,Daniel Gafford,1610612764,Washington Wizards,4,11,32,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,14,1,1,20211103,WAS,TOR
28,Shot Chart Detail,0022100126,9,1629655,Daniel Gafford,1610612764,Washington Wizards,1,11,23,Made Shot,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,14,1,1,20211105,WAS,MEM
29,Shot Chart Detail,0022100126,13,1629655,Daniel Gafford,1610612764,Washington Wizards,1,10,53,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-47,113,1,1,20211105,WAS,MEM
30,Shot Chart Detail,0022100126,32,1629655,Daniel Gafford,1610612764,Washington Wizards,1,9,14,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,16,1,1,20211105,WAS,MEM
31,Shot Chart Detail,0022100126,55,1629655,Daniel Gafford,1610612764,Washington Wizards,1,7,10,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,37,1,1,20211105,WAS,MEM
32,Shot Chart Detail,0022100126,318,1629655,Daniel Gafford,1610612764,Washington Wizards,3,10,46,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,16,1,1,20211105,WAS,MEM
33,Shot Chart Detail,0022100126,498,1629655,Daniel Gafford,1610612764,Washington Wizards,4,9,59,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,17,1,1,20211105,WAS,MEM
34,Shot Chart Detail,0022100126,516,1629655,Daniel Gafford,1610612764,Washington Wizards,4,9,13,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,12,1,1,20211105,WAS,MEM
35,Shot Chart Detail,0022100126,523,1629655,Daniel Gafford,1610612764,Washington Wizards,4,8,19,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-51,20,1,0,20211105,WAS,MEM
36,Shot Chart Detail,0022100142,358,1629655,Daniel Gafford,1610612764,Washington Wizards,3,10,4,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,22,1,1,20211107,WAS,MIL
37,Shot Chart Detail,0022100142,366,1629655,Daniel Gafford,1610612764,Washington Wizards,3,8,37,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,16,1,1,20211107,WAS,MIL
