,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100009,343,201980,Danny Green,1610612755,Philadelphia 76ers,3,9,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,141,216,1,0,20211020,NOP,PHI
1,Shot Chart Detail,0022100021,18,201980,Danny Green,1610612755,Philadelphia 76ers,1,11,0,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-85,229,1,1,20211022,PHI,BKN
2,Shot Chart Detail,0022100021,21,201980,Danny Green,1610612755,Philadelphia 76ers,1,10,34,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-100,245,1,1,20211022,PHI,BKN
3,Shot Chart Detail,0022100021,400,201980,Danny Green,1610612755,Philadelphia 76ers,3,6,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-146,211,1,0,20211022,PHI,BKN
4,Shot Chart Detail,0022100021,589,201980,Danny Green,1610612755,Philadelphia 76ers,4,3,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-147,214,1,0,20211022,PHI,BKN
5,Shot Chart Detail,0022100021,602,201980,Danny Green,1610612755,Philadelphia 76ers,4,2,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-199,149,1,0,20211022,PHI,BKN
6,Shot Chart Detail,0022100021,606,201980,Danny Green,1610612755,Philadelphia 76ers,4,1,40,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-224,-1,1,0,20211022,PHI,BKN
7,Shot Chart Detail,0022100038,262,201980,Danny Green,1610612755,Philadelphia 76ers,2,4,37,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,38,1,1,20211024,OKC,PHI
8,Shot Chart Detail,0022100038,265,201980,Danny Green,1610612755,Philadelphia 76ers,2,4,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,168,209,1,1,20211024,OKC,PHI
9,Shot Chart Detail,0022100038,335,201980,Danny Green,1610612755,Philadelphia 76ers,3,8,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,224,116,1,1,20211024,OKC,PHI
