,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100023,533,1627863,Danuel House Jr.,1610612745,Houston Rockets,3,1,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-143,211,1,0,20211022,HOU,OKC
1,Shot Chart Detail,0022100023,537,1627863,Danuel House Jr.,1610612745,Houston Rockets,3,1,6,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,8,1,0,20211022,HOU,OKC
2,Shot Chart Detail,0022100037,152,1627863,Danuel House Jr.,1610612745,Houston Rockets,2,11,30,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,23,105,1,0,20211024,HOU,BOS
3,Shot Chart Detail,0022100037,484,1627863,Danuel House Jr.,1610612745,Houston Rockets,4,11,45,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,8,1,0,20211024,HOU,BOS
4,Shot Chart Detail,0022100052,137,1627863,Danuel House Jr.,1610612745,Houston Rockets,1,1,59,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,17,1,1,20211026,DAL,HOU
5,Shot Chart Detail,0022100052,148,1627863,Danuel House Jr.,1610612745,Houston Rockets,1,1,15,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,4,1,1,20211026,DAL,HOU
6,Shot Chart Detail,0022100052,180,1627863,Danuel House Jr.,1610612745,Houston Rockets,2,10,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-135,213,1,1,20211026,DAL,HOU
7,Shot Chart Detail,0022100052,224,1627863,Danuel House Jr.,1610612745,Houston Rockets,2,7,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-44,245,1,0,20211026,DAL,HOU
8,Shot Chart Detail,0022100162,144,1627863,Danuel House Jr.,1610612745,Houston Rockets,1,2,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-127,253,1,1,20211110,HOU,DET
9,Shot Chart Detail,0022100162,200,1627863,Danuel House Jr.,1610612745,Houston Rockets,2,9,16,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,18,1,1,20211110,HOU,DET
10,Shot Chart Detail,0022100162,438,1627863,Danuel House Jr.,1610612745,Houston Rockets,3,4,35,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,8,1,0,20211110,HOU,DET
11,Shot Chart Detail,0022100162,504,1627863,Danuel House Jr.,1610612745,Houston Rockets,3,0,47,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-31,261,1,1,20211110,HOU,DET
