,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100011,15,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,1,10,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,-180,236,1,0,20211020,UTA,OKC
1,Shot Chart Detail,0022100011,41,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,1,8,3,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,8,1,1,20211020,UTA,OKC
2,Shot Chart Detail,0022100011,59,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,1,6,25,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,72,53,1,0,20211020,UTA,OKC
3,Shot Chart Detail,0022100011,82,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,1,4,58,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,115,221,1,0,20211020,UTA,OKC
4,Shot Chart Detail,0022100011,107,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,1,3,3,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,-168,51,1,0,20211020,UTA,OKC
5,Shot Chart Detail,0022100011,327,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,3,11,46,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,10,1,0,20211020,UTA,OKC
6,Shot Chart Detail,0022100011,349,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,3,9,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-22,262,1,0,20211020,UTA,OKC
7,Shot Chart Detail,0022100011,371,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,3,7,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-185,172,1,0,20211020,UTA,OKC
8,Shot Chart Detail,0022100011,382,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,3,6,54,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,12,1,1,20211020,UTA,OKC
9,Shot Chart Detail,0022100011,392,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,3,6,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,156,206,1,0,20211020,UTA,OKC
10,Shot Chart Detail,0022100011,394,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,3,6,14,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,29,1,1,20211020,UTA,OKC
11,Shot Chart Detail,0022100011,482,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,3,0,0,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,12,1,1,20211020,UTA,OKC
12,Shot Chart Detail,0022100011,502,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,4,10,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,191,197,1,1,20211020,UTA,OKC
13,Shot Chart Detail,0022100011,545,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,4,7,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-75,242,1,0,20211020,UTA,OKC
14,Shot Chart Detail,0022100023,15,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,1,11,4,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,1,1,0,20211022,HOU,OKC
15,Shot Chart Detail,0022100023,18,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,1,10,43,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-233,82,1,0,20211022,HOU,OKC
16,Shot Chart Detail,0022100023,66,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,1,6,38,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-28,19,1,0,20211022,HOU,OKC
17,Shot Chart Detail,0022100023,78,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,1,5,56,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-31,41,1,0,20211022,HOU,OKC
18,Shot Chart Detail,0022100023,89,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,1,5,3,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,1,1,1,20211022,HOU,OKC
19,Shot Chart Detail,0022100023,267,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,2,5,42,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-227,83,1,0,20211022,HOU,OKC
20,Shot Chart Detail,0022100023,413,1629647,Darius Bazley,1610612760,Oklahoma City Thunder,3,8,38,Missed Shot,Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,1,95,1,0,20211022,HOU,OKC
