,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100008,471,1628021,David Nwaba,1610612745,Houston Rockets,3,3,27,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-36,55,1,0,20211020,MIN,HOU
1,Shot Chart Detail,0022100008,477,1628021,David Nwaba,1610612745,Houston Rockets,3,3,5,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,229,27,1,0,20211020,MIN,HOU
2,Shot Chart Detail,0022100008,613,1628021,David Nwaba,1610612745,Houston Rockets,4,7,44,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,1,20211020,MIN,HOU
3,Shot Chart Detail,0022100008,627,1628021,David Nwaba,1610612745,Houston Rockets,4,6,14,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,10,1,1,20211020,MIN,HOU
4,Shot Chart Detail,0022100008,683,1628021,David Nwaba,1610612745,Houston Rockets,4,3,37,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,14,1,1,20211020,MIN,HOU
5,Shot Chart Detail,0022100008,711,1628021,David Nwaba,1610612745,Houston Rockets,4,1,18,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,32,1,0,20211020,MIN,HOU
6,Shot Chart Detail,0022100008,716,1628021,David Nwaba,1610612745,Houston Rockets,4,1,0,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,30,1,0,20211020,MIN,HOU
7,Shot Chart Detail,0022100023,367,1628021,David Nwaba,1610612745,Houston Rockets,2,10,58,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,45,1,0,20211022,HOU,OKC
8,Shot Chart Detail,0022100023,221,1628021,David Nwaba,1610612745,Houston Rockets,2,8,56,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-221,4,1,0,20211022,HOU,OKC
9,Shot Chart Detail,0022100023,510,1628021,David Nwaba,1610612745,Houston Rockets,3,2,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,13,1,1,20211022,HOU,OKC
10,Shot Chart Detail,0022100023,718,1628021,David Nwaba,1610612745,Houston Rockets,3,1,4,Missed Shot,Tip Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-23,44,1,0,20211022,HOU,OKC
11,Shot Chart Detail,0022100023,644,1628021,David Nwaba,1610612745,Houston Rockets,4,4,55,Made Shot,Pullup Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,20,1,1,20211022,HOU,OKC
12,Shot Chart Detail,0022100023,665,1628021,David Nwaba,1610612745,Houston Rockets,4,3,53,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,24,1,0,20211022,HOU,OKC
13,Shot Chart Detail,0022100023,703,1628021,David Nwaba,1610612745,Houston Rockets,4,1,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,15,1,1,20211022,HOU,OKC
14,Shot Chart Detail,0022100037,220,1628021,David Nwaba,1610612745,Houston Rockets,2,6,54,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,37,1,0,20211024,HOU,BOS
15,Shot Chart Detail,0022100052,413,1628021,David Nwaba,1610612745,Houston Rockets,3,7,57,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,2,1,1,20211026,DAL,HOU
16,Shot Chart Detail,0022100052,417,1628021,David Nwaba,1610612745,Houston Rockets,3,7,29,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-45,10,1,1,20211026,DAL,HOU
17,Shot Chart Detail,0022100068,548,1628021,David Nwaba,1610612745,Houston Rockets,4,9,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,22,1,1,20211028,HOU,UTA
18,Shot Chart Detail,0022100068,560,1628021,David Nwaba,1610612745,Houston Rockets,4,8,4,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,4,1,0,20211028,HOU,UTA
19,Shot Chart Detail,0022100068,593,1628021,David Nwaba,1610612745,Houston Rockets,4,6,22,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,11,1,1,20211028,HOU,UTA
20,Shot Chart Detail,0022100093,96,1628021,David Nwaba,1610612745,Houston Rockets,1,4,58,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-25,36,1,0,20211031,LAL,HOU
