,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100342,179,1628432,Davon Reed,1610612743,Denver Nuggets,2,9,25,Made Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,179,180,1,1,20211204,NYK,DEN
1,Shot Chart Detail,0022100342,429,1628432,Davon Reed,1610612743,Denver Nuggets,3,1,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-192,160,1,1,20211204,NYK,DEN
2,Shot Chart Detail,0022100342,476,1628432,Davon Reed,1610612743,Denver Nuggets,4,10,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-113,231,1,1,20211204,NYK,DEN
3,Shot Chart Detail,0022100342,547,1628432,Davon Reed,1610612743,Denver Nuggets,4,3,36,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,6,1,0,20211204,NYK,DEN
4,Shot Chart Detail,0022100357,187,1628432,Davon Reed,1610612743,Denver Nuggets,2,10,38,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-17,65,1,0,20211206,CHI,DEN
5,Shot Chart Detail,0022100375,451,1628432,Davon Reed,1610612743,Denver Nuggets,4,11,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,-127,20,1,1,20211208,NOP,DEN
6,Shot Chart Detail,0022100375,467,1628432,Davon Reed,1610612743,Denver Nuggets,4,10,0,Missed Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,5,1,0,20211208,NOP,DEN
7,Shot Chart Detail,0022100375,472,1628432,Davon Reed,1610612743,Denver Nuggets,4,9,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,16,195,1,1,20211208,NOP,DEN
8,Shot Chart Detail,0022100381,117,1628432,Davon Reed,1610612743,Denver Nuggets,1,2,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-110,231,1,0,20211209,SAS,DEN
9,Shot Chart Detail,0022100381,136,1628432,Davon Reed,1610612743,Denver Nuggets,1,1,5,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,-157,42,1,0,20211209,SAS,DEN
10,Shot Chart Detail,0022100381,178,1628432,Davon Reed,1610612743,Denver Nuggets,2,10,9,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,-23,1,0,20211209,SAS,DEN
