,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100013,14,1628368,De'Aaron Fox,1610612758,Sacramento Kings,1,10,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-154,203,1,1,20211020,POR,SAC
1,Shot Chart Detail,0022100013,23,1628368,De'Aaron Fox,1610612758,Sacramento Kings,1,10,18,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,36,3,1,1,20211020,POR,SAC
2,Shot Chart Detail,0022100013,36,1628368,De'Aaron Fox,1610612758,Sacramento Kings,1,9,15,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-121,246,1,0,20211020,POR,SAC
3,Shot Chart Detail,0022100013,57,1628368,De'Aaron Fox,1610612758,Sacramento Kings,1,7,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,92,241,1,1,20211020,POR,SAC
4,Shot Chart Detail,0022100013,64,1628368,De'Aaron Fox,1610612758,Sacramento Kings,1,6,44,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,96,236,1,0,20211020,POR,SAC
5,Shot Chart Detail,0022100013,68,1628368,De'Aaron Fox,1610612758,Sacramento Kings,1,6,14,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,9,1,0,20211020,POR,SAC
6,Shot Chart Detail,0022100013,88,1628368,De'Aaron Fox,1610612758,Sacramento Kings,1,4,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,5,1,1,20211020,POR,SAC
7,Shot Chart Detail,0022100013,125,1628368,De'Aaron Fox,1610612758,Sacramento Kings,1,2,30,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-92,236,1,0,20211020,POR,SAC
8,Shot Chart Detail,0022100013,275,1628368,De'Aaron Fox,1610612758,Sacramento Kings,2,4,26,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,16,115,1,1,20211020,POR,SAC
9,Shot Chart Detail,0022100013,368,1628368,De'Aaron Fox,1610612758,Sacramento Kings,3,11,35,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-120,242,1,0,20211020,POR,SAC
10,Shot Chart Detail,0022100013,374,1628368,De'Aaron Fox,1610612758,Sacramento Kings,3,10,43,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,112,32,1,0,20211020,POR,SAC
11,Shot Chart Detail,0022100013,400,1628368,De'Aaron Fox,1610612758,Sacramento Kings,3,8,20,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,45,193,1,0,20211020,POR,SAC
12,Shot Chart Detail,0022100013,408,1628368,De'Aaron Fox,1610612758,Sacramento Kings,3,7,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,147,218,1,0,20211020,POR,SAC
13,Shot Chart Detail,0022100013,421,1628368,De'Aaron Fox,1610612758,Sacramento Kings,3,6,58,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,1,20211020,POR,SAC
14,Shot Chart Detail,0022100013,433,1628368,De'Aaron Fox,1610612758,Sacramento Kings,3,5,47,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,29,106,1,0,20211020,POR,SAC
15,Shot Chart Detail,0022100013,485,1628368,De'Aaron Fox,1610612758,Sacramento Kings,3,2,25,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,39,89,1,1,20211020,POR,SAC
16,Shot Chart Detail,0022100013,495,1628368,De'Aaron Fox,1610612758,Sacramento Kings,3,0,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,12,1,1,20211020,POR,SAC
17,Shot Chart Detail,0022100013,580,1628368,De'Aaron Fox,1610612758,Sacramento Kings,4,7,21,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-37,44,1,0,20211020,POR,SAC
