,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100007,14,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,1,10,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,185,124,1,0,20211020,MEM,CLE
1,Shot Chart Detail,0022100007,54,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,1,7,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-15,194,1,1,20211020,MEM,CLE
2,Shot Chart Detail,0022100007,167,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,2,11,19,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,18,122,1,0,20211020,MEM,CLE
3,Shot Chart Detail,0022100007,190,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,2,9,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,91,240,1,1,20211020,MEM,CLE
4,Shot Chart Detail,0022100007,194,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,2,9,17,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-93,231,1,1,20211020,MEM,CLE
5,Shot Chart Detail,0022100007,199,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,2,8,43,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-238,1,1,1,20211020,MEM,CLE
6,Shot Chart Detail,0022100007,354,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,3,11,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-93,238,1,0,20211020,MEM,CLE
7,Shot Chart Detail,0022100007,377,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,3,9,19,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2,38,1,0,20211020,MEM,CLE
8,Shot Chart Detail,0022100007,407,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,3,6,48,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,18,1,1,20211020,MEM,CLE
9,Shot Chart Detail,0022100007,492,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,3,0,44,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-105,239,1,0,20211020,MEM,CLE
10,Shot Chart Detail,0022100007,526,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,4,11,0,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,1,1,1,20211020,MEM,CLE
11,Shot Chart Detail,0022100007,548,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,4,8,47,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,23,105,209,1,0,20211020,MEM,CLE
12,Shot Chart Detail,0022100007,636,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,4,3,25,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,25,1,1,20211020,MEM,CLE
13,Shot Chart Detail,0022100007,655,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,4,1,18,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,2,1,1,20211020,MEM,CLE
14,Shot Chart Detail,0022100034,40,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,1,8,12,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,94,234,1,1,20211023,LAC,MEM
15,Shot Chart Detail,0022100034,55,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,1,6,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,6,1,1,20211023,LAC,MEM
16,Shot Chart Detail,0022100034,72,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,1,5,6,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,185,20,1,0,20211023,LAC,MEM
17,Shot Chart Detail,0022100034,219,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,2,6,43,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,31,-140,277,1,1,20211023,LAC,MEM
18,Shot Chart Detail,0022100034,222,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,2,6,19,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,148,206,1,0,20211023,LAC,MEM
19,Shot Chart Detail,0022100034,226,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,2,6,13,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211023,LAC,MEM
20,Shot Chart Detail,0022100034,304,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,2,0,22,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,5,1,1,20211023,LAC,MEM
