,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100044,151,1627761,DeAndre' Bembry,1610612751,Brooklyn Nets,1,0,42,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,5,100,1,0,20211025,BKN,WAS
1,Shot Chart Detail,0022100044,305,1627761,DeAndre' Bembry,1610612751,Brooklyn Nets,2,1,32,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,32,1,0,20211025,BKN,WAS
2,Shot Chart Detail,0022100044,471,1627761,DeAndre' Bembry,1610612751,Brooklyn Nets,3,2,15,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-1,1,1,20211025,BKN,WAS
3,Shot Chart Detail,0022100044,505,1627761,DeAndre' Bembry,1610612751,Brooklyn Nets,3,0,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,17,1,1,20211025,BKN,WAS
4,Shot Chart Detail,0022100044,680,1627761,DeAndre' Bembry,1610612751,Brooklyn Nets,4,1,6,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,1,20211025,BKN,WAS
5,Shot Chart Detail,0022100057,129,1627761,DeAndre' Bembry,1610612751,Brooklyn Nets,1,1,52,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,16,62,1,1,20211027,BKN,MIA
6,Shot Chart Detail,0022100057,191,1627761,DeAndre' Bembry,1610612751,Brooklyn Nets,2,9,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,10,1,1,20211027,BKN,MIA
7,Shot Chart Detail,0022100057,202,1627761,DeAndre' Bembry,1610612751,Brooklyn Nets,2,8,59,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,9,49,1,0,20211027,BKN,MIA
8,Shot Chart Detail,0022100057,225,1627761,DeAndre' Bembry,1610612751,Brooklyn Nets,2,7,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-112,235,1,0,20211027,BKN,MIA
9,Shot Chart Detail,0022100057,529,1627761,DeAndre' Bembry,1610612751,Brooklyn Nets,4,9,41,Missed Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,0,20211027,BKN,MIA
10,Shot Chart Detail,0022100072,157,1627761,DeAndre' Bembry,1610612751,Brooklyn Nets,1,1,27,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,-1,1,0,20211029,BKN,IND
11,Shot Chart Detail,0022100072,586,1627761,DeAndre' Bembry,1610612751,Brooklyn Nets,3,0,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,7,1,0,20211029,BKN,IND
