,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100017,140,1629731,Dean Wade,1610612739,Cleveland Cavaliers,1,0,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,69,283,1,0,20211022,CLE,CHA
1,Shot Chart Detail,0022100017,649,1629731,Dean Wade,1610612739,Cleveland Cavaliers,4,1,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-147,219,1,0,20211022,CLE,CHA
2,Shot Chart Detail,0022100017,676,1629731,Dean Wade,1610612739,Cleveland Cavaliers,4,0,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,126,209,1,1,20211022,CLE,CHA
3,Shot Chart Detail,0022100088,466,1629731,Dean Wade,1610612739,Cleveland Cavaliers,3,2,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,77,146,1,1,20211030,PHX,CLE
4,Shot Chart Detail,0022100088,518,1629731,Dean Wade,1610612739,Cleveland Cavaliers,4,10,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-162,200,1,0,20211030,PHX,CLE
5,Shot Chart Detail,0022100088,544,1629731,Dean Wade,1610612739,Cleveland Cavaliers,4,8,38,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-148,207,1,0,20211030,PHX,CLE
6,Shot Chart Detail,0022100088,616,1629731,Dean Wade,1610612739,Cleveland Cavaliers,4,2,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,103,244,1,1,20211030,PHX,CLE
7,Shot Chart Detail,0022100088,633,1629731,Dean Wade,1610612739,Cleveland Cavaliers,4,1,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,131,233,1,0,20211030,PHX,CLE
8,Shot Chart Detail,0022100094,210,1629731,Dean Wade,1610612739,Cleveland Cavaliers,2,9,52,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,3,1,1,20211101,CHA,CLE
9,Shot Chart Detail,0022100108,41,1629731,Dean Wade,1610612739,Cleveland Cavaliers,1,8,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,173,215,1,0,20211103,CLE,POR
10,Shot Chart Detail,0022100108,84,1629731,Dean Wade,1610612739,Cleveland Cavaliers,1,4,55,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,17,1,1,20211103,CLE,POR
11,Shot Chart Detail,0022100108,189,1629731,Dean Wade,1610612739,Cleveland Cavaliers,2,8,40,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-56,176,1,1,20211103,CLE,POR
12,Shot Chart Detail,0022100108,333,1629731,Dean Wade,1610612739,Cleveland Cavaliers,3,8,41,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,243,-16,1,0,20211103,CLE,POR
13,Shot Chart Detail,0022100108,351,1629731,Dean Wade,1610612739,Cleveland Cavaliers,3,7,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-143,205,1,1,20211103,CLE,POR
14,Shot Chart Detail,0022100108,502,1629731,Dean Wade,1610612739,Cleveland Cavaliers,4,7,44,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-50,113,1,0,20211103,CLE,POR
15,Shot Chart Detail,0022100108,506,1629731,Dean Wade,1610612739,Cleveland Cavaliers,4,7,28,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,61,1,0,20211103,CLE,POR
16,Shot Chart Detail,0022100127,34,1629731,Dean Wade,1610612739,Cleveland Cavaliers,1,8,41,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-223,16,1,0,20211105,TOR,CLE
17,Shot Chart Detail,0022100127,60,1629731,Dean Wade,1610612739,Cleveland Cavaliers,1,6,12,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-2,38,1,1,20211105,TOR,CLE
18,Shot Chart Detail,0022100127,192,1629731,Dean Wade,1610612739,Cleveland Cavaliers,2,8,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-185,171,1,0,20211105,TOR,CLE
19,Shot Chart Detail,0022100127,222,1629731,Dean Wade,1610612739,Cleveland Cavaliers,2,6,28,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,105,53,1,1,20211105,TOR,CLE
20,Shot Chart Detail,0022100127,325,1629731,Dean Wade,1610612739,Cleveland Cavaliers,3,11,11,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,11,1,0,20211105,TOR,CLE
21,Shot Chart Detail,0022100127,344,1629731,Dean Wade,1610612739,Cleveland Cavaliers,3,9,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-197,141,1,0,20211105,TOR,CLE
22,Shot Chart Detail,0022100127,349,1629731,Dean Wade,1610612739,Cleveland Cavaliers,3,9,5,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,12,1,0,20211105,TOR,CLE
