,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100033,489,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,10,6,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,59,64,1,1,20211023,POR,PHX
1,Shot Chart Detail,0022100049,509,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,3,0,32,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,-82,146,1,1,20211025,LAC,POR
2,Shot Chart Detail,0022100049,512,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,3,0,6,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,20,36,1,0,20211025,LAC,POR
3,Shot Chart Detail,0022100049,530,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,11,7,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,23,1,1,20211025,LAC,POR
4,Shot Chart Detail,0022100049,542,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,10,11,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,12,1,0,20211025,LAC,POR
5,Shot Chart Detail,0022100049,559,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,8,59,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,27,1,0,20211025,LAC,POR
6,Shot Chart Detail,0022100049,564,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,8,57,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,6,1,0,20211025,LAC,POR
7,Shot Chart Detail,0022100049,664,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,2,16,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,56,13,1,1,20211025,LAC,POR
8,Shot Chart Detail,0022100063,590,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,7,51,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,-3,1,1,20211027,POR,MEM
9,Shot Chart Detail,0022100063,702,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,1,46,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,10,1,0,20211027,POR,MEM
10,Shot Chart Detail,0022100076,642,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,1,36,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,6,1,0,20211029,POR,LAC
11,Shot Chart Detail,0022100076,652,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,1,1,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,-4,1,1,20211029,POR,LAC
12,Shot Chart Detail,0022100076,654,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,0,31,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-174,180,1,1,20211029,POR,LAC
13,Shot Chart Detail,0022100138,650,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,2,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,126,227,1,0,20211106,POR,LAL
14,Shot Chart Detail,0022100138,667,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,1,10,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,10,1,0,20211106,POR,LAL
15,Shot Chart Detail,0022100197,142,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,1,0,10,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-9,78,1,0,20211114,DEN,POR
16,Shot Chart Detail,0022100197,467,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,9,5,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-129,26,1,1,20211114,DEN,POR
17,Shot Chart Detail,0022100197,562,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,1,0,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,-80,141,1,0,20211114,DEN,POR
18,Shot Chart Detail,0022100265,593,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,2,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,130,219,1,0,20211123,POR,DEN
19,Shot Chart Detail,0022100279,147,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,1,0,32,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-119,225,1,0,20211124,SAC,POR
20,Shot Chart Detail,0022100279,168,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,2,10,32,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,10,1,1,20211124,SAC,POR
21,Shot Chart Detail,0022100279,192,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,2,8,55,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,21,1,0,20211124,SAC,POR
22,Shot Chart Detail,0022100279,486,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,3,0,40,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,11,37,1,0,20211124,SAC,POR
23,Shot Chart Detail,0022100279,549,1628372,Dennis Smith Jr.,1610612757,Portland Trail Blazers,4,9,2,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,17,109,1,0,20211124,SAC,POR
