,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100011,20,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,9,34,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,31,181,262,1,0,20211020,UTA,OKC
1,Shot Chart Detail,0022100011,28,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,9,3,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,67,244,1,0,20211020,UTA,OKC
2,Shot Chart Detail,0022100011,84,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,4,47,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-16,31,1,0,20211020,UTA,OKC
3,Shot Chart Detail,0022100011,101,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,3,42,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,217,38,1,0,20211020,UTA,OKC
4,Shot Chart Detail,0022100011,243,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,5,42,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,29,1,1,20211020,UTA,OKC
5,Shot Chart Detail,0022100011,254,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,5,17,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-45,94,1,0,20211020,UTA,OKC
6,Shot Chart Detail,0022100011,281,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,2,34,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,-140,159,1,0,20211020,UTA,OKC
7,Shot Chart Detail,0022100011,304,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,0,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-138,231,1,0,20211020,UTA,OKC
8,Shot Chart Detail,0022100011,341,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,10,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,164,192,1,1,20211020,UTA,OKC
9,Shot Chart Detail,0022100011,347,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,9,56,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,207,210,1,0,20211020,UTA,OKC
10,Shot Chart Detail,0022100011,369,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,7,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,16,260,1,1,20211020,UTA,OKC
11,Shot Chart Detail,0022100011,386,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,6,47,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,28,246,1,1,20211020,UTA,OKC
12,Shot Chart Detail,0022100011,390,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,6,29,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,112,277,1,0,20211020,UTA,OKC
13,Shot Chart Detail,0022100011,402,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,5,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,3,1,1,20211020,UTA,OKC
14,Shot Chart Detail,0022100011,564,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,5,59,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,150,247,1,0,20211020,UTA,OKC
15,Shot Chart Detail,0022100011,579,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,4,57,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,221,14,1,0,20211020,UTA,OKC
16,Shot Chart Detail,0022100011,594,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,3,22,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-69,57,1,1,20211020,UTA,OKC
17,Shot Chart Detail,0022100026,14,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,11,22,Missed Shot,Fadeaway Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,237,-7,1,0,20211022,SAC,UTA
