,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100095,638,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,4,2,19,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,130,162,1,1,20211101,IND,SAS
1,Shot Chart Detail,0022100095,642,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,4,1,59,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,208,141,1,1,20211101,IND,SAS
2,Shot Chart Detail,0022100095,646,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,4,1,35,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-93,232,1,0,20211101,IND,SAS
3,Shot Chart Detail,0022100369,634,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,4,1,49,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,203,147,1,0,20211208,IND,NYK
4,Shot Chart Detail,0022100499,433,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,3,2,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,-1,1,1,20211226,CHI,IND
5,Shot Chart Detail,0022100499,478,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,4,10,58,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,9,1,0,20211226,CHI,IND
6,Shot Chart Detail,0022100499,628,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,4,0,5,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-191,209,1,0,20211226,CHI,IND
7,Shot Chart Detail,0022100530,40,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,1,8,49,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,-7,1,1,20211231,IND,CHI
8,Shot Chart Detail,0022100530,115,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,1,3,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,185,173,1,0,20211231,IND,CHI
9,Shot Chart Detail,0022100530,119,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,1,3,13,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,13,1,0,20211231,IND,CHI
10,Shot Chart Detail,0022100530,123,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,1,2,51,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,9,1,1,20211231,IND,CHI
11,Shot Chart Detail,0022100530,182,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,2,11,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-131,232,1,0,20211231,IND,CHI
12,Shot Chart Detail,0022100530,370,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,3,10,1,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,97,53,1,0,20211231,IND,CHI
13,Shot Chart Detail,0022100530,373,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,3,9,56,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,224,8,1,0,20211231,IND,CHI
14,Shot Chart Detail,0022100530,381,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,3,9,38,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,80,254,1,0,20211231,IND,CHI
15,Shot Chart Detail,0022100530,394,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,3,8,35,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,23,25,1,1,20211231,IND,CHI
16,Shot Chart Detail,0022100530,400,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,3,7,50,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,0,90,1,0,20211231,IND,CHI
17,Shot Chart Detail,0022100530,412,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,3,6,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-140,205,1,0,20211231,IND,CHI
18,Shot Chart Detail,0022100530,493,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,3,2,30,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,26,1,0,20211231,IND,CHI
19,Shot Chart Detail,0022100530,544,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,4,11,47,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-6,38,1,0,20211231,IND,CHI
20,Shot Chart Detail,0022100530,610,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,4,6,48,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,159,130,1,0,20211231,IND,CHI
21,Shot Chart Detail,0022100547,25,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,1,9,48,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,16,1,1,20220102,CLE,IND
22,Shot Chart Detail,0022100547,30,1630613,Duane Washington Jr.,1610612754,Indiana Pacers,1,9,5,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-69,168,1,1,20220102,CLE,IND
