,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100014,11,203939,Dwight Powell,1610612742,Dallas Mavericks,1,11,0,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-4,1,0,20211021,ATL,DAL
1,Shot Chart Detail,0022100014,65,203939,Dwight Powell,1610612742,Dallas Mavericks,1,6,9,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,15,1,0,20211021,ATL,DAL
2,Shot Chart Detail,0022100014,295,203939,Dwight Powell,1610612742,Dallas Mavericks,2,2,26,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,21,1,1,20211021,ATL,DAL
3,Shot Chart Detail,0022100014,322,203939,Dwight Powell,1610612742,Dallas Mavericks,2,0,57,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,5,1,0,20211021,ATL,DAL
4,Shot Chart Detail,0022100014,400,203939,Dwight Powell,1610612742,Dallas Mavericks,3,6,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,21,256,1,0,20211021,ATL,DAL
5,Shot Chart Detail,0022100029,13,203939,Dwight Powell,1610612742,Dallas Mavericks,1,10,49,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-1,1,1,20211023,TOR,DAL
6,Shot Chart Detail,0022100029,247,203939,Dwight Powell,1610612742,Dallas Mavericks,2,7,7,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-1,1,1,20211023,TOR,DAL
7,Shot Chart Detail,0022100029,429,203939,Dwight Powell,1610612742,Dallas Mavericks,3,5,43,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20211023,TOR,DAL
8,Shot Chart Detail,0022100052,10,203939,Dwight Powell,1610612742,Dallas Mavericks,1,11,20,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-37,10,1,1,20211026,DAL,HOU
9,Shot Chart Detail,0022100052,53,203939,Dwight Powell,1610612742,Dallas Mavericks,1,7,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,31,254,1,0,20211026,DAL,HOU
10,Shot Chart Detail,0022100052,383,203939,Dwight Powell,1610612742,Dallas Mavericks,3,9,32,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,10,1,1,20211026,DAL,HOU
11,Shot Chart Detail,0022100052,427,203939,Dwight Powell,1610612742,Dallas Mavericks,3,6,27,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,16,1,0,20211026,DAL,HOU
12,Shot Chart Detail,0022100052,637,203939,Dwight Powell,1610612742,Dallas Mavericks,4,4,28,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-43,58,1,1,20211026,DAL,HOU
13,Shot Chart Detail,0022100069,50,203939,Dwight Powell,1610612742,Dallas Mavericks,1,7,41,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,13,1,0,20211028,DAL,SAS
14,Shot Chart Detail,0022100069,266,203939,Dwight Powell,1610612742,Dallas Mavericks,2,3,18,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,21,1,1,20211028,DAL,SAS
15,Shot Chart Detail,0022100069,276,203939,Dwight Powell,1610612742,Dallas Mavericks,2,2,10,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,0,20211028,DAL,SAS
16,Shot Chart Detail,0022100069,278,203939,Dwight Powell,1610612742,Dallas Mavericks,2,2,8,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,2,1,0,20211028,DAL,SAS
17,Shot Chart Detail,0022100069,294,203939,Dwight Powell,1610612742,Dallas Mavericks,2,1,13,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,4,1,1,20211028,DAL,SAS
18,Shot Chart Detail,0022100069,347,203939,Dwight Powell,1610612742,Dallas Mavericks,3,8,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-49,245,1,0,20211028,DAL,SAS
19,Shot Chart Detail,0022100069,369,203939,Dwight Powell,1610612742,Dallas Mavericks,3,7,14,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-1,1,0,20211028,DAL,SAS
20,Shot Chart Detail,0022100069,386,203939,Dwight Powell,1610612742,Dallas Mavericks,3,5,38,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,6,1,1,20211028,DAL,SAS
21,Shot Chart Detail,0022100069,527,203939,Dwight Powell,1610612742,Dallas Mavericks,4,8,33,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,6,1,1,20211028,DAL,SAS
22,Shot Chart Detail,0022100069,549,203939,Dwight Powell,1610612742,Dallas Mavericks,4,6,31,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,3,1,1,20211028,DAL,SAS
23,Shot Chart Detail,0022100069,563,203939,Dwight Powell,1610612742,Dallas Mavericks,4,4,33,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,3,1,0,20211028,DAL,SAS
24,Shot Chart Detail,0022100069,589,203939,Dwight Powell,1610612742,Dallas Mavericks,4,2,53,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,8,1,0,20211028,DAL,SAS
25,Shot Chart Detail,0022100075,22,203939,Dwight Powell,1610612742,Dallas Mavericks,1,10,20,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-29,80,1,0,20211029,DEN,DAL
26,Shot Chart Detail,0022100075,83,203939,Dwight Powell,1610612742,Dallas Mavericks,1,4,57,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-28,21,1,0,20211029,DEN,DAL
