,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100088,464,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,3,2,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,82,259,1,0,20211030,PHX,CLE
1,Shot Chart Detail,0022100088,522,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,10,28,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,21,1,0,20211030,PHX,CLE
2,Shot Chart Detail,0022100088,552,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,7,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,99,248,1,0,20211030,PHX,CLE
3,Shot Chart Detail,0022100088,568,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,5,46,Made Shot,Driving Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-20,46,1,1,20211030,PHX,CLE
4,Shot Chart Detail,0022100088,604,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,3,57,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,237,71,1,0,20211030,PHX,CLE
5,Shot Chart Detail,0022100088,623,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,2,0,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,20,1,1,20211030,PHX,CLE
6,Shot Chart Detail,0022100088,635,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,1,21,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211030,PHX,CLE
7,Shot Chart Detail,0022100088,653,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,0,11,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2,37,1,1,20211030,PHX,CLE
8,Shot Chart Detail,0022100108,110,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,1,2,21,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,45,43,1,1,20211103,CLE,POR
9,Shot Chart Detail,0022100108,145,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,11,47,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,5,1,0,20211103,CLE,POR
10,Shot Chart Detail,0022100108,149,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,11,23,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,11,1,1,20211103,CLE,POR
11,Shot Chart Detail,0022100108,153,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,10,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,185,190,1,1,20211103,CLE,POR
12,Shot Chart Detail,0022100108,193,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,8,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-18,281,1,1,20211103,CLE,POR
13,Shot Chart Detail,0022100127,158,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,11,15,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,15,1,0,20211105,TOR,CLE
14,Shot Chart Detail,0022100127,420,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,3,3,2,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,221,-3,1,0,20211105,TOR,CLE
15,Shot Chart Detail,0022100140,170,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,11,5,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,-13,1,0,20211107,NYK,CLE
16,Shot Chart Detail,0022100140,193,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,9,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-150,213,1,0,20211107,NYK,CLE
17,Shot Chart Detail,0022100140,250,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,4,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,71,236,1,1,20211107,NYK,CLE
18,Shot Chart Detail,0022100140,441,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,3,3,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,201,142,1,1,20211107,NYK,CLE
19,Shot Chart Detail,0022100140,555,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,6,22,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,-13,1,1,20211107,NYK,CLE
20,Shot Chart Detail,0022100158,206,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,9,19,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,5,1,1,20211110,CLE,WAS
21,Shot Chart Detail,0022100158,234,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,7,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-212,151,1,0,20211110,CLE,WAS
22,Shot Chart Detail,0022100158,434,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,3,3,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,235,94,1,0,20211110,CLE,WAS
23,Shot Chart Detail,0022100176,124,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,1,2,42,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,42,1,0,20211112,CLE,DET
24,Shot Chart Detail,0022100176,170,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,10,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,203,176,1,1,20211112,CLE,DET
25,Shot Chart Detail,0022100176,276,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,2,17,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,169,196,1,0,20211112,CLE,DET
26,Shot Chart Detail,0022100176,445,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,3,1,2,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,3,1,1,20211112,CLE,DET
27,Shot Chart Detail,0022100176,552,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,5,6,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-228,-2,1,1,20211112,CLE,DET
28,Shot Chart Detail,0022100176,555,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,4,25,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,21,1,0,20211112,CLE,DET
29,Shot Chart Detail,0022100176,596,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,1,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-195,164,1,0,20211112,CLE,DET
30,Shot Chart Detail,0022100190,129,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,1,1,18,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,17,1,0,20211113,CLE,BOS
31,Shot Chart Detail,0022100190,133,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,1,0,55,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,21,1,0,20211113,CLE,BOS
32,Shot Chart Detail,0022100199,170,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,9,26,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,15,1,1,20211115,CLE,BOS
33,Shot Chart Detail,0022100224,257,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,2,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,161,212,1,0,20211118,CLE,GSW
34,Shot Chart Detail,0022100253,216,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,8,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-13,268,1,0,20211122,CLE,BKN
35,Shot Chart Detail,0022100310,633,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,1,36,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,15,64,137,1,0,20211129,DAL,CLE
36,Shot Chart Detail,0022100334,650,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,1,3,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-221,26,1,1,20211203,WAS,CLE
37,Shot Chart Detail,0022100367,632,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,2,1,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,36,1,0,20211208,CLE,CHI
38,Shot Chart Detail,0022100417,589,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,6,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-179,185,1,0,20211215,CLE,HOU
39,Shot Chart Detail,0022100417,609,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,6,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-202,205,1,1,20211215,CLE,HOU
40,Shot Chart Detail,0022100417,622,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,5,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-205,194,1,0,20211215,CLE,HOU
41,Shot Chart Detail,0022100417,628,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,4,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20211215,CLE,HOU
42,Shot Chart Detail,0022100417,640,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,3,6,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,39,278,1,0,20211215,CLE,HOU
43,Shot Chart Detail,0022100446,265,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,3,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,228,155,1,0,20211218,MIL,CLE
44,Shot Chart Detail,0022100446,275,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,2,3,16,Missed Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,21,1,0,20211218,MIL,CLE
45,Shot Chart Detail,0022100452,447,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,3,3,36,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-224,-13,1,0,20220331,ATL,CLE
46,Shot Chart Detail,0022100452,502,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,11,5,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-221,-19,1,0,20220331,ATL,CLE
47,Shot Chart Detail,0022100452,523,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,9,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,135,220,1,0,20220331,ATL,CLE
48,Shot Chart Detail,0022100452,540,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,7,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-169,189,1,0,20220331,ATL,CLE
49,Shot Chart Detail,0022100452,608,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,2,30,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,17,1,1,20220331,ATL,CLE
50,Shot Chart Detail,0022100452,615,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,2,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,229,86,1,0,20220331,ATL,CLE
51,Shot Chart Detail,0022100452,631,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,0,49,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,1,20220331,ATL,CLE
52,Shot Chart Detail,0022100527,553,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,8,4,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,15,1,1,20211230,WAS,CLE
53,Shot Chart Detail,0022100527,571,1629685,Dylan Windler,1610612739,Cleveland Cavaliers,4,7,19,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,9,69,1,0,20211230,WAS,CLE
