,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100007,7,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,1,11,46,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,67,105,1,1,20211020,MEM,CLE
1,Shot Chart Detail,0022100007,169,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,2,11,10,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,92,60,1,0,20211020,MEM,CLE
2,Shot Chart Detail,0022100007,174,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,2,10,45,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,10,1,1,20211020,MEM,CLE
3,Shot Chart Detail,0022100007,188,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,2,9,49,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-25,174,1,0,20211020,MEM,CLE
4,Shot Chart Detail,0022100007,210,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,2,7,54,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,94,123,1,1,20211020,MEM,CLE
5,Shot Chart Detail,0022100007,225,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,2,6,44,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,190,47,1,0,20211020,MEM,CLE
6,Shot Chart Detail,0022100007,408,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,3,6,32,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,16,63,1,0,20211020,MEM,CLE
7,Shot Chart Detail,0022100007,458,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,3,3,30,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,-88,17,1,0,20211020,MEM,CLE
8,Shot Chart Detail,0022100007,463,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,3,2,56,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,223,30,1,1,20211020,MEM,CLE
9,Shot Chart Detail,0022100007,466,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,3,2,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-56,243,1,0,20211020,MEM,CLE
10,Shot Chart Detail,0022100007,490,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,3,1,8,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,0,1,1,20211020,MEM,CLE
11,Shot Chart Detail,0022100007,580,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,4,7,20,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,10,1,1,20211020,MEM,CLE
12,Shot Chart Detail,0022100007,646,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,4,1,53,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,1,72,1,1,20211020,MEM,CLE
13,Shot Chart Detail,0022100017,210,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,2,8,33,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,6,1,0,20211022,CLE,CHA
14,Shot Chart Detail,0022100017,270,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,2,4,9,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,76,39,1,0,20211022,CLE,CHA
15,Shot Chart Detail,0022100017,302,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,2,1,44,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-48,68,1,0,20211022,CLE,CHA
16,Shot Chart Detail,0022100017,401,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,3,5,39,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-66,43,1,1,20211022,CLE,CHA
17,Shot Chart Detail,0022100017,428,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,3,4,26,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,8,1,1,20211022,CLE,CHA
18,Shot Chart Detail,0022100017,524,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,4,10,56,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211022,CLE,CHA
19,Shot Chart Detail,0022100017,624,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,4,2,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,104,104,1,1,20211022,CLE,CHA
20,Shot Chart Detail,0022100027,45,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,1,8,42,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,7,1,1,20211023,CLE,ATL
21,Shot Chart Detail,0022100027,174,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,1,0,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,18,1,1,20211023,CLE,ATL
22,Shot Chart Detail,0022100027,180,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,1,0,0,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211023,CLE,ATL
23,Shot Chart Detail,0022100027,185,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,2,11,40,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,0,1,1,20211023,CLE,ATL
24,Shot Chart Detail,0022100027,201,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,2,9,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-110,12,1,0,20211023,CLE,ATL
25,Shot Chart Detail,0022100027,211,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,2,8,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-168,191,1,0,20211023,CLE,ATL
26,Shot Chart Detail,0022100027,248,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,2,6,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-163,214,1,0,20211023,CLE,ATL
27,Shot Chart Detail,0022100027,359,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,3,9,31,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-1,32,1,1,20211023,CLE,ATL
28,Shot Chart Detail,0022100027,366,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,3,8,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,14,1,1,20211023,CLE,ATL
29,Shot Chart Detail,0022100027,381,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,3,7,55,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-49,27,1,0,20211023,CLE,ATL
30,Shot Chart Detail,0022100027,430,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,3,4,43,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,3,1,1,20211023,CLE,ATL
31,Shot Chart Detail,0022100027,608,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,4,4,35,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-89,104,1,0,20211023,CLE,ATL
32,Shot Chart Detail,0022100048,47,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,1,7,26,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,131,57,1,0,20211025,DEN,CLE
33,Shot Chart Detail,0022100048,49,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,1,7,23,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-17,29,1,1,20211025,DEN,CLE
34,Shot Chart Detail,0022100048,168,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,2,11,22,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-7,98,1,0,20211025,DEN,CLE
35,Shot Chart Detail,0022100048,228,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,2,6,18,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,67,1,0,20211025,DEN,CLE
36,Shot Chart Detail,0022100048,352,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,3,10,25,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-33,11,1,1,20211025,DEN,CLE
