,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100012,122,1630267,Facundo Campazzo,1610612743,Denver Nuggets,1,2,15,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,22,1,0,20211020,PHX,DEN
1,Shot Chart Detail,0022100012,131,1630267,Facundo Campazzo,1610612743,Denver Nuggets,1,1,24,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,223,8,1,0,20211020,PHX,DEN
2,Shot Chart Detail,0022100012,141,1630267,Facundo Campazzo,1610612743,Denver Nuggets,1,0,32,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,50,100,1,0,20211020,PHX,DEN
3,Shot Chart Detail,0022100024,114,1630267,Facundo Campazzo,1610612743,Denver Nuggets,1,2,36,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,6,1,1,20211022,DEN,SAS
4,Shot Chart Detail,0022100024,144,1630267,Facundo Campazzo,1610612743,Denver Nuggets,1,0,15,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,150,217,1,0,20211022,DEN,SAS
5,Shot Chart Detail,0022100024,177,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,9,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,94,246,1,0,20211022,DEN,SAS
6,Shot Chart Detail,0022100024,184,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,8,56,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,7,1,1,20211022,DEN,SAS
7,Shot Chart Detail,0022100024,318,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,0,0,Missed Shot,Running Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,58,-161,561,1,0,20211022,DEN,SAS
8,Shot Chart Detail,0022100024,457,1630267,Facundo Campazzo,1610612743,Denver Nuggets,3,2,8,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,4,1,1,20211022,DEN,SAS
9,Shot Chart Detail,0022100024,529,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,8,57,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,-115,119,1,0,20211022,DEN,SAS
10,Shot Chart Detail,0022100024,547,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,7,15,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-44,41,1,1,20211022,DEN,SAS
11,Shot Chart Detail,0022100048,142,1630267,Facundo Campazzo,1610612743,Denver Nuggets,1,1,8,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,0,1,1,20211025,DEN,CLE
12,Shot Chart Detail,0022100048,163,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,11,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-104,237,1,0,20211025,DEN,CLE
13,Shot Chart Detail,0022100048,451,1630267,Facundo Campazzo,1610612743,Denver Nuggets,3,3,23,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,27,1,0,20211025,DEN,CLE
14,Shot Chart Detail,0022100048,510,1630267,Facundo Campazzo,1610612743,Denver Nuggets,3,0,0,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,38,-154,355,1,0,20211025,DEN,CLE
15,Shot Chart Detail,0022100054,175,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,9,32,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-39,36,1,0,20211026,UTA,DEN
16,Shot Chart Detail,0022100075,132,1630267,Facundo Campazzo,1610612743,Denver Nuggets,1,1,47,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,94,247,1,1,20211029,DEN,DAL
17,Shot Chart Detail,0022100075,186,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,9,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-181,169,1,0,20211029,DEN,DAL
18,Shot Chart Detail,0022100087,232,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,7,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,211,143,1,0,20211030,MIN,DEN
19,Shot Chart Detail,0022100087,558,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,8,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-62,243,1,1,20211030,MIN,DEN
20,Shot Chart Detail,0022100100,140,1630267,Facundo Campazzo,1610612743,Denver Nuggets,1,0,21,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,17,1,1,20211101,MEM,DEN
21,Shot Chart Detail,0022100100,146,1630267,Facundo Campazzo,1610612743,Denver Nuggets,1,0,0,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,44,-10,445,1,0,20211101,MEM,DEN
22,Shot Chart Detail,0022100100,440,1630267,Facundo Campazzo,1610612743,Denver Nuggets,3,1,58,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,20,248,1,0,20211101,MEM,DEN
23,Shot Chart Detail,0022100114,100,1630267,Facundo Campazzo,1610612743,Denver Nuggets,1,3,36,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,1,20211103,MEM,DEN
24,Shot Chart Detail,0022100133,179,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,9,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,148,210,1,0,20211106,DEN,HOU
25,Shot Chart Detail,0022100133,452,1630267,Facundo Campazzo,1610612743,Denver Nuggets,3,2,31,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-233,20,1,0,20211106,DEN,HOU
26,Shot Chart Detail,0022100133,469,1630267,Facundo Campazzo,1610612743,Denver Nuggets,3,1,38,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,8,1,1,20211106,DEN,HOU
27,Shot Chart Detail,0022100133,486,1630267,Facundo Campazzo,1610612743,Denver Nuggets,3,0,4,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,-123,264,1,1,20211106,DEN,HOU
28,Shot Chart Detail,0022100133,514,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,9,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,176,171,1,1,20211106,DEN,HOU
29,Shot Chart Detail,0022100133,537,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,7,33,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-112,235,1,0,20211106,DEN,HOU
30,Shot Chart Detail,0022100167,189,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,7,22,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,14,-74,122,1,0,20211110,DEN,IND
31,Shot Chart Detail,0022100197,132,1630267,Facundo Campazzo,1610612743,Denver Nuggets,1,1,37,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,232,68,1,1,20211114,DEN,POR
32,Shot Chart Detail,0022100197,177,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,10,22,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,27,1,1,20211114,DEN,POR
33,Shot Chart Detail,0022100197,181,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,9,49,Missed Shot,Driving Reverse Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,42,70,1,0,20211114,DEN,POR
34,Shot Chart Detail,0022100197,196,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,7,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-217,142,1,1,20211114,DEN,POR
35,Shot Chart Detail,0022100197,232,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,5,36,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,7,130,1,1,20211114,DEN,POR
36,Shot Chart Detail,0022100197,245,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,4,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,189,179,1,0,20211114,DEN,POR
37,Shot Chart Detail,0022100197,445,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,10,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-89,229,1,0,20211114,DEN,POR
38,Shot Chart Detail,0022100197,522,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,4,40,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-189,169,1,1,20211114,DEN,POR
39,Shot Chart Detail,0022100197,548,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,2,19,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-162,195,1,0,20211114,DEN,POR
40,Shot Chart Detail,0022100204,465,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,10,41,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,31,29,1,0,20211115,DAL,DEN
41,Shot Chart Detail,0022100204,483,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,10,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-119,231,1,0,20211115,DAL,DEN
42,Shot Chart Detail,0022100204,494,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,8,36,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,62,60,1,0,20211115,DAL,DEN
43,Shot Chart Detail,0022100228,569,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,3,7,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-109,242,1,0,20211118,DEN,PHI
44,Shot Chart Detail,0022100228,599,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,0,42,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,183,176,1,0,20211118,DEN,PHI
45,Shot Chart Detail,0022100228,602,1630267,Facundo Campazzo,1610612743,Denver Nuggets,4,0,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-93,243,1,0,20211118,DEN,PHI
46,Shot Chart Detail,0022100236,205,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,6,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,190,155,1,1,20211119,DEN,CHI
47,Shot Chart Detail,0022100236,208,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,6,11,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,239,0,1,1,20211119,DEN,CHI
48,Shot Chart Detail,0022100236,225,1630267,Facundo Campazzo,1610612743,Denver Nuggets,2,4,25,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,33,24,1,0,20211119,DEN,CHI
49,Shot Chart Detail,0022100236,391,1630267,Facundo Campazzo,1610612743,Denver Nuggets,3,3,28,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,27,1,0,20211119,DEN,CHI
50,Shot Chart Detail,0022100236,426,1630267,Facundo Campazzo,1610612743,Denver Nuggets,3,0,44,Missed Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,33,1,0,20211119,DEN,CHI
51,Shot Chart Detail,0022100236,434,1630267,Facundo Campazzo,1610612743,Denver Nuggets,3,0,32,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,21,1,1,20211119,DEN,CHI
