,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100004,7,1628402,Frank Jackson,1610612765,Detroit Pistons,1,11,39,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-151,5,1,0,20211020,DET,CHI
1,Shot Chart Detail,0022100004,41,1628402,Frank Jackson,1610612765,Detroit Pistons,1,8,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,9,1,1,20211020,DET,CHI
2,Shot Chart Detail,0022100004,232,1628402,Frank Jackson,1610612765,Detroit Pistons,2,7,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-194,171,1,0,20211020,DET,CHI
3,Shot Chart Detail,0022100004,247,1628402,Frank Jackson,1610612765,Detroit Pistons,2,5,56,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,11,1,1,20211020,DET,CHI
4,Shot Chart Detail,0022100004,251,1628402,Frank Jackson,1610612765,Detroit Pistons,2,5,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,49,250,1,0,20211020,DET,CHI
5,Shot Chart Detail,0022100004,277,1628402,Frank Jackson,1610612765,Detroit Pistons,2,3,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-93,240,1,1,20211020,DET,CHI
6,Shot Chart Detail,0022100004,301,1628402,Frank Jackson,1610612765,Detroit Pistons,2,1,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,146,208,1,0,20211020,DET,CHI
7,Shot Chart Detail,0022100004,395,1628402,Frank Jackson,1610612765,Detroit Pistons,3,5,15,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-227,27,1,0,20211020,DET,CHI
8,Shot Chart Detail,0022100030,21,1628402,Frank Jackson,1610612765,Detroit Pistons,1,10,36,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-240,-25,1,1,20211023,CHI,DET
9,Shot Chart Detail,0022100030,53,1628402,Frank Jackson,1610612765,Detroit Pistons,1,7,20,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-59,5,1,1,20211023,CHI,DET
10,Shot Chart Detail,0022100030,82,1628402,Frank Jackson,1610612765,Detroit Pistons,1,5,36,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,31,27,1,0,20211023,CHI,DET
11,Shot Chart Detail,0022100030,356,1628402,Frank Jackson,1610612765,Detroit Pistons,2,0,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,-6,1,0,20211023,CHI,DET
12,Shot Chart Detail,0022100030,372,1628402,Frank Jackson,1610612765,Detroit Pistons,3,11,26,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-43,151,1,0,20211023,CHI,DET
13,Shot Chart Detail,0022100030,376,1628402,Frank Jackson,1610612765,Detroit Pistons,3,10,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,83,245,1,0,20211023,CHI,DET
14,Shot Chart Detail,0022100030,389,1628402,Frank Jackson,1610612765,Detroit Pistons,3,10,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,20,271,1,0,20211023,CHI,DET
15,Shot Chart Detail,0022100030,413,1628402,Frank Jackson,1610612765,Detroit Pistons,3,7,16,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,72,104,1,0,20211023,CHI,DET
16,Shot Chart Detail,0022100030,418,1628402,Frank Jackson,1610612765,Detroit Pistons,3,6,47,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-44,61,1,0,20211023,CHI,DET
17,Shot Chart Detail,0022100030,425,1628402,Frank Jackson,1610612765,Detroit Pistons,3,5,43,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,10,73,1,0,20211023,CHI,DET
18,Shot Chart Detail,0022100043,106,1628402,Frank Jackson,1610612765,Detroit Pistons,1,4,10,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-222,4,1,0,20211025,ATL,DET
19,Shot Chart Detail,0022100043,138,1628402,Frank Jackson,1610612765,Detroit Pistons,1,2,23,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,13,127,1,0,20211025,ATL,DET
20,Shot Chart Detail,0022100043,446,1628402,Frank Jackson,1610612765,Detroit Pistons,3,2,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,97,243,1,0,20211025,ATL,DET
21,Shot Chart Detail,0022100043,470,1628402,Frank Jackson,1610612765,Detroit Pistons,3,0,2,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,65,163,1,1,20211025,ATL,DET
22,Shot Chart Detail,0022100043,488,1628402,Frank Jackson,1610612765,Detroit Pistons,4,10,59,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,42,259,1,0,20211025,ATL,DET
23,Shot Chart Detail,0022100043,515,1628402,Frank Jackson,1610612765,Detroit Pistons,4,9,21,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-34,256,1,0,20211025,ATL,DET
24,Shot Chart Detail,0022100043,524,1628402,Frank Jackson,1610612765,Detroit Pistons,4,8,47,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,11,112,1,1,20211025,ATL,DET
25,Shot Chart Detail,0022100065,140,1628402,Frank Jackson,1610612765,Detroit Pistons,1,1,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,70,283,1,1,20211028,PHI,DET
26,Shot Chart Detail,0022100065,168,1628402,Frank Jackson,1610612765,Detroit Pistons,2,11,27,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,8,1,0,20211028,PHI,DET
27,Shot Chart Detail,0022100065,173,1628402,Frank Jackson,1610612765,Detroit Pistons,2,10,52,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,10,1,1,20211028,PHI,DET
28,Shot Chart Detail,0022100065,180,1628402,Frank Jackson,1610612765,Detroit Pistons,2,9,54,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-119,241,1,1,20211028,PHI,DET
29,Shot Chart Detail,0022100065,210,1628402,Frank Jackson,1610612765,Detroit Pistons,2,8,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,162,210,1,0,20211028,PHI,DET
30,Shot Chart Detail,0022100065,571,1628402,Frank Jackson,1610612765,Detroit Pistons,4,6,47,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,102,174,1,0,20211028,PHI,DET
31,Shot Chart Detail,0022100065,647,1628402,Frank Jackson,1610612765,Detroit Pistons,4,1,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-66,256,1,0,20211028,PHI,DET
32,Shot Chart Detail,0022100079,533,1628402,Frank Jackson,1610612765,Detroit Pistons,4,11,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,0,1,1,20211030,DET,ORL
