,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100470,141,1630273,Freddie Gillespie,1610612753,Orlando Magic,1,1,19,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,43,29,1,0,20211222,ATL,ORL
1,Shot Chart Detail,0022100470,206,1630273,Freddie Gillespie,1610612753,Orlando Magic,2,8,42,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-6,125,1,1,20211222,ATL,ORL
2,Shot Chart Detail,0022100470,317,1630273,Freddie Gillespie,1610612753,Orlando Magic,2,0,0,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,27,70,1,1,20211222,ATL,ORL
3,Shot Chart Detail,0022100470,396,1630273,Freddie Gillespie,1610612753,Orlando Magic,3,5,19,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,19,1,0,20211222,ATL,ORL
4,Shot Chart Detail,0022100493,393,1630273,Freddie Gillespie,1610612753,Orlando Magic,3,3,26,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-2,62,1,1,20211226,MIA,ORL
5,Shot Chart Detail,0022100493,462,1630273,Freddie Gillespie,1610612753,Orlando Magic,4,11,23,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,5,1,1,20211226,MIA,ORL
6,Shot Chart Detail,0022100493,465,1630273,Freddie Gillespie,1610612753,Orlando Magic,4,10,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,94,18,1,0,20211226,MIA,ORL
7,Shot Chart Detail,0022100508,130,1630273,Freddie Gillespie,1610612753,Orlando Magic,1,1,4,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,80,22,1,1,20211228,ORL,MIL
8,Shot Chart Detail,0022100526,32,1630273,Freddie Gillespie,1610612753,Orlando Magic,1,8,56,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-17,68,1,1,20211230,ORL,MIL
9,Shot Chart Detail,0022100555,126,1630273,Freddie Gillespie,1610612753,Orlando Magic,1,1,33,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,22,1,0,20220103,CHI,ORL
10,Shot Chart Detail,0022100555,447,1630273,Freddie Gillespie,1610612753,Orlando Magic,3,0,27,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,11,1,0,20220103,CHI,ORL
11,Shot Chart Detail,0022100568,376,1630273,Freddie Gillespie,1610612753,Orlando Magic,3,11,14,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,108,60,1,0,20220105,ORL,PHI
12,Shot Chart Detail,0022100568,511,1630273,Freddie Gillespie,1610612753,Orlando Magic,3,0,38,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-6,32,1,0,20220105,ORL,PHI
13,Shot Chart Detail,0022100568,547,1630273,Freddie Gillespie,1610612753,Orlando Magic,4,10,54,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-17,31,1,0,20220105,ORL,PHI
14,Shot Chart Detail,0022100593,44,1630273,Freddie Gillespie,1610612753,Orlando Magic,1,8,6,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220108,DET,ORL
15,Shot Chart Detail,0022100593,362,1630273,Freddie Gillespie,1610612753,Orlando Magic,3,9,45,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,15,1,1,20220108,DET,ORL
16,Shot Chart Detail,0022100593,387,1630273,Freddie Gillespie,1610612753,Orlando Magic,3,7,49,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,29,1,0,20220108,DET,ORL
17,Shot Chart Detail,0022100598,139,1630273,Freddie Gillespie,1610612753,Orlando Magic,1,1,29,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-53,16,1,1,20220109,ORL,WAS
18,Shot Chart Detail,0022100598,175,1630273,Freddie Gillespie,1610612753,Orlando Magic,2,10,46,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-9,58,1,0,20220109,ORL,WAS
19,Shot Chart Detail,0022100598,441,1630273,Freddie Gillespie,1610612753,Orlando Magic,3,3,41,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-2,57,1,0,20220109,ORL,WAS
20,Shot Chart Detail,0022100598,537,1630273,Freddie Gillespie,1610612753,Orlando Magic,4,9,58,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,66,94,1,1,20220109,ORL,WAS
21,Shot Chart Detail,0022100598,541,1630273,Freddie Gillespie,1610612753,Orlando Magic,4,9,24,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,38,65,1,0,20220109,ORL,WAS
