,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022100009,135,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,1,1,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,10,1,1,20211020,NOP,PHI
1,Shot Chart Detail,0022100009,156,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,11,27,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,14,1,1,20211020,NOP,PHI
2,Shot Chart Detail,0022100009,160,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,11,3,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-96,169,1,0,20211020,NOP,PHI
3,Shot Chart Detail,0022100009,189,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,8,51,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,10,1,0,20211020,NOP,PHI
4,Shot Chart Detail,0022100009,454,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,11,46,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,67,1,0,20211020,NOP,PHI
5,Shot Chart Detail,0022100009,459,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,11,3,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,-97,136,1,0,20211020,NOP,PHI
6,Shot Chart Detail,0022100009,483,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,9,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,2,1,1,20211020,NOP,PHI
7,Shot Chart Detail,0022100009,487,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,9,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-120,220,1,1,20211020,NOP,PHI
8,Shot Chart Detail,0022100009,491,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,8,49,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,43,249,1,1,20211020,NOP,PHI
9,Shot Chart Detail,0022100009,498,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,8,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,162,206,1,1,20211020,NOP,PHI
10,Shot Chart Detail,0022100009,515,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,7,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,173,200,1,1,20211020,NOP,PHI
11,Shot Chart Detail,0022100021,146,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,1,0,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-163,189,1,0,20211022,PHI,BKN
12,Shot Chart Detail,0022100021,184,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,10,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,11,1,1,20211022,PHI,BKN
13,Shot Chart Detail,0022100021,204,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,8,58,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,-74,152,1,1,20211022,PHI,BKN
14,Shot Chart Detail,0022100021,456,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,3,1,1,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,13,1,0,20211022,PHI,BKN
15,Shot Chart Detail,0022100021,489,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,10,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-176,186,1,0,20211022,PHI,BKN
16,Shot Chart Detail,0022100021,497,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,9,45,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,67,248,1,1,20211022,PHI,BKN
17,Shot Chart Detail,0022100021,517,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,8,12,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-223,67,1,0,20211022,PHI,BKN
18,Shot Chart Detail,0022100038,114,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,1,2,45,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,16,1,0,20211024,OKC,PHI
19,Shot Chart Detail,0022100038,172,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,11,3,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,36,264,1,0,20211024,OKC,PHI
20,Shot Chart Detail,0022100038,183,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,10,1,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,-75,71,1,0,20211024,OKC,PHI
21,Shot Chart Detail,0022100038,188,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,9,29,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,50,117,1,1,20211024,OKC,PHI
22,Shot Chart Detail,0022100038,451,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,3,0,18,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-43,62,1,1,20211024,OKC,PHI
23,Shot Chart Detail,0022100038,471,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,11,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-176,224,1,1,20211024,OKC,PHI
24,Shot Chart Detail,0022100038,488,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,9,55,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-201,176,1,0,20211024,OKC,PHI
25,Shot Chart Detail,0022100038,536,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,6,51,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,156,230,1,0,20211024,OKC,PHI
26,Shot Chart Detail,0022100038,540,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,6,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,228,109,1,0,20211024,OKC,PHI
27,Shot Chart Detail,0022100050,133,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,1,1,39,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,10,193,1,0,20211026,NYK,PHI
28,Shot Chart Detail,0022100050,186,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,10,15,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-1,82,1,0,20211026,NYK,PHI
29,Shot Chart Detail,0022100050,220,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,7,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,141,209,1,0,20211026,NYK,PHI
30,Shot Chart Detail,0022100050,292,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,1,30,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,4,69,1,0,20211026,NYK,PHI
31,Shot Chart Detail,0022100050,301,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,0,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-191,171,1,0,20211026,NYK,PHI
32,Shot Chart Detail,0022100050,433,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,3,1,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,202,155,1,1,20211026,NYK,PHI
33,Shot Chart Detail,0022100050,454,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,3,0,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-80,246,1,0,20211026,NYK,PHI
34,Shot Chart Detail,0022100050,481,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,10,38,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-176,176,1,0,20211026,NYK,PHI
35,Shot Chart Detail,0022100050,495,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,9,21,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-225,13,1,0,20211026,NYK,PHI
36,Shot Chart Detail,0022100050,503,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,8,50,Made Shot,Running Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20211026,NYK,PHI
37,Shot Chart Detail,0022100050,586,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,2,20,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,5,1,1,20211026,NYK,PHI
38,Shot Chart Detail,0022100050,594,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,1,53,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,5,1,0,20211026,NYK,PHI
39,Shot Chart Detail,0022100065,166,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,11,35,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,-1,1,1,20211028,PHI,DET
40,Shot Chart Detail,0022100065,213,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,7,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-132,216,1,0,20211028,PHI,DET
41,Shot Chart Detail,0022100065,497,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,11,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,108,277,1,1,20211028,PHI,DET
42,Shot Chart Detail,0022100082,212,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,9,1,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-7,257,1,0,20211030,PHI,ATL
43,Shot Chart Detail,0022100082,519,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,10,24,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,165,223,1,0,20211030,PHI,ATL
44,Shot Chart Detail,0022100082,533,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,9,24,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-49,46,1,0,20211030,PHI,ATL
