,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022101174,617,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,4,2,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-99,160,1,0,20220403,OKC,PHX
1,Shot Chart Detail,0022101174,623,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,4,1,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-161,206,1,0,20220403,OKC,PHX
2,Shot Chart Detail,0022101195,589,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,4,6,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-70,264,1,1,20220406,LAC,PHX
3,Shot Chart Detail,0022101195,601,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,4,5,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,93,163,1,0,20220406,LAC,PHX
4,Shot Chart Detail,0022101195,622,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,4,3,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,125,274,1,0,20220406,LAC,PHX
5,Shot Chart Detail,0022101195,628,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,4,3,5,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,65,206,1,0,20220406,LAC,PHX
6,Shot Chart Detail,0022101229,140,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,1,0,40,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,11,1,0,20220410,PHX,SAC
7,Shot Chart Detail,0022101229,173,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,2,10,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-66,248,1,0,20220410,PHX,SAC
8,Shot Chart Detail,0022101229,192,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,2,8,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-143,217,1,1,20220410,PHX,SAC
9,Shot Chart Detail,0022101229,218,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,2,6,32,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,23,1,0,20220410,PHX,SAC
10,Shot Chart Detail,0022101229,294,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,2,1,13,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,6,184,1,1,20220410,PHX,SAC
11,Shot Chart Detail,0022101229,296,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,2,0,38,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,27,64,1,0,20220410,PHX,SAC
12,Shot Chart Detail,0022101229,436,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,3,3,40,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-56,174,1,1,20220410,PHX,SAC
13,Shot Chart Detail,0022101229,481,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,3,0,1,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,176,225,1,0,20220410,PHX,SAC
14,Shot Chart Detail,0022101229,495,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,4,11,6,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-16,213,1,0,20220410,PHX,SAC
15,Shot Chart Detail,0022101229,521,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,4,8,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,168,183,1,0,20220410,PHX,SAC
16,Shot Chart Detail,0022101229,577,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,4,5,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-179,192,1,1,20220410,PHX,SAC
17,Shot Chart Detail,0022101229,581,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,4,4,59,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,201,6,1,0,20220410,PHX,SAC
18,Shot Chart Detail,0022101229,606,1630994,Gabriel Lundberg,1610612756,Phoenix Suns,4,2,38,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,17,1,0,20220410,PHX,SAC
